Features: 16,,,,,,,,,,
Target Class: ferret,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,97.61904762,157
"Nu: 0.05, Gamma: 0.5",2,2,78,44,36.50793651,0,40,,,
"Nu: 0.05, Gamma: 0.7",1,3,66,56,45.23809524,0,40,,,
"Nu: 0.05, Gamma: 0.9",1,3,53,69,55.55555556,0,40,,,
"Nu: 0.05, Gamma: 0.99",1,3,47,75,60.31746032,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",4,0,119,3,5.555555556,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",4,0,119,3,5.555555556,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",4,0,72,50,42.85714286,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",4,0,72,50,42.85714286,0,40,,,
"Nu: 0.0625, Gamma: 0.005",4,0,90,32,28.57142857,0,40,,,
"Nu: 0.0625, Gamma: 0.05",4,0,89,33,29.36507937,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",4,0,89,33,29.36507937,0,40,,,
"Nu: 0.0625, Gamma: 0.1",4,0,88,34,30.15873016,0,40,,,
"Nu: 0.0625, Gamma: 0.2",4,0,83,39,34.12698413,0,40,,,
"Nu: 0.0625, Gamma: 0.5",2,2,78,44,36.50793651,0,40,,,
"Nu: 0.0625, Gamma: 0.7",1,3,66,56,45.23809524,0,40,,,
"Nu: 0.0625, Gamma: 0.9",1,3,52,70,56.34920635,0,40,,,
"Nu: 0.0625, Gamma: 0.99",1,3,47,75,60.31746032,0,40,,,
"Nu: 0.1, Gamma: 0.0001",3,1,73,49,41.26984127,0,40,,,
"Nu: 0.1, Gamma: 0.0002",4,0,69,53,45.23809524,0,40,,,
"Nu: 0.1, Gamma: 0.0003",4,0,69,53,45.23809524,0,40,,,
"Nu: 0.1, Gamma: 0.0004",4,0,69,53,45.23809524,0,40,,,
"Nu: 0.1, Gamma: 0.005",4,0,87,35,30.95238095,0,40,,,
"Nu: 0.1, Gamma: 0.05",4,0,87,35,30.95238095,0,40,,,
"Nu: 0.1, Gamma: 0.0625",4,0,87,35,30.95238095,0,40,,,
"Nu: 0.1, Gamma: 0.1",4,0,87,35,30.95238095,0,40,,,
"Nu: 0.1, Gamma: 0.2",4,0,83,39,34.12698413,0,40,,,
"Nu: 0.1, Gamma: 0.5",2,2,78,44,36.50793651,0,40,,,
"Nu: 0.1, Gamma: 0.7",1,3,66,56,45.23809524,0,40,,,
"Nu: 0.1, Gamma: 0.9",1,3,52,70,56.34920635,0,40,,,
"Nu: 0.1, Gamma: 0.99",1,3,47,75,60.31746032,0,40,,,
"Nu: 0.2, Gamma: 0.0001",3,1,62,60,50,0,40,,,
"Nu: 0.2, Gamma: 0.0002",3,1,62,60,50,0,40,,,
"Nu: 0.2, Gamma: 0.0003",4,0,71,51,43.65079365,0,40,,,
"Nu: 0.2, Gamma: 0.0004",4,0,71,51,43.65079365,0,40,,,
"Nu: 0.2, Gamma: 0.005",4,0,73,49,42.06349206,0,40,,,
"Nu: 0.2, Gamma: 0.05",4,0,76,46,39.68253968,0,40,,,
"Nu: 0.2, Gamma: 0.0625",4,0,77,45,38.88888889,0,40,,,
"Nu: 0.2, Gamma: 0.1",4,0,86,36,31.74603175,0,40,,,
"Nu: 0.2, Gamma: 0.2",4,0,83,39,34.12698413,0,40,,,
"Nu: 0.2, Gamma: 0.5",2,2,78,44,36.50793651,0,40,,,
"Nu: 0.2, Gamma: 0.7",1,3,66,56,45.23809524,0,40,,,
"Nu: 0.2, Gamma: 0.9",1,3,52,70,56.34920635,0,40,,,
"Nu: 0.2, Gamma: 0.99",1,3,47,75,60.31746032,0,40,,,
"Nu: 0.5, Gamma: 0.0001",3,1,47,75,61.9047619,0,40,,,
"Nu: 0.5, Gamma: 0.0002",3,1,47,75,61.9047619,0,40,,,
"Nu: 0.5, Gamma: 0.0003",3,1,47,75,61.9047619,0,40,,,
"Nu: 0.5, Gamma: 0.0004",3,1,48,74,61.11111111,0,40,,,
"Nu: 0.5, Gamma: 0.005",3,1,48,74,61.11111111,0,40,,,
"Nu: 0.5, Gamma: 0.05",3,1,49,73,60.31746032,0,40,,,
"Nu: 0.5, Gamma: 0.0625",3,1,48,74,61.11111111,0,40,,,
"Nu: 0.5, Gamma: 0.1",3,1,48,74,61.11111111,0,40,,,
"Nu: 0.5, Gamma: 0.2",3,1,43,79,65.07936508,0,40,,,
"Nu: 0.5, Gamma: 0.5",2,2,44,78,63.49206349,0,40,,,
"Nu: 0.5, Gamma: 0.7",1,3,41,81,65.07936508,0,40,,,
"Nu: 0.5, Gamma: 0.9",1,3,39,83,66.66666667,0,40,,,
"Nu: 0.5, Gamma: 0.99",1,3,37,85,68.25396825,0,40,,,
"Nu: 0.7, Gamma: 0.0001",1,3,13,109,87.3015873,0,40,,,
"Nu: 0.7, Gamma: 0.0002",1,3,21,101,80.95238095,0,40,,,
"Nu: 0.7, Gamma: 0.0003",1,3,21,101,80.95238095,0,40,,,
"Nu: 0.7, Gamma: 0.0004",1,3,21,101,80.95238095,0,40,,,
"Nu: 0.7, Gamma: 0.005",2,2,27,95,76.98412698,0,40,,,
"Nu: 0.7, Gamma: 0.05",1,3,25,97,77.77777778,0,40,,,
"Nu: 0.7, Gamma: 0.0625",1,3,25,97,77.77777778,0,40,,,
"Nu: 0.7, Gamma: 0.1",2,2,26,96,77.77777778,0,40,,,
"Nu: 0.7, Gamma: 0.2",1,3,23,99,79.36507937,0,40,,,
"Nu: 0.7, Gamma: 0.5",1,3,28,94,75.3968254,0,40,,,
