Features: 16,,,,,,,,
Target Class: ferret,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.99, Gamma: 0.0003",0,14,0,37,72.54901960784314,0,40,
"Nu: 0.99, Gamma: 0.0004",0,14,0,37,72.54901960784314,0,40,
"Nu: 0.99, Gamma: 0.005",0,14,0,37,72.54901960784314,0,40,
"Nu: 0.99, Gamma: 0.05",0,14,0,37,72.54901960784314,0,40,
"Nu: 0.99, Gamma: 0.0625",0,14,0,37,72.54901960784314,0,40,
"Nu: 0.99, Gamma: 0.1",0,14,1,36,70.58823529411765,0,40,
"Nu: 0.99, Gamma: 0.2",0,14,1,36,70.58823529411765,0,40,
"Nu: 0.99, Gamma: 0.5",0,14,2,35,68.62745098039215,0,40,
"Nu: 0.99, Gamma: 0.7",0,14,0,37,72.54901960784314,0,40,
"Nu: 0.99, Gamma: 0.9",0,14,0,37,72.54901960784314,0,40,
"Nu: 0.99, Gamma: 0.99",0,14,0,37,72.54901960784314,0,40,
,,,,,,,,
Features: 16,,,,,,,,
Target Class: ferret,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.0001, Gamma: 0.0001",0,4,0,137,97.16312056737588,10,40,
"Nu: 0.0001, Gamma: 0.0002",0,4,0,137,97.16312056737588,10,40,
"Nu: 0.0001, Gamma: 0.0003",0,4,0,137,97.16312056737588,10,40,
"Nu: 0.0001, Gamma: 0.0004",0,4,0,137,97.16312056737588,10,40,
"Nu: 0.0001, Gamma: 0.005",2,2,57,80,58.156028368794324,10,40,
"Nu: 0.0001, Gamma: 0.05",3,1,63,74,54.60992907801418,10,40,
"Nu: 0.0001, Gamma: 0.0625",3,1,63,74,54.60992907801418,10,40,
"Nu: 0.0001, Gamma: 0.1",3,1,60,77,56.73758865248227,10,40,
"Nu: 0.0001, Gamma: 0.2",2,2,58,79,57.446808510638306,10,40,
"Nu: 0.0001, Gamma: 0.5",2,2,45,92,66.66666666666666,10,40,
"Nu: 0.0001, Gamma: 0.7",2,2,43,94,68.08510638297872,10,40,
"Nu: 0.0001, Gamma: 0.9",2,2,37,100,72.3404255319149,10,40,
"Nu: 0.0001, Gamma: 0.99",2,2,32,105,75.88652482269504,10,40,
"Nu: 0.0002, Gamma: 0.0001",0,4,0,137,97.16312056737588,10,40,
"Nu: 0.0002, Gamma: 0.0002",0,4,0,137,97.16312056737588,10,40,
"Nu: 0.0002, Gamma: 0.0003",0,4,0,137,97.16312056737588,10,40,
"Nu: 0.0002, Gamma: 0.0004",0,4,0,137,97.16312056737588,10,40,
"Nu: 0.0002, Gamma: 0.005",2,2,57,80,58.156028368794324,10,40,
"Nu: 0.0002, Gamma: 0.05",3,1,62,75,55.319148936170215,10,40,
"Nu: 0.0002, Gamma: 0.0625",3,1,63,74,54.60992907801418,10,40,
"Nu: 0.0002, Gamma: 0.1",3,1,59,78,57.446808510638306,10,40,
"Nu: 0.0002, Gamma: 0.2",2,2,58,79,57.446808510638306,10,40,
"Nu: 0.0002, Gamma: 0.5",2,2,45,92,66.66666666666666,10,40,
"Nu: 0.0002, Gamma: 0.7",2,2,42,95,68.79432624113475,10,40,
"Nu: 0.0002, Gamma: 0.9",2,2,38,99,71.63120567375887,10,40,
"Nu: 0.0002, Gamma: 0.99",2,2,34,103,74.46808510638297,10,40,
"Nu: 0.0003, Gamma: 0.0001",0,4,0,137,97.16312056737588,10,40,
"Nu: 0.0003, Gamma: 0.0002",0,4,0,137,97.16312056737588,10,40,
"Nu: 0.0003, Gamma: 0.0003",0,4,0,137,97.16312056737588,10,40,
"Nu: 0.0003, Gamma: 0.0004",1,3,43,94,67.37588652482269,10,40,
"Nu: 0.0003, Gamma: 0.005",3,1,64,73,53.90070921985816,10,40,
"Nu: 0.0003, Gamma: 0.05",3,1,64,73,53.90070921985816,10,40,
"Nu: 0.0003, Gamma: 0.0625",3,1,62,75,55.319148936170215,10,40,
"Nu: 0.0003, Gamma: 0.1",3,1,60,77,56.73758865248227,10,40,
"Nu: 0.0003, Gamma: 0.2",2,2,58,79,57.446808510638306,10,40,
"Nu: 0.0003, Gamma: 0.5",2,2,45,92,66.66666666666666,10,40,
"Nu: 0.0003, Gamma: 0.7",2,2,42,95,68.79432624113475,10,40,
"Nu: 0.0003, Gamma: 0.9",2,2,39,98,70.92198581560284,10,40,
"Nu: 0.0003, Gamma: 0.99",2,2,34,103,74.46808510638297,10,40,
"Nu: 0.0004, Gamma: 0.0001",0,4,0,137,97.16312056737588,10,40,
"Nu: 0.0004, Gamma: 0.0002",0,4,0,137,97.16312056737588,10,40,
"Nu: 0.0004, Gamma: 0.0003",1,3,43,94,67.37588652482269,10,40,
"Nu: 0.0004, Gamma: 0.0004",1,3,43,94,67.37588652482269,10,40,
"Nu: 0.0004, Gamma: 0.005",3,1,64,73,53.90070921985816,10,40,
"Nu: 0.0004, Gamma: 0.05",3,1,64,73,53.90070921985816,10,40,
"Nu: 0.0004, Gamma: 0.0625",3,1,63,74,54.60992907801418,10,40,
"Nu: 0.0004, Gamma: 0.1",3,1,61,76,56.02836879432624,10,40,
"Nu: 0.0004, Gamma: 0.2",2,2,58,79,57.446808510638306,10,40,
"Nu: 0.0004, Gamma: 0.5",2,2,45,92,66.66666666666666,10,40,
"Nu: 0.0004, Gamma: 0.7",2,2,42,95,68.79432624113475,10,40,
"Nu: 0.0004, Gamma: 0.9",2,2,38,99,71.63120567375887,10,40,
"Nu: 0.0004, Gamma: 0.99",2,2,34,103,74.46808510638297,10,40,
"Nu: 0.005, Gamma: 0.0001",2,2,50,87,63.12056737588653,10,40,
"Nu: 0.005, Gamma: 0.0002",3,1,66,71,52.4822695035461,10,40,
"Nu: 0.005, Gamma: 0.0003",3,1,66,71,52.4822695035461,10,40,
"Nu: 0.005, Gamma: 0.0004",3,1,66,71,52.4822695035461,10,40,
"Nu: 0.005, Gamma: 0.005",3,1,64,73,53.90070921985816,10,40,
"Nu: 0.005, Gamma: 0.05",3,1,63,74,54.60992907801418,10,40,
"Nu: 0.005, Gamma: 0.0625",3,1,63,74,54.60992907801418,10,40,
"Nu: 0.005, Gamma: 0.1",3,1,60,77,56.73758865248227,10,40,
"Nu: 0.005, Gamma: 0.2",2,2,58,79,57.446808510638306,10,40,
"Nu: 0.005, Gamma: 0.5",2,2,46,91,65.95744680851064,10,40,
"Nu: 0.005, Gamma: 0.7",2,2,42,95,68.79432624113475,10,40,
"Nu: 0.005, Gamma: 0.9",2,2,39,98,70.92198581560284,10,40,
"Nu: 0.005, Gamma: 0.99",2,2,34,103,74.46808510638297,10,40,
"Nu: 0.05, Gamma: 0.0001",3,1,64,73,53.90070921985816,10,40,
"Nu: 0.05, Gamma: 0.0002",3,1,64,73,53.90070921985816,10,40,
"Nu: 0.05, Gamma: 0.0003",3,1,64,73,53.90070921985816,10,40,
"Nu: 0.05, Gamma: 0.0004",3,1,64,73,53.90070921985816,10,40,
"Nu: 0.05, Gamma: 0.005",3,1,64,73,53.90070921985816,10,40,
"Nu: 0.05, Gamma: 0.05",3,1,62,75,55.319148936170215,10,40,
"Nu: 0.05, Gamma: 0.0625",3,1,61,76,56.02836879432624,10,40,
"Nu: 0.05, Gamma: 0.1",3,1,59,78,57.446808510638306,10,40,
"Nu: 0.05, Gamma: 0.2",2,2,58,79,57.446808510638306,10,40,
"Nu: 0.05, Gamma: 0.5",2,2,44,93,67.37588652482269,10,40,
"Nu: 0.05, Gamma: 0.7",2,2,40,97,70.2127659574468,10,40,
"Nu: 0.05, Gamma: 0.9",2,2,32,105,75.88652482269504,10,40,
"Nu: 0.05, Gamma: 0.99",2,2,32,105,75.88652482269504,10,40,
"Nu: 0.0625, Gamma: 0.0001",3,1,64,73,53.90070921985816,10,40,
"Nu: 0.0625, Gamma: 0.0002",3,1,64,73,53.90070921985816,10,40,
"Nu: 0.0625, Gamma: 0.0003",3,1,64,73,53.90070921985816,10,40,
"Nu: 0.0625, Gamma: 0.0004",3,1,63,74,54.60992907801418,10,40,
"Nu: 0.0625, Gamma: 0.005",3,1,62,75,55.319148936170215,10,40,
"Nu: 0.0625, Gamma: 0.05",3,1,61,76,56.02836879432624,10,40,
"Nu: 0.0625, Gamma: 0.0625",3,1,60,77,56.73758865248227,10,40,
"Nu: 0.0625, Gamma: 0.1",3,1,59,78,57.446808510638306,10,40,
"Nu: 0.0625, Gamma: 0.2",2,2,56,81,58.86524822695035,10,40,
"Nu: 0.0625, Gamma: 0.5",2,2,43,94,68.08510638297872,10,40,
"Nu: 0.0625, Gamma: 0.7",2,2,39,98,70.92198581560284,10,40,
"Nu: 0.0625, Gamma: 0.9",2,2,32,105,75.88652482269504,10,40,
"Nu: 0.0625, Gamma: 0.99",2,2,31,106,76.59574468085107,10,40,
"Nu: 0.1, Gamma: 0.0001",3,1,59,78,57.446808510638306,10,40,
"Nu: 0.1, Gamma: 0.0002",3,1,59,78,57.446808510638306,10,40,
"Nu: 0.1, Gamma: 0.0003",3,1,59,78,57.446808510638306,10,40,
"Nu: 0.1, Gamma: 0.0004",3,1,59,78,57.446808510638306,10,40,
"Nu: 0.1, Gamma: 0.005",3,1,59,78,57.446808510638306,10,40,
"Nu: 0.1, Gamma: 0.05",3,1,59,78,57.446808510638306,10,40,
"Nu: 0.1, Gamma: 0.0625",3,1,58,79,58.156028368794324,10,40,
"Nu: 0.1, Gamma: 0.1",3,1,58,79,58.156028368794324,10,40,
"Nu: 0.1, Gamma: 0.2",2,2,55,82,59.57446808510638,10,40,
"Nu: 0.1, Gamma: 0.5",2,2,43,94,68.08510638297872,10,40,
"Nu: 0.1, Gamma: 0.7",2,2,36,101,73.04964539007092,10,40,
"Nu: 0.1, Gamma: 0.9",2,2,31,106,76.59574468085107,10,40,
"Nu: 0.1, Gamma: 0.99",1,3,31,106,75.88652482269504,10,40,
"Nu: 0.2, Gamma: 0.0001",3,1,57,80,58.86524822695035,10,40,
"Nu: 0.2, Gamma: 0.0002",3,1,56,81,59.57446808510638,10,40,
"Nu: 0.2, Gamma: 0.0003",3,1,56,81,59.57446808510638,10,40,
"Nu: 0.2, Gamma: 0.0004",3,1,56,81,59.57446808510638,10,40,
"Nu: 0.2, Gamma: 0.005",3,1,56,81,59.57446808510638,10,40,
"Nu: 0.2, Gamma: 0.05",3,1,56,81,59.57446808510638,10,40,
"Nu: 0.2, Gamma: 0.0625",3,1,56,81,59.57446808510638,10,40,
"Nu: 0.2, Gamma: 0.1",2,2,55,82,59.57446808510638,10,40,
"Nu: 0.2, Gamma: 0.2",2,2,51,86,62.4113475177305,10,40,
"Nu: 0.2, Gamma: 0.5",1,3,36,101,72.3404255319149,10,40,
"Nu: 0.2, Gamma: 0.7",1,3,30,107,76.59574468085107,10,40,
"Nu: 0.2, Gamma: 0.9",1,3,28,109,78.01418439716312,10,40,
"Nu: 0.2, Gamma: 0.99",1,3,23,114,81.56028368794325,10,40,
"Nu: 0.5, Gamma: 0.0001",1,3,37,100,71.63120567375887,10,40,
"Nu: 0.5, Gamma: 0.0002",1,3,37,100,71.63120567375887,10,40,
"Nu: 0.5, Gamma: 0.0003",1,3,37,100,71.63120567375887,10,40,
"Nu: 0.5, Gamma: 0.0004",1,3,37,100,71.63120567375887,10,40,
"Nu: 0.5, Gamma: 0.005",1,3,36,101,72.3404255319149,10,40,
"Nu: 0.5, Gamma: 0.05",1,3,33,104,74.46808510638297,10,40,
"Nu: 0.5, Gamma: 0.0625",1,3,31,106,75.88652482269504,10,40,
"Nu: 0.5, Gamma: 0.1",0,4,28,109,77.30496453900709,10,40,
"Nu: 0.5, Gamma: 0.2",0,4,23,114,80.85106382978722,10,40,
"Nu: 0.5, Gamma: 0.5",0,4,22,115,81.56028368794325,10,40,
"Nu: 0.5, Gamma: 0.7",0,4,20,117,82.97872340425532,10,40,
"Nu: 0.5, Gamma: 0.9",0,4,16,121,85.81560283687944,10,40,
"Nu: 0.5, Gamma: 0.99",0,4,15,122,86.52482269503547,10,40,
"Nu: 0.7, Gamma: 0.0001",0,4,17,120,85.1063829787234,10,40,
"Nu: 0.7, Gamma: 0.0002",0,4,14,123,87.2340425531915,10,40,
"Nu: 0.7, Gamma: 0.0003",0,4,15,122,86.52482269503547,10,40,
"Nu: 0.7, Gamma: 0.0004",0,4,15,122,86.52482269503547,10,40,
"Nu: 0.7, Gamma: 0.005",0,4,17,120,85.1063829787234,10,40,
"Nu: 0.7, Gamma: 0.05",0,4,15,122,86.52482269503547,10,40,
"Nu: 0.7, Gamma: 0.0625",0,4,13,124,87.94326241134752,10,40,
"Nu: 0.7, Gamma: 0.1",0,4,14,123,87.2340425531915,10,40,
"Nu: 0.7, Gamma: 0.2",0,4,11,126,89.36170212765957,10,40,
"Nu: 0.7, Gamma: 0.5",0,4,8,129,91.48936170212765,10,40,
"Nu: 0.7, Gamma: 0.7",0,4,6,131,92.90780141843972,10,40,
"Nu: 0.7, Gamma: 0.9",0,4,5,132,93.61702127659575,10,40,
"Nu: 0.7, Gamma: 0.99",0,4,5,132,93.61702127659575,10,40,
"Nu: 0.9, Gamma: 0.0001",0,4,5,132,93.61702127659575,10,40,
"Nu: 0.9, Gamma: 0.0002",0,4,5,132,93.61702127659575,10,40,
"Nu: 0.9, Gamma: 0.0003",0,4,5,132,93.61702127659575,10,40,
"Nu: 0.9, Gamma: 0.0004",0,4,5,132,93.61702127659575,10,40,
"Nu: 0.9, Gamma: 0.005",0,4,5,132,93.61702127659575,10,40,
"Nu: 0.9, Gamma: 0.05",0,4,5,132,93.61702127659575,10,40,
"Nu: 0.9, Gamma: 0.0625",0,4,5,132,93.61702127659575,10,40,
"Nu: 0.9, Gamma: 0.1",0,4,5,132,93.61702127659575,10,40,
"Nu: 0.9, Gamma: 0.2",0,4,3,134,95.0354609929078,10,40,
"Nu: 0.9, Gamma: 0.5",0,4,2,135,95.74468085106383,10,40,
"Nu: 0.9, Gamma: 0.7",0,4,0,137,97.16312056737588,10,40,
"Nu: 0.9, Gamma: 0.9",0,4,0,137,97.16312056737588,10,40,
"Nu: 0.9, Gamma: 0.99",0,4,0,137,97.16312056737588,10,40,
"Nu: 0.99, Gamma: 0.0001",0,4,1,136,96.45390070921985,10,40,
"Nu: 0.99, Gamma: 0.0002",0,4,1,136,96.45390070921985,10,40,
"Nu: 0.99, Gamma: 0.0003",0,4,1,136,96.45390070921985,10,40,
"Nu: 0.99, Gamma: 0.0004",0,4,1,136,96.45390070921985,10,40,
"Nu: 0.99, Gamma: 0.005",0,4,1,136,96.45390070921985,10,40,
"Nu: 0.99, Gamma: 0.05",0,4,1,136,96.45390070921985,10,40,
"Nu: 0.99, Gamma: 0.0625",0,4,1,136,96.45390070921985,10,40,
"Nu: 0.99, Gamma: 0.1",0,4,1,136,96.45390070921985,10,40,
"Nu: 0.99, Gamma: 0.2",0,4,0,137,97.16312056737588,10,40,
"Nu: 0.99, Gamma: 0.5",0,4,0,137,97.16312056737588,10,40,
"Nu: 0.99, Gamma: 0.7",0,4,0,137,97.16312056737588,10,40,
"Nu: 0.99, Gamma: 0.9",0,4,0,137,97.16312056737588,10,40,
"Nu: 0.99, Gamma: 0.99",0,4,0,137,97.16312056737588,10,40,
,,,,,,,,
Target Class: ferret_MRURP,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.0001, Gamma: 0.0001",0,14,0,37,72.54901960784314,10,40,
"Nu: 0.0001, Gamma: 0.0002",0,14,0,37,72.54901960784314,10,40,
"Nu: 0.0001, Gamma: 0.0003",5,9,32,5,19.607843137254903,10,40,
"Nu: 0.0001, Gamma: 0.0004",5,9,32,5,19.607843137254903,10,40,
"Nu: 0.0001, Gamma: 0.005",14,0,35,2,31.372549019607842,10,40,
"Nu: 0.0001, Gamma: 0.05",14,0,36,1,29.411764705882355,10,40,
"Nu: 0.0001, Gamma: 0.0625",14,0,36,1,29.411764705882355,10,40,
"Nu: 0.0001, Gamma: 0.1",14,0,36,1,29.411764705882355,10,40,
"Nu: 0.0001, Gamma: 0.2",14,0,36,1,29.411764705882355,10,40,
"Nu: 0.0001, Gamma: 0.5",14,0,35,2,31.372549019607842,10,40,
"Nu: 0.0001, Gamma: 0.7",14,0,33,4,35.294117647058826,10,40,
"Nu: 0.0001, Gamma: 0.9",13,1,31,6,37.254901960784316,10,40,
"Nu: 0.0001, Gamma: 0.99",13,1,29,8,41.17647058823529,10,40,
"Nu: 0.0002, Gamma: 0.0001",7,7,4,33,78.43137254901961,10,40,
"Nu: 0.0002, Gamma: 0.0002",5,9,36,1,11.76470588235294,10,40,
"Nu: 0.0002, Gamma: 0.0003",5,9,36,1,11.76470588235294,10,40,
"Nu: 0.0002, Gamma: 0.0004",5,9,36,1,11.76470588235294,10,40,
"Nu: 0.0002, Gamma: 0.005",14,0,35,2,31.372549019607842,10,40,
"Nu: 0.0002, Gamma: 0.05",14,0,36,1,29.411764705882355,10,40,
"Nu: 0.0002, Gamma: 0.0625",14,0,36,1,29.411764705882355,10,40,
"Nu: 0.0002, Gamma: 0.1",14,0,36,1,29.411764705882355,10,40,
"Nu: 0.0002, Gamma: 0.2",14,0,36,1,29.411764705882355,10,40,
"Nu: 0.0002, Gamma: 0.5",14,0,35,2,31.372549019607842,10,40,
"Nu: 0.0002, Gamma: 0.7",14,0,33,4,35.294117647058826,10,40,
"Nu: 0.0002, Gamma: 0.9",13,1,30,7,39.21568627450981,10,40,
"Nu: 0.0002, Gamma: 0.99",13,1,29,8,41.17647058823529,10,40,
"Nu: 0.0003, Gamma: 0.0001",5,9,36,1,11.76470588235294,10,40,
"Nu: 0.0003, Gamma: 0.0002",5,9,36,1,11.76470588235294,10,40,
"Nu: 0.0003, Gamma: 0.0003",5,9,36,1,11.76470588235294,10,40,
"Nu: 0.0003, Gamma: 0.0004",5,9,36,1,11.76470588235294,10,40,
"Nu: 0.0003, Gamma: 0.005",14,0,35,2,31.372549019607842,10,40,
"Nu: 0.0003, Gamma: 0.05",14,0,36,1,29.411764705882355,10,40,
"Nu: 0.0003, Gamma: 0.0625",14,0,36,1,29.411764705882355,10,40,
"Nu: 0.0003, Gamma: 0.1",14,0,36,1,29.411764705882355,10,40,
"Nu: 0.0003, Gamma: 0.2",14,0,36,1,29.411764705882355,10,40,
"Nu: 0.0003, Gamma: 0.5",14,0,36,1,29.411764705882355,10,40,
"Nu: 0.0003, Gamma: 0.7",14,0,34,3,33.33333333333333,10,40,
"Nu: 0.0003, Gamma: 0.9",13,1,30,7,39.21568627450981,10,40,
"Nu: 0.0003, Gamma: 0.99",13,1,29,8,41.17647058823529,10,40,
"Nu: 0.0004, Gamma: 0.0001",14,0,35,2,31.372549019607842,10,40,
"Nu: 0.0004, Gamma: 0.0002",14,0,35,2,31.372549019607842,10,40,
"Nu: 0.0004, Gamma: 0.0003",14,0,35,2,31.372549019607842,10,40,
"Nu: 0.0004, Gamma: 0.0004",14,0,35,2,31.372549019607842,10,40,
"Nu: 0.0004, Gamma: 0.005",14,0,35,2,31.372549019607842,10,40,
"Nu: 0.0004, Gamma: 0.05",14,0,36,1,29.411764705882355,10,40,
"Nu: 0.0004, Gamma: 0.0625",14,0,36,1,29.411764705882355,10,40,
"Nu: 0.0004, Gamma: 0.1",14,0,36,1,29.411764705882355,10,40,
"Nu: 0.0004, Gamma: 0.2",14,0,36,1,29.411764705882355,10,40,
"Nu: 0.0004, Gamma: 0.5",14,0,36,1,29.411764705882355,10,40,
"Nu: 0.0004, Gamma: 0.7",14,0,34,3,33.33333333333333,10,40,
"Nu: 0.0004, Gamma: 0.9",13,1,31,6,37.254901960784316,10,40,
"Nu: 0.0004, Gamma: 0.99",13,1,29,8,41.17647058823529,10,40,
"Nu: 0.005, Gamma: 0.0001",14,0,36,1,29.411764705882355,10,40,
"Nu: 0.005, Gamma: 0.0002",14,0,35,2,31.372549019607842,10,40,
"Nu: 0.005, Gamma: 0.0003",14,0,35,2,31.372549019607842,10,40,
"Nu: 0.005, Gamma: 0.0004",14,0,36,1,29.411764705882355,10,40,
"Nu: 0.005, Gamma: 0.005",14,0,35,2,31.372549019607842,10,40,
"Nu: 0.005, Gamma: 0.05",14,0,36,1,29.411764705882355,10,40,
"Nu: 0.005, Gamma: 0.0625",14,0,35,2,31.372549019607842,10,40,
"Nu: 0.005, Gamma: 0.1",14,0,35,2,31.372549019607842,10,40,
"Nu: 0.005, Gamma: 0.2",14,0,35,2,31.372549019607842,10,40,
"Nu: 0.005, Gamma: 0.5",14,0,35,2,31.372549019607842,10,40,
"Nu: 0.005, Gamma: 0.7",14,0,32,5,37.254901960784316,10,40,
"Nu: 0.005, Gamma: 0.9",13,1,30,7,39.21568627450981,10,40,
"Nu: 0.005, Gamma: 0.99",13,1,29,8,41.17647058823529,10,40,
"Nu: 0.05, Gamma: 0.0001",14,0,32,5,37.254901960784316,10,40,
"Nu: 0.05, Gamma: 0.0002",14,0,32,5,37.254901960784316,10,40,
"Nu: 0.05, Gamma: 0.0003",14,0,32,5,37.254901960784316,10,40,
"Nu: 0.05, Gamma: 0.0004",14,0,32,5,37.254901960784316,10,40,
"Nu: 0.05, Gamma: 0.005",14,0,32,5,37.254901960784316,10,40,
"Nu: 0.05, Gamma: 0.05",14,0,31,6,39.21568627450981,10,40,
"Nu: 0.05, Gamma: 0.0625",14,0,31,6,39.21568627450981,10,40,
"Nu: 0.05, Gamma: 0.1",14,0,31,6,39.21568627450981,10,40,
"Nu: 0.05, Gamma: 0.2",14,0,30,7,41.17647058823529,10,40,
"Nu: 0.05, Gamma: 0.5",13,1,26,11,47.05882352941176,10,40,
"Nu: 0.05, Gamma: 0.7",13,1,25,12,49.01960784313725,10,40,
"Nu: 0.05, Gamma: 0.9",13,1,26,11,47.05882352941176,10,40,
"Nu: 0.05, Gamma: 0.99",13,1,25,12,49.01960784313725,10,40,
"Nu: 0.0625, Gamma: 0.0001",14,0,31,6,39.21568627450981,10,40,
"Nu: 0.0625, Gamma: 0.0002",13,1,31,6,37.254901960784316,10,40,
"Nu: 0.0625, Gamma: 0.0003",14,0,31,6,39.21568627450981,10,40,
"Nu: 0.0625, Gamma: 0.0004",14,0,31,6,39.21568627450981,10,40,
"Nu: 0.0625, Gamma: 0.005",14,0,31,6,39.21568627450981,10,40,
"Nu: 0.0625, Gamma: 0.05",14,0,31,6,39.21568627450981,10,40,
"Nu: 0.0625, Gamma: 0.0625",14,0,31,6,39.21568627450981,10,40,
"Nu: 0.0625, Gamma: 0.1",14,0,30,7,41.17647058823529,10,40,
"Nu: 0.0625, Gamma: 0.2",14,0,30,7,41.17647058823529,10,40,
"Nu: 0.0625, Gamma: 0.5",13,1,25,12,49.01960784313725,10,40,
"Nu: 0.0625, Gamma: 0.7",13,1,24,13,50.98039215686274,10,40,
"Nu: 0.0625, Gamma: 0.9",13,1,25,12,49.01960784313725,10,40,
"Nu: 0.0625, Gamma: 0.99",13,1,25,12,49.01960784313725,10,40,
"Nu: 0.1, Gamma: 0.0001",13,1,30,7,39.21568627450981,10,40,
"Nu: 0.1, Gamma: 0.0002",13,1,30,7,39.21568627450981,10,40,
"Nu: 0.1, Gamma: 0.0003",13,1,30,7,39.21568627450981,10,40,
"Nu: 0.1, Gamma: 0.0004",13,1,30,7,39.21568627450981,10,40,
"Nu: 0.1, Gamma: 0.005",13,1,30,7,39.21568627450981,10,40,
"Nu: 0.1, Gamma: 0.05",13,1,29,8,41.17647058823529,10,40,
"Nu: 0.1, Gamma: 0.0625",13,1,29,8,41.17647058823529,10,40,
"Nu: 0.1, Gamma: 0.1",13,1,29,8,41.17647058823529,10,40,
"Nu: 0.1, Gamma: 0.2",13,1,28,9,43.13725490196079,10,40,
"Nu: 0.1, Gamma: 0.5",13,1,23,14,52.94117647058824,10,40,
"Nu: 0.1, Gamma: 0.7",13,1,22,15,54.90196078431373,10,40,
"Nu: 0.1, Gamma: 0.9",13,1,23,14,52.94117647058824,10,40,
"Nu: 0.1, Gamma: 0.99",13,1,21,16,56.86274509803921,10,40,
"Nu: 0.2, Gamma: 0.0001",12,2,27,10,43.13725490196079,10,40,
"Nu: 0.2, Gamma: 0.0002",12,2,27,10,43.13725490196079,10,40,
"Nu: 0.2, Gamma: 0.0003",12,2,27,10,43.13725490196079,10,40,
"Nu: 0.2, Gamma: 0.0004",12,2,27,10,43.13725490196079,10,40,
"Nu: 0.2, Gamma: 0.005",12,2,27,10,43.13725490196079,10,40,
"Nu: 0.2, Gamma: 0.05",12,2,27,10,43.13725490196079,10,40,
"Nu: 0.2, Gamma: 0.0625",12,2,26,11,45.09803921568628,10,40,
"Nu: 0.2, Gamma: 0.1",12,2,26,11,45.09803921568628,10,40,
"Nu: 0.2, Gamma: 0.2",12,2,26,11,45.09803921568628,10,40,
"Nu: 0.2, Gamma: 0.5",10,4,21,16,50.98039215686274,10,40,
"Nu: 0.2, Gamma: 0.7",10,4,20,17,52.94117647058824,10,40,
"Nu: 0.2, Gamma: 0.9",11,3,17,20,60.78431372549019,10,40,
"Nu: 0.2, Gamma: 0.99",12,2,16,21,64.70588235294117,10,40,
"Nu: 0.5, Gamma: 0.0001",10,4,21,16,50.98039215686274,10,40,
"Nu: 0.5, Gamma: 0.0002",10,4,21,16,50.98039215686274,10,40,
"Nu: 0.5, Gamma: 0.0003",10,4,21,16,50.98039215686274,10,40,
"Nu: 0.5, Gamma: 0.0004",10,4,21,16,50.98039215686274,10,40,
"Nu: 0.5, Gamma: 0.005",10,4,21,16,50.98039215686274,10,40,
"Nu: 0.5, Gamma: 0.05",10,4,21,16,50.98039215686274,10,40,
"Nu: 0.5, Gamma: 0.0625",10,4,19,18,54.90196078431373,10,40,
"Nu: 0.5, Gamma: 0.1",11,3,19,18,56.86274509803921,10,40,
"Nu: 0.5, Gamma: 0.2",10,4,17,20,58.82352941176471,10,40,
"Nu: 0.5, Gamma: 0.5",8,6,11,26,66.66666666666666,10,40,
"Nu: 0.5, Gamma: 0.7",8,6,10,27,68.62745098039215,10,40,
"Nu: 0.5, Gamma: 0.9",9,5,10,27,70.58823529411765,10,40,
"Nu: 0.5, Gamma: 0.99",9,5,10,27,70.58823529411765,10,40,
"Nu: 0.7, Gamma: 0.0001",2,12,16,21,45.09803921568628,10,40,
"Nu: 0.7, Gamma: 0.0002",2,12,16,21,45.09803921568628,10,40,
"Nu: 0.7, Gamma: 0.0003",2,12,16,21,45.09803921568628,10,40,
"Nu: 0.7, Gamma: 0.0004",2,12,16,21,45.09803921568628,10,40,
"Nu: 0.7, Gamma: 0.005",2,12,16,21,45.09803921568628,10,40,
"Nu: 0.7, Gamma: 0.05",2,12,13,24,50.98039215686274,10,40,
"Nu: 0.7, Gamma: 0.0625",2,12,12,25,52.94117647058824,10,40,
"Nu: 0.7, Gamma: 0.1",2,12,12,25,52.94117647058824,10,40,
"Nu: 0.7, Gamma: 0.2",5,9,11,26,60.78431372549019,10,40,
"Nu: 0.7, Gamma: 0.5",5,9,8,29,66.66666666666666,10,40,
"Nu: 0.7, Gamma: 0.7",4,10,5,32,70.58823529411765,10,40,
"Nu: 0.7, Gamma: 0.9",3,11,5,32,68.62745098039215,10,40,
"Nu: 0.7, Gamma: 0.99",3,11,5,32,68.62745098039215,10,40,
"Nu: 0.9, Gamma: 0.0001",1,13,8,29,58.82352941176471,10,40,
"Nu: 0.9, Gamma: 0.0002",1,13,8,29,58.82352941176471,10,40,
"Nu: 0.9, Gamma: 0.0003",1,13,8,29,58.82352941176471,10,40,
"Nu: 0.9, Gamma: 0.0004",1,13,8,29,58.82352941176471,10,40,
"Nu: 0.9, Gamma: 0.005",1,13,8,29,58.82352941176471,10,40,
"Nu: 0.9, Gamma: 0.05",1,13,9,28,56.86274509803921,10,40,
"Nu: 0.9, Gamma: 0.0625",1,13,9,28,56.86274509803921,10,40,
