ToRouter0,ToRouter1,ToRouter2,ToRouter3,ToRouter4,ToRouter5,ToRouter6,ToRouter7,ToRouter8,ToRouter9,ToRouter10,ToRouter11,ToRouter12,ToRouter13,ToRouter14,ToRouter15,Applications (Label Classes)
17,43,3.0,1.0,4.0,1.0,1.0,2.0,47.0,1.0,3.0,2.0,3.0,52.0,1.0,2.0,blackscholes
25,61,1.0,2.0,3.0,0.0,0.0,0.0,31.0,2.0,2.0,1.0,2.0,29.0,5.0,3.0,blackscholes
154,150,15.0,4.0,22.0,12.0,8.0,11.0,14.0,7.0,13.0,8.0,9.0,20.0,18.0,31.0,blackscholes
8,69,3.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,blackscholes
7,96,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,blackscholes
6,85,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,blackscholes
13,89,2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,4.0,0.0,1.0,blackscholes
7,107,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,blackscholes
7,90,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,blackscholes
9,77,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,blackscholes
12,104,2.0,3.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,blackscholes
9,75,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,blackscholes
7,57,2.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,blackscholes
8,43,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blackscholes
12,64,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,blackscholes
18,58,2.0,2.0,2.0,1.0,2.0,2.0,6.0,3.0,4.0,2.0,3.0,0.0,3.0,5.0,blackscholes
13,56,2.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,blackscholes
19,59,2.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,blackscholes
71,27,15.0,40.0,35.0,15.0,8.0,12.0,12.0,7.0,11.0,50.0,8.0,6.0,71.0,34.0,blackscholes
13,11,1.0,7.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,17.0,2.0,2.0,13.0,4.0,blackscholes
18,11,0.0,11.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,13.0,2.0,0.0,12.0,1.0,blackscholes
29,12,0.0,2.0,2.0,0.0,2.0,2.0,1.0,2.0,3.0,17.0,2.0,1.0,15.0,2.0,blackscholes
32,9,0.0,7.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,27.0,2.0,0.0,30.0,3.0,blackscholes
14,10,0.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,13.0,1.0,0.0,10.0,1.0,blackscholes
9,6,0.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,15.0,1.0,2.0,13.0,2.0,blackscholes
11,6,1.0,6.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,15.0,2.0,1.0,12.0,2.0,blackscholes
20,12,0.0,6.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,12.0,2.0,0.0,15.0,2.0,blackscholes
11,11,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,12.0,2.0,0.0,11.0,1.0,blackscholes
15,6,1.0,8.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,11.0,3.0,1.0,15.0,3.0,blackscholes
22,1,0.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,4.0,4.0,27.0,7.0,blackscholes
17,6,1.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,14.0,4.0,2.0,36.0,3.0,blackscholes
22,5,0.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,16.0,3.0,0.0,23.0,2.0,blackscholes
29,5,1.0,8.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,46.0,2.0,2.0,48.0,7.0,blackscholes
21,8,1.0,5.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,24.0,2.0,1.0,31.0,5.0,blackscholes
52,16,8.0,10.0,15.0,12.0,2.0,5.0,2.0,5.0,4.0,20.0,5.0,13.0,22.0,22.0,blackscholes
7,2,3.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,blackscholes
10,0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,blackscholes
6,2,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,blackscholes
16,4,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,3.0,1.0,blackscholes
12,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,4.0,blackscholes
4,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,blackscholes
6,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,blackscholes
6,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,blackscholes
7,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,blackscholes
8,4,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,blackscholes
12,5,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,0.0,1.0,0.0,1.0,2.0,blackscholes
10,6,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,blackscholes
12,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,blackscholes
15,5,4.0,5.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,6.0,5.0,7.0,6.0,3.0,blackscholes
15,4,2.0,3.0,2.0,5.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,blackscholes
34,11,6.0,3.0,18.0,4.0,2.0,5.0,2.0,3.0,3.0,14.0,8.0,5.0,12.0,12.0,blackscholes
6,0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,blackscholes
7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,blackscholes
5,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blackscholes
13,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,blackscholes
5,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,blackscholes
4,0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,blackscholes
4,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,blackscholes
5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blackscholes
5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,blackscholes
6,1,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,blackscholes
8,0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,blackscholes
8,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,blackscholes
6,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blackscholes
11,1,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,blackscholes
7,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,blackscholes
135,52,6.0,4.0,21.0,6.0,4.0,5.0,5.0,5.0,3.0,13.0,7.0,14.0,21.0,26.0,blackscholes
10,28,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,blackscholes
7,27,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,blackscholes
7,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,blackscholes
15,28,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,blackscholes
8,25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,blackscholes
6,21,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,blackscholes
7,18,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,blackscholes
7,30,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,blackscholes
6,22,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blackscholes
5,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blackscholes
13,17,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,blackscholes
7,26,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,blackscholes
11,25,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,blackscholes
21,21,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,4.0,blackscholes
14,21,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,blackscholes
260,112,12.0,8.0,23.0,44.0,6.0,6.0,2.0,4.0,6.0,10.0,8.0,15.0,22.0,22.0,blackscholes
11,54,1.0,1.0,3.0,18.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,blackscholes
12,75,1.0,1.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,blackscholes
7,72,0.0,1.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,blackscholes
15,64,1.0,0.0,2.0,32.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,3.0,2.0,blackscholes
8,71,0.0,0.0,3.0,10.0,2.0,2.0,2.0,3.0,0.0,2.0,2.0,3.0,4.0,3.0,blackscholes
