Features: 16,,,,,,,,,,
Target Class: canneal,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,93.10344828,163
"Nu: 0.05, Gamma: 0.5",5,0,49,4,15.51724138,0,40,,,
"Nu: 0.05, Gamma: 0.7",4,1,44,9,22.4137931,0,40,,,
"Nu: 0.05, Gamma: 0.9",4,1,42,11,25.86206897,0,40,,,
"Nu: 0.05, Gamma: 0.99",4,1,42,11,25.86206897,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",1,4,30,23,41.37931034,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",4,1,47,6,17.24137931,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",5,0,51,2,12.06896552,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",5,0,51,2,12.06896552,0,40,,,
"Nu: 0.0625, Gamma: 0.005",5,0,51,2,12.06896552,0,40,,,
"Nu: 0.0625, Gamma: 0.05",5,0,51,2,12.06896552,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",5,0,51,2,12.06896552,0,40,,,
"Nu: 0.0625, Gamma: 0.1",5,0,51,2,12.06896552,0,40,,,
"Nu: 0.0625, Gamma: 0.2",5,0,50,3,13.79310345,0,40,,,
"Nu: 0.0625, Gamma: 0.5",5,0,49,4,15.51724138,0,40,,,
"Nu: 0.0625, Gamma: 0.7",4,1,45,8,20.68965517,0,40,,,
"Nu: 0.0625, Gamma: 0.9",4,1,42,11,25.86206897,0,40,,,
"Nu: 0.0625, Gamma: 0.99",4,1,42,11,25.86206897,0,40,,,
"Nu: 0.1, Gamma: 0.0001",3,2,40,13,27.5862069,0,40,,,
"Nu: 0.1, Gamma: 0.0002",4,1,51,2,10.34482759,0,40,,,
"Nu: 0.1, Gamma: 0.0003",4,1,51,2,10.34482759,0,40,,,
"Nu: 0.1, Gamma: 0.0004",4,1,51,2,10.34482759,0,40,,,
"Nu: 0.1, Gamma: 0.005",4,1,51,2,10.34482759,0,40,,,
"Nu: 0.1, Gamma: 0.05",4,1,51,2,10.34482759,0,40,,,
"Nu: 0.1, Gamma: 0.0625",4,1,51,2,10.34482759,0,40,,,
"Nu: 0.1, Gamma: 0.1",4,1,51,2,10.34482759,0,40,,,
"Nu: 0.1, Gamma: 0.2",5,0,50,3,13.79310345,0,40,,,
"Nu: 0.1, Gamma: 0.5",5,0,49,4,15.51724138,0,40,,,
"Nu: 0.1, Gamma: 0.7",4,1,45,8,20.68965517,0,40,,,
"Nu: 0.1, Gamma: 0.9",4,1,42,11,25.86206897,0,40,,,
"Nu: 0.1, Gamma: 0.99",4,1,42,11,25.86206897,0,40,,,
"Nu: 0.2, Gamma: 0.0001",2,3,44,9,18.96551724,0,40,,,
"Nu: 0.2, Gamma: 0.0002",2,3,44,9,18.96551724,0,40,,,
"Nu: 0.2, Gamma: 0.0003",2,3,44,9,18.96551724,0,40,,,
"Nu: 0.2, Gamma: 0.0004",2,3,44,9,18.96551724,0,40,,,
"Nu: 0.2, Gamma: 0.005",2,3,44,9,18.96551724,0,40,,,
"Nu: 0.2, Gamma: 0.05",2,3,43,10,20.68965517,0,40,,,
"Nu: 0.2, Gamma: 0.0625",2,3,43,10,20.68965517,0,40,,,
"Nu: 0.2, Gamma: 0.1",2,3,43,10,20.68965517,0,40,,,
"Nu: 0.2, Gamma: 0.2",2,3,42,11,22.4137931,0,40,,,
"Nu: 0.2, Gamma: 0.5",2,3,46,7,15.51724138,0,40,,,
"Nu: 0.2, Gamma: 0.7",3,2,45,8,18.96551724,0,40,,,
"Nu: 0.2, Gamma: 0.9",3,2,42,11,24.13793103,0,40,,,
