Features: 16,,,,,,,,
Target Class: raytrace,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.05, Gamma: 0.5",2,2,24,5,21.21212121212121,0,40,
"Nu: 0.05, Gamma: 0.7",2,2,21,8,30.303030303030305,0,40,
"Nu: 0.05, Gamma: 0.9",3,1,17,12,45.45454545454545,0,40,
"Nu: 0.05, Gamma: 0.99",3,1,15,14,51.515151515151516,0,40,
"Nu: 0.0625, Gamma: 0.0001",4,0,26,3,21.21212121212121,0,40,
"Nu: 0.0625, Gamma: 0.0002",4,0,26,3,21.21212121212121,0,40,
"Nu: 0.0625, Gamma: 0.0003",4,0,26,3,21.21212121212121,0,40,
"Nu: 0.0625, Gamma: 0.0004",4,0,26,3,21.21212121212121,0,40,
"Nu: 0.0625, Gamma: 0.005",4,0,26,3,21.21212121212121,0,40,
"Nu: 0.0625, Gamma: 0.05",4,0,26,3,21.21212121212121,0,40,
"Nu: 0.0625, Gamma: 0.0625",4,0,26,3,21.21212121212121,0,40,
"Nu: 0.0625, Gamma: 0.1",4,0,26,3,21.21212121212121,0,40,
"Nu: 0.0625, Gamma: 0.2",3,1,26,3,18.181818181818183,0,40,
"Nu: 0.0625, Gamma: 0.5",2,2,23,6,24.242424242424242,0,40,
"Nu: 0.0625, Gamma: 0.7",2,2,21,8,30.303030303030305,0,40,
"Nu: 0.0625, Gamma: 0.9",2,2,17,12,42.42424242424242,0,40,
"Nu: 0.0625, Gamma: 0.99",3,1,15,14,51.515151515151516,0,40,
"Nu: 0.1, Gamma: 0.0001",3,1,24,5,24.242424242424242,0,40,
"Nu: 0.1, Gamma: 0.0002",3,1,24,5,24.242424242424242,0,40,
"Nu: 0.1, Gamma: 0.0003",3,1,24,5,24.242424242424242,0,40,
"Nu: 0.1, Gamma: 0.0004",3,1,24,5,24.242424242424242,0,40,
"Nu: 0.1, Gamma: 0.005",3,1,24,5,24.242424242424242,0,40,
"Nu: 0.1, Gamma: 0.05",3,1,24,5,24.242424242424242,0,40,
"Nu: 0.1, Gamma: 0.0625",3,1,24,5,24.242424242424242,0,40,
"Nu: 0.1, Gamma: 0.1",3,1,24,5,24.242424242424242,0,40,
"Nu: 0.1, Gamma: 0.2",2,2,24,5,21.21212121212121,0,40,
"Nu: 0.1, Gamma: 0.5",2,2,24,5,21.21212121212121,0,40,
"Nu: 0.1, Gamma: 0.7",2,2,21,8,30.303030303030305,0,40,
