Features: 16,,,,,,,,,,
Target Class: x264,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,98.46014493,77
"Nu: 0.05, Gamma: 0.1",465,37,220,4798,95.3442029,0,40,,,
"Nu: 0.05, Gamma: 0.2",464,38,120,4898,97.13768116,0,40,,,
"Nu: 0.05, Gamma: 0.5",464,38,47,4971,98.46014493,0,40,,,
"Nu: 0.05, Gamma: 0.7",467,35,50,4968,98.46014493,0,40,,,
"Nu: 0.05, Gamma: 0.9",466,36,56,4962,98.33333333,0,40,,,
"Nu: 0.05, Gamma: 0.99",467,35,64,4954,98.20652174,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",416,86,190,4828,95,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",426,76,223,4795,94.58333333,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",426,76,222,4796,94.60144928,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",426,76,221,4797,94.61956522,0,40,,,
"Nu: 0.0625, Gamma: 0.005",460,42,320,4698,93.44202899,0,40,,,
"Nu: 0.0625, Gamma: 0.05",456,46,219,4799,95.19927536,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",456,46,196,4822,95.61594203,0,40,,,
"Nu: 0.0625, Gamma: 0.1",445,57,135,4883,96.52173913,0,40,,,
"Nu: 0.0625, Gamma: 0.2",444,58,72,4946,97.64492754,0,40,,,
"Nu: 0.0625, Gamma: 0.5",457,45,50,4968,98.27898551,0,40,,,
"Nu: 0.0625, Gamma: 0.7",461,41,55,4963,98.26086957,0,40,,,
"Nu: 0.0625, Gamma: 0.9",458,44,72,4946,97.89855072,0,40,,,
"Nu: 0.0625, Gamma: 0.99",460,42,78,4940,97.82608696,0,40,,,
"Nu: 0.1, Gamma: 0.0001",52,450,26,4992,91.37681159,0,40,,,
"Nu: 0.1, Gamma: 0.0002",94,408,35,4983,91.97463768,0,40,,,
"Nu: 0.1, Gamma: 0.0003",76,426,32,4986,91.70289855,0,40,,,
"Nu: 0.1, Gamma: 0.0004",94,408,35,4983,91.97463768,0,40,,,
"Nu: 0.1, Gamma: 0.005",95,407,35,4983,91.99275362,0,40,,,
"Nu: 0.1, Gamma: 0.05",447,55,105,4913,97.10144928,0,40,,,
"Nu: 0.1, Gamma: 0.0625",397,105,62,4956,96.97463768,0,40,,,
"Nu: 0.1, Gamma: 0.1",445,57,74,4944,97.62681159,0,40,,,
"Nu: 0.1, Gamma: 0.2",440,62,46,4972,98.04347826,0,40,,,
"Nu: 0.1, Gamma: 0.5",441,61,52,4966,97.95289855,0,40,,,
"Nu: 0.1, Gamma: 0.7",438,64,71,4947,97.55434783,0,40,,,
"Nu: 0.1, Gamma: 0.9",443,59,105,4913,97.02898551,0,40,,,
"Nu: 0.1, Gamma: 0.99",443,59,114,4904,96.86594203,0,40,,,
"Nu: 0.2, Gamma: 0.0001",75,427,21,4997,91.88405797,0,40,,,
"Nu: 0.2, Gamma: 0.0002",99,403,23,4995,92.2826087,0,40,,,
"Nu: 0.2, Gamma: 0.0003",118,384,23,4995,92.62681159,0,40,,,
"Nu: 0.2, Gamma: 0.0004",116,386,23,4995,92.59057971,0,40,,,
"Nu: 0.2, Gamma: 0.005",185,317,25,4993,93.80434783,0,40,,,
"Nu: 0.2, Gamma: 0.05",387,115,29,4989,97.39130435,0,40,,,
"Nu: 0.2, Gamma: 0.0625",402,100,33,4985,97.59057971,0,40,,,
"Nu: 0.2, Gamma: 0.1",398,104,30,4988,97.57246377,0,40,,,
"Nu: 0.2, Gamma: 0.2",396,106,26,4992,97.60869565,0,40,,,
"Nu: 0.2, Gamma: 0.5",401,101,19,4999,97.82608696,0,40,,,
"Nu: 0.2, Gamma: 0.7",399,103,12,5006,97.91666667,0,40,,,
"Nu: 0.2, Gamma: 0.9",402,100,15,5003,97.91666667,0,40,,,
"Nu: 0.2, Gamma: 0.99",400,102,15,5003,97.88043478,0,40,,,
"Nu: 0.5, Gamma: 0.0001",495,7,4988,30,9.510869565,0,40,,,
"Nu: 0.5, Gamma: 0.0002",494,8,4982,36,9.601449275,0,40,,,
"Nu: 0.5, Gamma: 0.0003",494,8,4982,36,9.601449275,0,40,,,
"Nu: 0.5, Gamma: 0.0004",494,8,4661,357,15.41666667,0,40,,,
"Nu: 0.5, Gamma: 0.005",310,192,11,5007,96.32246377,0,40,,,
"Nu: 0.5, Gamma: 0.05",224,278,2,5016,94.92753623,0,40,,,
"Nu: 0.5, Gamma: 0.0625",238,264,2,5016,95.18115942,0,40,,,
"Nu: 0.5, Gamma: 0.1",239,263,1,5017,95.2173913,0,40,,,
"Nu: 0.5, Gamma: 0.2",254,248,1,5017,95.48913043,0,40,,,
"Nu: 0.5, Gamma: 0.5",251,251,0,5018,95.45289855,0,40,,,
"Nu: 0.5, Gamma: 0.7",248,254,0,5018,95.39855072,0,40,,,
"Nu: 0.5, Gamma: 0.9",253,249,0,5018,95.48913043,0,40,,,
"Nu: 0.5, Gamma: 0.99",251,251,0,5018,95.45289855,0,40,,,
"Nu: 0.7, Gamma: 0.0001",0,502,0,5018,90.9057971,0,40,,,
"Nu: 0.7, Gamma: 0.0002",25,477,0,5018,91.35869565,0,40,,,
"Nu: 0.7, Gamma: 0.0003",21,481,0,5018,91.28623188,0,40,,,
"Nu: 0.7, Gamma: 0.0004",25,477,0,5018,91.35869565,0,40,,,
"Nu: 0.7, Gamma: 0.005",153,349,1,5017,93.65942029,0,40,,,
"Nu: 0.7, Gamma: 0.05",156,346,0,5018,93.73188406,0,40,,,
"Nu: 0.7, Gamma: 0.0625",157,345,0,5018,93.75,0,40,,,
"Nu: 0.7, Gamma: 0.1",157,345,0,5018,93.75,0,40,,,
"Nu: 0.7, Gamma: 0.2",135,367,0,5018,93.35144928,0,40,,,
"Nu: 0.7, Gamma: 0.5",144,358,0,5018,93.51449275,0,40,,,
"Nu: 0.7, Gamma: 0.7",143,359,0,5018,93.49637681,0,40,,,
"Nu: 0.7, Gamma: 0.9",148,354,0,5018,93.58695652,0,40,,,
"Nu: 0.7, Gamma: 0.99",144,358,0,5018,93.51449275,0,40,,,
"Nu: 0.9, Gamma: 0.0001",426,76,254,4764,94.02173913,0,40,,,
"Nu: 0.9, Gamma: 0.0002",474,28,2778,2240,49.16666667,0,40,,,
"Nu: 0.9, Gamma: 0.0003",455,47,1284,3734,75.88768116,0,40,,,
"Nu: 0.9, Gamma: 0.0004",470,32,2162,2856,60.25362319,0,40,,,
"Nu: 0.9, Gamma: 0.005",8,494,0,5018,91.05072464,0,40,,,
"Nu: 0.9, Gamma: 0.05",28,474,0,5018,91.41304348,0,40,,,
"Nu: 0.9, Gamma: 0.0625",33,469,0,5018,91.50362319,0,40,,,
"Nu: 0.9, Gamma: 0.1",44,458,0,5018,91.70289855,0,40,,,
"Nu: 0.9, Gamma: 0.2",46,456,0,5018,91.73913043,0,40,,,
"Nu: 0.9, Gamma: 0.5",54,448,0,5018,91.88405797,0,40,,,
"Nu: 0.9, Gamma: 0.7",50,452,0,5018,91.8115942,0,40,,,
"Nu: 0.9, Gamma: 0.9",54,448,0,5018,91.88405797,0,40,,,
"Nu: 0.9, Gamma: 0.99",51,451,0,5018,91.82971014,0,40,,,
"Nu: 0.99, Gamma: 0.0001",0,502,0,5018,90.9057971,0,40,,,
"Nu: 0.99, Gamma: 0.0002",482,20,3785,1233,31.06884058,0,40,,,
"Nu: 0.99, Gamma: 0.0003",432,70,468,4550,90.25362319,0,40,,,
"Nu: 0.99, Gamma: 0.0004",423,79,172,4846,95.45289855,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,502,0,5018,90.9057971,0,40,,,
"Nu: 0.99, Gamma: 0.05",8,494,0,5018,91.05072464,0,40,,,
"Nu: 0.99, Gamma: 0.0625",9,493,0,5018,91.06884058,0,40,,,
"Nu: 0.99, Gamma: 0.1",6,496,0,5018,91.01449275,0,40,,,
"Nu: 0.99, Gamma: 0.2",4,498,0,5018,90.97826087,0,40,,,
"Nu: 0.99, Gamma: 0.5",3,499,0,5018,90.96014493,0,40,,,
"Nu: 0.99, Gamma: 0.7",2,500,0,5018,90.94202899,0,40,,,
"Nu: 0.99, Gamma: 0.9",4,498,0,5018,90.97826087,0,40,,,
"Nu: 0.99, Gamma: 0.99",5,497,0,5018,90.99637681,0,40,,,
,,,,,,,,,,
Target Class: x264_cachehalf,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,502,0,5016,90.90250091,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,502,0,5016,90.90250091,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",40,462,1824,3192,58.57194636,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",40,462,1817,3199,58.69880391,0,40,,,
"Nu: 0.0001, Gamma: 0.005",40,462,1816,3200,58.71692642,0,40,,,
"Nu: 0.0001, Gamma: 0.05",38,464,1783,3233,59.27872418,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",38,464,1769,3247,59.53243929,0,40,,,
"Nu: 0.0001, Gamma: 0.1",162,340,4979,37,3.606379123,0,40,,,
"Nu: 0.0001, Gamma: 0.2",501,1,5001,15,9.351214208,0,40,,,
"Nu: 0.0001, Gamma: 0.5",461,41,5000,16,8.64443639,0,40,,,
"Nu: 0.0001, Gamma: 0.7",499,3,4999,17,9.351214208,0,40,,,
"Nu: 0.0001, Gamma: 0.9",11,491,912,4104,74.57412106,0,40,,,
"Nu: 0.0001, Gamma: 0.99",207,295,4997,19,4.095686843,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,502,0,5016,90.90250091,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",40,462,1816,3200,58.71692642,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",40,462,1824,3192,58.57194636,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",40,462,1817,3199,58.69880391,0,40,,,
"Nu: 0.0002, Gamma: 0.005",40,462,1816,3200,58.71692642,0,40,,,
"Nu: 0.0002, Gamma: 0.05",38,464,1783,3233,59.27872418,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",38,464,1769,3247,59.53243929,0,40,,,
"Nu: 0.0002, Gamma: 0.1",162,340,4979,37,3.606379123,0,40,,,
"Nu: 0.0002, Gamma: 0.2",445,57,5001,15,8.336353751,0,40,,,
"Nu: 0.0002, Gamma: 0.5",347,155,5000,16,6.57847046,0,40,,,
"Nu: 0.0002, Gamma: 0.7",499,3,4999,17,9.351214208,0,40,,,
"Nu: 0.0002, Gamma: 0.9",499,3,4999,17,9.351214208,0,40,,,
"Nu: 0.0002, Gamma: 0.99",497,5,4999,17,9.314969192,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",120,382,3860,1156,23.12432041,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",120,382,3866,1150,23.01558536,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",120,382,3871,1145,22.92497282,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",120,382,3859,1157,23.14244291,0,40,,,
"Nu: 0.0003, Gamma: 0.005",120,382,3862,1154,23.08807539,0,40,,,
"Nu: 0.0003, Gamma: 0.05",120,382,3847,1169,23.35991301,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",450,52,5014,2,8.191373686,0,40,,,
"Nu: 0.0003, Gamma: 0.1",457,45,5011,5,8.372598768,0,40,,,
"Nu: 0.0003, Gamma: 0.2",460,42,5001,15,8.608191374,0,40,,,
"Nu: 0.0003, Gamma: 0.5",498,4,5000,16,9.314969192,0,40,,,
"Nu: 0.0003, Gamma: 0.7",414,88,4999,17,7.810801015,0,40,,,
"Nu: 0.0003, Gamma: 0.9",196,306,4984,32,4.131931859,0,40,,,
"Nu: 0.0003, Gamma: 0.99",499,3,4999,17,9.351214208,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",120,382,3880,1136,22.76187024,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",120,382,3892,1124,22.54440014,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",120,382,3893,1123,22.52627764,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",120,382,3882,1134,22.72562523,0,40,,,
"Nu: 0.0004, Gamma: 0.005",120,382,3890,1126,22.58064516,0,40,,,
"Nu: 0.0004, Gamma: 0.05",348,154,5014,2,6.342877854,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",349,153,5014,2,6.361000362,0,40,,,
"Nu: 0.0004, Gamma: 0.1",330,172,5011,5,6.071040232,0,40,,,
"Nu: 0.0004, Gamma: 0.2",501,1,5001,15,9.351214208,0,40,,,
"Nu: 0.0004, Gamma: 0.5",499,3,5000,16,9.3330917,0,40,,,
"Nu: 0.0004, Gamma: 0.7",499,3,4999,17,9.351214208,0,40,,,
"Nu: 0.0004, Gamma: 0.9",472,30,4999,17,8.861906488,0,40,,,
"Nu: 0.0004, Gamma: 0.99",497,5,4999,17,9.314969192,0,40,,,
"Nu: 0.005, Gamma: 0.0001",330,172,5004,12,6.197897789,0,40,,,
"Nu: 0.005, Gamma: 0.0002",330,172,5004,12,6.197897789,0,40,,,
"Nu: 0.005, Gamma: 0.0003",331,171,5004,12,6.216020297,0,40,,,
"Nu: 0.005, Gamma: 0.0004",331,171,5004,12,6.216020297,0,40,,,
"Nu: 0.005, Gamma: 0.005",308,194,5004,12,5.79920261,0,40,,,
"Nu: 0.005, Gamma: 0.05",499,3,5004,12,9.260601667,0,40,,,
"Nu: 0.005, Gamma: 0.0625",499,3,5003,13,9.278724175,0,40,,,
"Nu: 0.005, Gamma: 0.1",497,5,5002,14,9.260601667,0,40,,,
"Nu: 0.005, Gamma: 0.2",496,6,5000,16,9.278724175,0,40,,,
"Nu: 0.005, Gamma: 0.5",496,6,4999,17,9.296846684,0,40,,,
"Nu: 0.005, Gamma: 0.7",497,5,4999,17,9.314969192,0,40,,,
"Nu: 0.005, Gamma: 0.9",496,6,4998,18,9.314969192,0,40,,,
"Nu: 0.005, Gamma: 0.99",498,4,4998,18,9.351214208,0,40,,,
"Nu: 0.05, Gamma: 0.0001",96,406,2373,2643,49.63754984,0,40,,,
"Nu: 0.05, Gamma: 0.0002",116,386,2758,2258,43.02283436,0,40,,,
"Nu: 0.05, Gamma: 0.0003",128,374,3259,1757,34.16092787,0,40,,,
"Nu: 0.05, Gamma: 0.0004",121,381,3088,1928,37.13301921,0,40,,,
"Nu: 0.05, Gamma: 0.005",301,201,4997,19,5.79920261,0,40,,,
"Nu: 0.05, Gamma: 0.05",436,66,4996,20,8.263863719,0,40,,,
"Nu: 0.05, Gamma: 0.0625",474,28,4996,20,8.952519029,0,40,,,
"Nu: 0.05, Gamma: 0.1",449,53,4993,23,8.553823849,0,40,,,
"Nu: 0.05, Gamma: 0.2",474,28,4991,25,9.043131569,0,40,,,
"Nu: 0.05, Gamma: 0.5",473,29,4975,41,9.314969192,0,40,,,
"Nu: 0.05, Gamma: 0.7",464,38,4554,462,16.78144255,0,40,,,
"Nu: 0.05, Gamma: 0.9",472,30,4215,801,23.06995288,0,40,,,
"Nu: 0.05, Gamma: 0.99",469,33,4122,894,24.70097862,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",487,15,4997,19,9.169989126,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",494,8,4997,19,9.296846684,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",494,8,4997,19,9.296846684,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",494,8,4997,19,9.296846684,0,40,,,
"Nu: 0.0625, Gamma: 0.005",172,330,4720,296,8.481333817,0,40,,,
"Nu: 0.0625, Gamma: 0.05",431,71,4993,23,8.227618702,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",468,34,4993,23,8.898151504,0,40,,,
"Nu: 0.0625, Gamma: 0.1",468,34,4993,23,8.898151504,0,40,,,
"Nu: 0.0625, Gamma: 0.2",448,54,4990,26,8.590068866,0,40,,,
"Nu: 0.0625, Gamma: 0.5",453,49,4676,340,14.37114897,0,40,,,
"Nu: 0.0625, Gamma: 0.7",462,40,4158,858,23.92171076,0,40,,,
"Nu: 0.0625, Gamma: 0.9",459,43,3993,1023,26.85755709,0,40,,,
"Nu: 0.0625, Gamma: 0.99",460,42,3975,1041,27.20188474,0,40,,,
"Nu: 0.1, Gamma: 0.0001",36,466,1429,3587,65.65784705,0,40,,,
"Nu: 0.1, Gamma: 0.0002",129,373,3317,1699,33.12794491,0,40,,,
"Nu: 0.1, Gamma: 0.0003",109,393,2579,2437,46.13990576,0,40,,,
"Nu: 0.1, Gamma: 0.0004",86,416,2240,2776,51.86661834,0,40,,,
"Nu: 0.1, Gamma: 0.005",155,347,4398,618,14.0086988,0,40,,,
"Nu: 0.1, Gamma: 0.05",431,71,4990,26,8.281986227,0,40,,,
"Nu: 0.1, Gamma: 0.0625",447,55,4990,26,8.571946357,0,40,,,
"Nu: 0.1, Gamma: 0.1",431,71,4990,26,8.281986227,0,40,,,
"Nu: 0.1, Gamma: 0.2",445,57,4984,32,8.64443639,0,40,,,
"Nu: 0.1, Gamma: 0.5",433,69,3924,1092,27.63682494,0,40,,,
"Nu: 0.1, Gamma: 0.7",433,69,3631,1385,32.94671983,0,40,,,
"Nu: 0.1, Gamma: 0.9",436,66,3418,1598,36.86118159,0,40,,,
"Nu: 0.1, Gamma: 0.99",435,67,3370,1646,37.71293947,0,40,,,
"Nu: 0.2, Gamma: 0.0001",306,196,4988,28,6.052917724,0,40,,,
"Nu: 0.2, Gamma: 0.0002",379,123,4988,28,7.375860819,0,40,,,
"Nu: 0.2, Gamma: 0.0003",399,103,4988,28,7.738310982,0,40,,,
"Nu: 0.2, Gamma: 0.0004",389,113,4988,28,7.557085901,0,40,,,
"Nu: 0.2, Gamma: 0.005",102,400,2626,2390,45.16129032,0,40,,,
"Nu: 0.2, Gamma: 0.05",406,96,4960,56,8.372598768,0,40,,,
"Nu: 0.2, Gamma: 0.0625",404,98,4893,123,9.550561798,0,40,,,
"Nu: 0.2, Gamma: 0.1",404,98,4482,534,16.99891265,0,40,,,
"Nu: 0.2, Gamma: 0.2",387,115,3586,1430,32.92859732,0,40,,,
"Nu: 0.2, Gamma: 0.5",382,120,1781,3235,65.549112,0,40,,,
"Nu: 0.2, Gamma: 0.7",383,119,1661,3355,67.74193548,0,40,,,
"Nu: 0.2, Gamma: 0.9",385,117,1451,3565,71.58390721,0,40,,,
"Nu: 0.2, Gamma: 0.99",389,113,1492,3524,70.91337441,0,40,,,
"Nu: 0.5, Gamma: 0.0001",497,5,4991,25,9.459949257,0,40,,,
"Nu: 0.5, Gamma: 0.0002",497,5,4933,83,10.51105473,0,40,,,
"Nu: 0.5, Gamma: 0.0003",497,5,4940,76,10.38419717,0,40,,,
"Nu: 0.5, Gamma: 0.0004",497,5,4940,76,10.38419717,0,40,,,
"Nu: 0.5, Gamma: 0.005",141,361,1213,3803,71.47517216,0,40,,,
"Nu: 0.5, Gamma: 0.05",219,283,804,4212,80.30083364,0,40,,,
"Nu: 0.5, Gamma: 0.0625",223,279,614,4402,83.81660022,0,40,,,
"Nu: 0.5, Gamma: 0.1",224,278,189,4827,91.53678869,0,40,,,
"Nu: 0.5, Gamma: 0.2",226,276,0,5016,94.99818775,0,40,,,
"Nu: 0.5, Gamma: 0.5",227,275,0,5016,95.01631026,0,40,,,
"Nu: 0.5, Gamma: 0.7",227,275,0,5016,95.01631026,0,40,,,
"Nu: 0.5, Gamma: 0.9",230,272,0,5016,95.07067778,0,40,,,
"Nu: 0.5, Gamma: 0.99",232,270,0,5016,95.1069228,0,40,,,
"Nu: 0.7, Gamma: 0.0001",14,488,1,5015,91.13809351,0,40,,,
"Nu: 0.7, Gamma: 0.0002",231,271,832,4184,80.0108735,0,40,,,
"Nu: 0.7, Gamma: 0.0003",246,256,983,4033,77.5462124,0,40,,,
"Nu: 0.7, Gamma: 0.0004",195,307,601,4415,83.5447626,0,40,,,
"Nu: 0.7, Gamma: 0.005",295,207,1159,3857,75.24465386,0,40,,,
"Nu: 0.7, Gamma: 0.05",155,347,3,5013,93.65712215,0,40,,,
"Nu: 0.7, Gamma: 0.0625",126,376,0,5016,93.18593693,0,40,,,
"Nu: 0.7, Gamma: 0.1",134,368,0,5016,93.330917,0,40,,,
"Nu: 0.7, Gamma: 0.2",142,360,0,5016,93.47589706,0,40,,,
"Nu: 0.7, Gamma: 0.5",143,359,0,5016,93.49401957,0,40,,,
"Nu: 0.7, Gamma: 0.7",131,371,0,5016,93.27654947,0,40,,,
"Nu: 0.7, Gamma: 0.9",128,374,0,5016,93.22218195,0,40,,,
"Nu: 0.7, Gamma: 0.99",128,374,0,5016,93.22218195,0,40,,,
"Nu: 0.9, Gamma: 0.0001",0,502,0,5016,90.90250091,0,40,,,
"Nu: 0.9, Gamma: 0.0002",269,233,198,4818,92.18919899,0,40,,,
"Nu: 0.9, Gamma: 0.0003",446,56,3857,1159,29.08662559,0,40,,,
"Nu: 0.9, Gamma: 0.0004",413,89,3456,1560,35.75570859,0,40,,,
"Nu: 0.9, Gamma: 0.005",5,497,0,5016,90.99311345,0,40,,,
"Nu: 0.9, Gamma: 0.05",43,459,0,5016,91.68176876,0,40,,,
"Nu: 0.9, Gamma: 0.0625",23,479,0,5016,91.31931859,0,40,,,
"Nu: 0.9, Gamma: 0.1",51,451,0,5016,91.82674882,0,40,,,
"Nu: 0.9, Gamma: 0.2",44,458,0,5016,91.69989126,0,40,,,
