Features: 16,,,,,,,,
Target Class: canneal,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.05, Gamma: 0.7",2,4,29,9,25.0,0,40,
"Nu: 0.05, Gamma: 0.9",2,4,26,12,31.818181818181817,0,40,
"Nu: 0.05, Gamma: 0.99",2,4,26,12,31.818181818181817,0,40,
"Nu: 0.0625, Gamma: 0.0001",4,2,13,25,65.9090909090909,0,40,
"Nu: 0.0625, Gamma: 0.0002",5,1,14,24,65.9090909090909,0,40,
"Nu: 0.0625, Gamma: 0.0003",5,1,19,19,54.54545454545454,0,40,
"Nu: 0.0625, Gamma: 0.0004",5,1,19,19,54.54545454545454,0,40,
"Nu: 0.0625, Gamma: 0.005",5,1,27,11,36.36363636363637,0,40,
"Nu: 0.0625, Gamma: 0.05",5,1,27,11,36.36363636363637,0,40,
"Nu: 0.0625, Gamma: 0.0625",5,1,27,11,36.36363636363637,0,40,
"Nu: 0.0625, Gamma: 0.1",5,1,27,11,36.36363636363637,0,40,
"Nu: 0.0625, Gamma: 0.2",3,3,28,10,29.545454545454547,0,40,
"Nu: 0.0625, Gamma: 0.5",3,3,26,12,34.090909090909086,0,40,
"Nu: 0.0625, Gamma: 0.7",2,4,28,10,27.27272727272727,0,40,
"Nu: 0.0625, Gamma: 0.9",2,4,26,12,31.818181818181817,0,40,
"Nu: 0.0625, Gamma: 0.99",2,4,26,12,31.818181818181817,0,40,
"Nu: 0.1, Gamma: 0.0001",4,2,24,14,40.909090909090914,0,40,
"Nu: 0.1, Gamma: 0.0002",4,2,24,14,40.909090909090914,0,40,
"Nu: 0.1, Gamma: 0.0003",5,1,24,14,43.18181818181818,0,40,
"Nu: 0.1, Gamma: 0.0004",5,1,24,14,43.18181818181818,0,40,
"Nu: 0.1, Gamma: 0.005",5,1,24,14,43.18181818181818,0,40,
"Nu: 0.1, Gamma: 0.05",5,1,24,14,43.18181818181818,0,40,
"Nu: 0.1, Gamma: 0.0625",5,1,24,14,43.18181818181818,0,40,
