Features: 16,,,,,,,,,
Target Class: dedup,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,99.63702359
"Nu: 0.05, Gamma: 0.5",8,2,60,2685,97.74954628,0,40,,
"Nu: 0.05, Gamma: 0.7",8,2,2734,11,0.689655172,0,40,,
"Nu: 0.05, Gamma: 0.9",9,1,2735,10,0.689655172,0,40,,
"Nu: 0.05, Gamma: 0.99",8,2,2735,10,0.653357532,0,40,,
"Nu: 0.0625, Gamma: 0.0001",8,2,66,2679,97.53176044,0,40,,
"Nu: 0.0625, Gamma: 0.0002",8,2,66,2679,97.53176044,0,40,,
"Nu: 0.0625, Gamma: 0.0003",8,2,66,2679,97.53176044,0,40,,
"Nu: 0.0625, Gamma: 0.0004",8,2,66,2679,97.53176044,0,40,,
"Nu: 0.0625, Gamma: 0.005",8,2,66,2679,97.53176044,0,40,,
"Nu: 0.0625, Gamma: 0.05",8,2,66,2679,97.53176044,0,40,,
"Nu: 0.0625, Gamma: 0.0625",8,2,66,2679,97.53176044,0,40,,
"Nu: 0.0625, Gamma: 0.1",8,2,66,2679,97.53176044,0,40,,
"Nu: 0.0625, Gamma: 0.2",9,1,63,2682,97.676951,0,40,,
"Nu: 0.0625, Gamma: 0.5",8,2,60,2685,97.74954628,0,40,,
"Nu: 0.0625, Gamma: 0.7",8,2,61,2684,97.71324864,0,40,,
"Nu: 0.0625, Gamma: 0.9",8,2,61,2684,97.71324864,0,40,,
"Nu: 0.0625, Gamma: 0.99",8,2,2735,10,0.653357532,0,40,,
"Nu: 0.1, Gamma: 0.0001",7,3,37,2708,98.54809437,0,40,,
"Nu: 0.1, Gamma: 0.0002",8,2,63,2682,97.64065336,0,40,,
"Nu: 0.1, Gamma: 0.0003",8,2,64,2681,97.60435572,0,40,,
"Nu: 0.1, Gamma: 0.0004",8,2,64,2681,97.60435572,0,40,,
"Nu: 0.1, Gamma: 0.005",8,2,64,2681,97.60435572,0,40,,
"Nu: 0.1, Gamma: 0.05",8,2,64,2681,97.60435572,0,40,,
"Nu: 0.1, Gamma: 0.0625",8,2,65,2680,97.56805808,0,40,,
"Nu: 0.1, Gamma: 0.1",8,2,65,2680,97.56805808,0,40,,
"Nu: 0.1, Gamma: 0.2",8,2,62,2683,97.676951,0,40,,
"Nu: 0.1, Gamma: 0.5",8,2,58,2687,97.82214156,0,40,,
"Nu: 0.1, Gamma: 0.7",8,2,59,2686,97.78584392,0,40,,
"Nu: 0.1, Gamma: 0.9",6,4,61,2684,97.64065336,0,40,,
"Nu: 0.1, Gamma: 0.99",6,4,60,2685,97.676951,0,40,,
"Nu: 0.2, Gamma: 0.0001",8,2,59,2686,97.78584392,0,40,,
"Nu: 0.2, Gamma: 0.0002",8,2,59,2686,97.78584392,0,40,,
"Nu: 0.2, Gamma: 0.0003",8,2,59,2686,97.78584392,0,40,,
"Nu: 0.2, Gamma: 0.0004",8,2,59,2686,97.78584392,0,40,,
"Nu: 0.2, Gamma: 0.005",8,2,58,2687,97.82214156,0,40,,
"Nu: 0.2, Gamma: 0.05",8,2,57,2688,97.8584392,0,40,,
"Nu: 0.2, Gamma: 0.0625",8,2,57,2688,97.8584392,0,40,,
"Nu: 0.2, Gamma: 0.1",8,2,57,2688,97.8584392,0,40,,
"Nu: 0.2, Gamma: 0.2",8,2,53,2692,98.00362976,0,40,,
"Nu: 0.2, Gamma: 0.5",7,3,57,2688,97.82214156,0,40,,
"Nu: 0.2, Gamma: 0.7",7,3,57,2688,97.82214156,0,40,,
"Nu: 0.2, Gamma: 0.9",7,3,57,2688,97.82214156,0,40,,
"Nu: 0.2, Gamma: 0.99",6,4,57,2688,97.78584392,0,40,,
"Nu: 0.5, Gamma: 0.0001",4,6,39,2706,98.36660617,0,40,,
"Nu: 0.5, Gamma: 0.0002",4,6,43,2702,98.22141561,0,40,,
"Nu: 0.5, Gamma: 0.0003",4,6,43,2702,98.22141561,0,40,,
