Features: 16,,,,,,,,,
Target Class: dedup,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,99.63702359
"Nu: 0.9, Gamma: 0.7",31,244,0,96,34.23180593,0,40,,
"Nu: 0.9, Gamma: 0.9",27,248,0,96,33.15363881,0,40,,
"Nu: 0.9, Gamma: 0.99",21,254,0,96,31.53638814,0,40,,
"Nu: 0.99, Gamma: 0.0001",83,192,0,96,48.24797844,0,40,,
"Nu: 0.99, Gamma: 0.0002",86,189,0,96,49.05660377,0,40,,
"Nu: 0.99, Gamma: 0.0003",91,184,0,96,50.40431267,0,40,,
"Nu: 0.99, Gamma: 0.0004",91,184,0,96,50.40431267,0,40,,
"Nu: 0.99, Gamma: 0.005",3,272,0,96,26.68463612,0,40,,
"Nu: 0.99, Gamma: 0.05",2,273,0,96,26.41509434,0,40,,
"Nu: 0.99, Gamma: 0.0625",2,273,0,96,26.41509434,0,40,,
"Nu: 0.99, Gamma: 0.1",2,273,0,96,26.41509434,0,40,,
"Nu: 0.99, Gamma: 0.2",2,273,0,96,26.41509434,0,40,,
"Nu: 0.99, Gamma: 0.5",2,273,0,96,26.41509434,0,40,,
"Nu: 0.99, Gamma: 0.7",2,273,0,96,26.41509434,0,40,,
"Nu: 0.99, Gamma: 0.9",4,271,0,96,26.9541779,0,40,,
"Nu: 0.99, Gamma: 0.99",4,271,0,96,26.9541779,0,40,,
,,,,,,,,,
Features: 16,,,,,,,,,
Target Class: dedup,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,
"Nu: 0.0001, Gamma: 0.0001",0,10,0,2745,99.63702359,10,40,,
"Nu: 0.0001, Gamma: 0.0002",0,10,0,2745,99.63702359,10,40,,
"Nu: 0.0001, Gamma: 0.0003",0,10,0,2745,99.63702359,10,40,,
"Nu: 0.0001, Gamma: 0.0004",0,10,0,2745,99.63702359,10,40,,
"Nu: 0.0001, Gamma: 0.005",10,0,2745,0,0.362976407,10,40,,
"Nu: 0.0001, Gamma: 0.05",10,0,2579,166,6.388384755,10,40,,
"Nu: 0.0001, Gamma: 0.0625",10,0,2744,1,0.399274047,10,40,,
"Nu: 0.0001, Gamma: 0.1",10,0,2744,1,0.399274047,10,40,,
"Nu: 0.0001, Gamma: 0.2",10,0,71,2674,97.42286751,10,40,,
"Nu: 0.0001, Gamma: 0.5",10,0,2738,7,0.617059891,10,40,,
"Nu: 0.0001, Gamma: 0.7",10,0,2736,9,0.689655172,10,40,,
"Nu: 0.0001, Gamma: 0.9",10,0,64,2681,97.676951,10,40,,
"Nu: 0.0001, Gamma: 0.99",10,0,2735,10,0.725952813,10,40,,
"Nu: 0.0002, Gamma: 0.0001",0,10,0,2745,99.63702359,10,40,,
"Nu: 0.0002, Gamma: 0.0002",0,10,0,2745,99.63702359,10,40,,
"Nu: 0.0002, Gamma: 0.0003",0,10,0,2745,99.63702359,10,40,,
"Nu: 0.0002, Gamma: 0.0004",10,0,2744,1,0.399274047,10,40,,
"Nu: 0.0002, Gamma: 0.005",10,0,2745,0,0.362976407,10,40,,
"Nu: 0.0002, Gamma: 0.05",10,0,2744,1,0.399274047,10,40,,
"Nu: 0.0002, Gamma: 0.0625",10,0,2744,1,0.399274047,10,40,,
"Nu: 0.0002, Gamma: 0.1",10,0,2477,268,10.0907441,10,40,,
"Nu: 0.0002, Gamma: 0.2",10,0,1117,1628,59.45553539,10,40,,
"Nu: 0.0002, Gamma: 0.5",10,0,2738,7,0.617059891,10,40,,
"Nu: 0.0002, Gamma: 0.7",10,0,2736,9,0.689655172,10,40,,
"Nu: 0.0002, Gamma: 0.9",10,0,2736,9,0.689655172,10,40,,
"Nu: 0.0002, Gamma: 0.99",10,0,2735,10,0.725952813,10,40,,
"Nu: 0.0003, Gamma: 0.0001",8,2,53,2692,98.00362976,10,40,,
"Nu: 0.0003, Gamma: 0.0002",8,2,53,2692,98.00362976,10,40,,
"Nu: 0.0003, Gamma: 0.0003",10,0,68,2677,97.53176044,10,40,,
"Nu: 0.0003, Gamma: 0.0004",10,0,73,2672,97.35027223,10,40,,
"Nu: 0.0003, Gamma: 0.005",10,0,2744,1,0.399274047,10,40,,
"Nu: 0.0003, Gamma: 0.05",10,0,2744,1,0.399274047,10,40,,
"Nu: 0.0003, Gamma: 0.0625",10,0,2743,2,0.435571688,10,40,,
"Nu: 0.0003, Gamma: 0.1",10,0,2743,2,0.435571688,10,40,,
"Nu: 0.0003, Gamma: 0.2",10,0,2743,2,0.435571688,10,40,,
"Nu: 0.0003, Gamma: 0.5",10,0,2738,7,0.617059891,10,40,,
"Nu: 0.0003, Gamma: 0.7",10,0,2736,9,0.689655172,10,40,,
"Nu: 0.0003, Gamma: 0.9",10,0,2735,10,0.725952813,10,40,,
"Nu: 0.0003, Gamma: 0.99",10,0,2735,10,0.725952813,10,40,,
"Nu: 0.0004, Gamma: 0.0001",5,5,36,2709,98.51179673,10,40,,
"Nu: 0.0004, Gamma: 0.0002",10,0,2744,1,0.399274047,10,40,,
"Nu: 0.0004, Gamma: 0.0003",10,0,2744,1,0.399274047,10,40,,
"Nu: 0.0004, Gamma: 0.0004",10,0,2744,1,0.399274047,10,40,,
"Nu: 0.0004, Gamma: 0.005",10,0,2745,0,0.362976407,10,40,,
"Nu: 0.0004, Gamma: 0.05",10,0,987,1758,64.17422868,10,40,,
"Nu: 0.0004, Gamma: 0.0625",10,0,2585,160,6.170598911,10,40,,
"Nu: 0.0004, Gamma: 0.1",10,0,2744,1,0.399274047,10,40,,
"Nu: 0.0004, Gamma: 0.2",10,0,2742,3,0.471869328,10,40,,
"Nu: 0.0004, Gamma: 0.5",10,0,2738,7,0.617059891,10,40,,
"Nu: 0.0004, Gamma: 0.7",10,0,2735,10,0.725952813,10,40,,
"Nu: 0.0004, Gamma: 0.9",10,0,2736,9,0.689655172,10,40,,
"Nu: 0.0004, Gamma: 0.99",10,0,2734,11,0.762250454,10,40,,
"Nu: 0.005, Gamma: 0.0001",10,0,2744,1,0.399274047,10,40,,
"Nu: 0.005, Gamma: 0.0002",10,0,2744,1,0.399274047,10,40,,
"Nu: 0.005, Gamma: 0.0003",10,0,2744,1,0.399274047,10,40,,
"Nu: 0.005, Gamma: 0.0004",10,0,2745,0,0.362976407,10,40,,
"Nu: 0.005, Gamma: 0.005",10,0,2745,0,0.362976407,10,40,,
"Nu: 0.005, Gamma: 0.05",10,0,2744,1,0.399274047,10,40,,
"Nu: 0.005, Gamma: 0.0625",10,0,2744,1,0.399274047,10,40,,
"Nu: 0.005, Gamma: 0.1",10,0,2743,2,0.435571688,10,40,,
"Nu: 0.005, Gamma: 0.2",10,0,2742,3,0.471869328,10,40,,
"Nu: 0.005, Gamma: 0.5",10,0,2738,7,0.617059891,10,40,,
"Nu: 0.005, Gamma: 0.7",10,0,2736,9,0.689655172,10,40,,
"Nu: 0.005, Gamma: 0.9",10,0,2736,9,0.689655172,10,40,,
"Nu: 0.005, Gamma: 0.99",10,0,2735,10,0.725952813,10,40,,
"Nu: 0.05, Gamma: 0.0001",10,0,68,2677,97.53176044,10,40,,
"Nu: 0.05, Gamma: 0.0002",10,0,68,2677,97.53176044,10,40,,
"Nu: 0.05, Gamma: 0.0003",10,0,68,2677,97.53176044,10,40,,
"Nu: 0.05, Gamma: 0.0004",10,0,68,2677,97.53176044,10,40,,
"Nu: 0.05, Gamma: 0.005",10,0,68,2677,97.53176044,10,40,,
"Nu: 0.05, Gamma: 0.05",10,0,68,2677,97.53176044,10,40,,
"Nu: 0.05, Gamma: 0.0625",10,0,68,2677,97.53176044,10,40,,
"Nu: 0.05, Gamma: 0.1",10,0,70,2675,97.45916515,10,40,,
"Nu: 0.05, Gamma: 0.2",10,0,2740,5,0.54446461,10,40,,
"Nu: 0.05, Gamma: 0.5",10,0,2735,10,0.725952813,10,40,,
"Nu: 0.05, Gamma: 0.7",10,0,2735,10,0.725952813,10,40,,
"Nu: 0.05, Gamma: 0.9",10,0,2734,11,0.762250454,10,40,,
"Nu: 0.05, Gamma: 0.99",10,0,2735,10,0.725952813,10,40,,
"Nu: 0.0625, Gamma: 0.0001",10,0,67,2678,97.56805808,10,40,,
"Nu: 0.0625, Gamma: 0.0002",10,0,67,2678,97.56805808,10,40,,
"Nu: 0.0625, Gamma: 0.0003",10,0,67,2678,97.56805808,10,40,,
"Nu: 0.0625, Gamma: 0.0004",10,0,67,2678,97.56805808,10,40,,
"Nu: 0.0625, Gamma: 0.005",10,0,67,2678,97.56805808,10,40,,
"Nu: 0.0625, Gamma: 0.05",10,0,67,2678,97.56805808,10,40,,
"Nu: 0.0625, Gamma: 0.0625",10,0,67,2678,97.56805808,10,40,,
"Nu: 0.0625, Gamma: 0.1",10,0,68,2677,97.53176044,10,40,,
"Nu: 0.0625, Gamma: 0.2",10,0,67,2678,97.56805808,10,40,,
"Nu: 0.0625, Gamma: 0.5",10,0,2735,10,0.725952813,10,40,,
"Nu: 0.0625, Gamma: 0.7",10,0,2735,10,0.725952813,10,40,,
"Nu: 0.0625, Gamma: 0.9",10,0,2734,11,0.762250454,10,40,,
"Nu: 0.0625, Gamma: 0.99",10,0,2735,10,0.725952813,10,40,,
"Nu: 0.1, Gamma: 0.0001",9,1,65,2680,97.60435572,10,40,,
"Nu: 0.1, Gamma: 0.0002",9,1,65,2680,97.60435572,10,40,,
"Nu: 0.1, Gamma: 0.0003",9,1,65,2680,97.60435572,10,40,,
"Nu: 0.1, Gamma: 0.0004",9,1,65,2680,97.60435572,10,40,,
"Nu: 0.1, Gamma: 0.005",9,1,65,2680,97.60435572,10,40,,
"Nu: 0.1, Gamma: 0.05",9,1,65,2680,97.60435572,10,40,,
"Nu: 0.1, Gamma: 0.0625",9,1,65,2680,97.60435572,10,40,,
"Nu: 0.1, Gamma: 0.1",9,1,66,2679,97.56805808,10,40,,
"Nu: 0.1, Gamma: 0.2",9,1,64,2681,97.64065336,10,40,,
"Nu: 0.1, Gamma: 0.5",10,0,61,2684,97.78584392,10,40,,
"Nu: 0.1, Gamma: 0.7",10,0,2734,11,0.762250454,10,40,,
"Nu: 0.1, Gamma: 0.9",10,0,2735,10,0.725952813,10,40,,
"Nu: 0.1, Gamma: 0.99",10,0,2734,11,0.762250454,10,40,,
"Nu: 0.2, Gamma: 0.0001",9,1,60,2685,97.78584392,10,40,,
"Nu: 0.2, Gamma: 0.0002",9,1,60,2685,97.78584392,10,40,,
"Nu: 0.2, Gamma: 0.0003",9,1,60,2685,97.78584392,10,40,,
"Nu: 0.2, Gamma: 0.0004",9,1,60,2685,97.78584392,10,40,,
"Nu: 0.2, Gamma: 0.005",9,1,60,2685,97.78584392,10,40,,
"Nu: 0.2, Gamma: 0.05",9,1,60,2685,97.78584392,10,40,,
"Nu: 0.2, Gamma: 0.0625",9,1,60,2685,97.78584392,10,40,,
"Nu: 0.2, Gamma: 0.1",9,1,60,2685,97.78584392,10,40,,
"Nu: 0.2, Gamma: 0.2",9,1,59,2686,97.82214156,10,40,,
"Nu: 0.2, Gamma: 0.5",9,1,57,2688,97.89473684,10,40,,
"Nu: 0.2, Gamma: 0.7",8,2,58,2687,97.82214156,10,40,,
"Nu: 0.2, Gamma: 0.9",9,1,58,2687,97.8584392,10,40,,
"Nu: 0.2, Gamma: 0.99",9,1,59,2686,97.82214156,10,40,,
"Nu: 0.5, Gamma: 0.0001",6,4,41,2704,98.36660617,10,40,,
"Nu: 0.5, Gamma: 0.0002",6,4,41,2704,98.36660617,10,40,,
"Nu: 0.5, Gamma: 0.0003",6,4,41,2704,98.36660617,10,40,,
"Nu: 0.5, Gamma: 0.0004",6,4,41,2704,98.36660617,10,40,,
"Nu: 0.5, Gamma: 0.005",6,4,41,2704,98.36660617,10,40,,
"Nu: 0.5, Gamma: 0.05",6,4,44,2701,98.25771325,10,40,,
"Nu: 0.5, Gamma: 0.0625",6,4,44,2701,98.25771325,10,40,,
"Nu: 0.5, Gamma: 0.1",6,4,44,2701,98.25771325,10,40,,
"Nu: 0.5, Gamma: 0.2",6,4,44,2701,98.25771325,10,40,,
"Nu: 0.5, Gamma: 0.5",7,3,45,2700,98.25771325,10,40,,
"Nu: 0.5, Gamma: 0.7",8,2,48,2697,98.18511797,10,40,,
"Nu: 0.5, Gamma: 0.9",7,3,49,2696,98.11252269,10,40,,
"Nu: 0.5, Gamma: 0.99",7,3,50,2695,98.07622505,10,40,,
"Nu: 0.7, Gamma: 0.0001",4,6,18,2727,99.12885662,10,40,,
"Nu: 0.7, Gamma: 0.0002",4,6,18,2727,99.12885662,10,40,,
"Nu: 0.7, Gamma: 0.0003",4,6,18,2727,99.12885662,10,40,,
"Nu: 0.7, Gamma: 0.0004",4,6,18,2727,99.12885662,10,40,,
"Nu: 0.7, Gamma: 0.005",4,6,18,2727,99.12885662,10,40,,
"Nu: 0.7, Gamma: 0.05",4,6,18,2727,99.12885662,10,40,,
"Nu: 0.7, Gamma: 0.0625",4,6,18,2727,99.12885662,10,40,,
"Nu: 0.7, Gamma: 0.1",4,6,19,2726,99.09255898,10,40,,
"Nu: 0.7, Gamma: 0.2",4,6,20,2725,99.05626134,10,40,,
"Nu: 0.7, Gamma: 0.5",4,6,25,2720,98.87477314,10,40,,
"Nu: 0.7, Gamma: 0.7",4,6,31,2714,98.6569873,10,40,,
"Nu: 0.7, Gamma: 0.9",4,6,35,2710,98.51179673,10,40,,
"Nu: 0.7, Gamma: 0.99",4,6,36,2709,98.47549909,10,40,,
"Nu: 0.9, Gamma: 0.0001",2,8,12,2733,99.27404719,10,40,,
"Nu: 0.9, Gamma: 0.0002",2,8,12,2733,99.27404719,10,40,,
"Nu: 0.9, Gamma: 0.0003",2,8,12,2733,99.27404719,10,40,,
"Nu: 0.9, Gamma: 0.0004",2,8,12,2733,99.27404719,10,40,,
"Nu: 0.9, Gamma: 0.005",2,8,12,2733,99.27404719,10,40,,
"Nu: 0.9, Gamma: 0.05",2,8,12,2733,99.27404719,10,40,,
"Nu: 0.9, Gamma: 0.0625",2,8,12,2733,99.27404719,10,40,,
"Nu: 0.9, Gamma: 0.1",1,9,12,2733,99.23774955,10,40,,
"Nu: 0.9, Gamma: 0.2",1,9,12,2733,99.23774955,10,40,,
"Nu: 0.9, Gamma: 0.5",1,9,14,2731,99.16515426,10,40,,
"Nu: 0.9, Gamma: 0.7",1,9,15,2730,99.12885662,10,40,,
"Nu: 0.9, Gamma: 0.9",1,9,14,2731,99.16515426,10,40,,
"Nu: 0.9, Gamma: 0.99",1,9,14,2731,99.16515426,10,40,,
"Nu: 0.99, Gamma: 0.0001",0,10,7,2738,99.38294011,10,40,,
"Nu: 0.99, Gamma: 0.0002",0,10,7,2738,99.38294011,10,40,,
"Nu: 0.99, Gamma: 0.0003",0,10,7,2738,99.38294011,10,40,,
"Nu: 0.99, Gamma: 0.0004",0,10,7,2738,99.38294011,10,40,,
"Nu: 0.99, Gamma: 0.005",0,10,7,2738,99.38294011,10,40,,
"Nu: 0.99, Gamma: 0.05",0,10,7,2738,99.38294011,10,40,,
"Nu: 0.99, Gamma: 0.0625",0,10,7,2738,99.38294011,10,40,,
"Nu: 0.99, Gamma: 0.1",0,10,7,2738,99.38294011,10,40,,
"Nu: 0.99, Gamma: 0.2",0,10,7,2738,99.38294011,10,40,,
"Nu: 0.99, Gamma: 0.5",0,10,6,2739,99.41923775,10,40,,
"Nu: 0.99, Gamma: 0.7",0,10,6,2739,99.41923775,10,40,,
"Nu: 0.99, Gamma: 0.9",0,10,5,2740,99.45553539,10,40,,
"Nu: 0.99, Gamma: 0.99",0,10,5,2740,99.45553539,10,40,,
,,,,,,,,,
Target Class: dedup_IndirectBP,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,
"Nu: 0.0001, Gamma: 0.0001",275,0,96,0,74.12398922,10,40,,
"Nu: 0.0001, Gamma: 0.0002",275,0,96,0,74.12398922,10,40,,
"Nu: 0.0001, Gamma: 0.0003",275,0,96,0,74.12398922,10,40,,
"Nu: 0.0001, Gamma: 0.0004",275,0,94,2,74.66307278,10,40,,
"Nu: 0.0001, Gamma: 0.005",122,153,94,2,33.42318059,10,40,,
"Nu: 0.0001, Gamma: 0.05",275,0,96,0,74.12398922,10,40,,
"Nu: 0.0001, Gamma: 0.0625",275,0,96,0,74.12398922,10,40,,
"Nu: 0.0001, Gamma: 0.1",275,0,95,1,74.393531,10,40,,
"Nu: 0.0001, Gamma: 0.2",275,0,81,15,78.1671159,10,40,,
"Nu: 0.0001, Gamma: 0.5",275,0,61,35,83.55795148,10,40,,
"Nu: 0.0001, Gamma: 0.7",275,0,58,38,84.36657682,10,40,,
"Nu: 0.0001, Gamma: 0.9",275,0,55,41,85.17520216,10,40,,
"Nu: 0.0001, Gamma: 0.99",275,0,50,46,86.52291105,10,40,,
"Nu: 0.0002, Gamma: 0.0001",275,0,96,0,74.12398922,10,40,,
"Nu: 0.0002, Gamma: 0.0002",275,0,96,0,74.12398922,10,40,,
"Nu: 0.0002, Gamma: 0.0003",120,155,94,2,32.88409704,10,40,,
"Nu: 0.0002, Gamma: 0.0004",120,155,94,2,32.88409704,10,40,,
"Nu: 0.0002, Gamma: 0.005",275,0,94,2,74.66307278,10,40,,
"Nu: 0.0002, Gamma: 0.05",275,0,96,0,74.12398922,10,40,,
"Nu: 0.0002, Gamma: 0.0625",275,0,96,0,74.12398922,10,40,,
"Nu: 0.0002, Gamma: 0.1",275,0,94,2,74.66307278,10,40,,
"Nu: 0.0002, Gamma: 0.2",275,0,81,15,78.1671159,10,40,,
"Nu: 0.0002, Gamma: 0.5",275,0,58,38,84.36657682,10,40,,
"Nu: 0.0002, Gamma: 0.7",275,0,57,39,84.6361186,10,40,,
"Nu: 0.0002, Gamma: 0.9",275,0,54,42,85.44474394,10,40,,
"Nu: 0.0002, Gamma: 0.99",275,0,48,48,87.06199461,10,40,,
"Nu: 0.0003, Gamma: 0.0001",184,91,94,2,50.13477089,10,40,,
"Nu: 0.0003, Gamma: 0.0002",184,91,94,2,50.13477089,10,40,,
"Nu: 0.0003, Gamma: 0.0003",184,91,94,2,50.13477089,10,40,,
"Nu: 0.0003, Gamma: 0.0004",184,91,94,2,50.13477089,10,40,,
"Nu: 0.0003, Gamma: 0.005",275,0,94,2,74.66307278,10,40,,
"Nu: 0.0003, Gamma: 0.05",275,0,96,0,74.12398922,10,40,,
"Nu: 0.0003, Gamma: 0.0625",275,0,96,0,74.12398922,10,40,,
"Nu: 0.0003, Gamma: 0.1",275,0,94,2,74.66307278,10,40,,
"Nu: 0.0003, Gamma: 0.2",275,0,81,15,78.1671159,10,40,,
"Nu: 0.0003, Gamma: 0.5",275,0,57,39,84.6361186,10,40,,
"Nu: 0.0003, Gamma: 0.7",275,0,57,39,84.6361186,10,40,,
"Nu: 0.0003, Gamma: 0.9",275,0,51,45,86.25336927,10,40,,
"Nu: 0.0003, Gamma: 0.99",275,0,50,46,86.52291105,10,40,,
"Nu: 0.0004, Gamma: 0.0001",128,147,94,2,35.04043127,10,40,,
"Nu: 0.0004, Gamma: 0.0002",129,146,94,2,35.30997305,10,40,,
"Nu: 0.0004, Gamma: 0.0003",129,146,94,2,35.30997305,10,40,,
"Nu: 0.0004, Gamma: 0.0004",129,146,94,2,35.30997305,10,40,,
"Nu: 0.0004, Gamma: 0.005",275,0,94,2,74.66307278,10,40,,
"Nu: 0.0004, Gamma: 0.05",275,0,95,1,74.393531,10,40,,
"Nu: 0.0004, Gamma: 0.0625",275,0,94,2,74.66307278,10,40,,
"Nu: 0.0004, Gamma: 0.1",275,0,91,5,75.47169811,10,40,,
"Nu: 0.0004, Gamma: 0.2",275,0,80,16,78.43665768,10,40,,
"Nu: 0.0004, Gamma: 0.5",275,0,59,37,84.09703504,10,40,,
"Nu: 0.0004, Gamma: 0.7",275,0,57,39,84.6361186,10,40,,
"Nu: 0.0004, Gamma: 0.9",275,0,51,45,86.25336927,10,40,,
"Nu: 0.0004, Gamma: 0.99",275,0,50,46,86.52291105,10,40,,
"Nu: 0.005, Gamma: 0.0001",208,67,72,24,62.53369272,10,40,,
"Nu: 0.005, Gamma: 0.0002",257,18,73,23,75.47169811,10,40,,
"Nu: 0.005, Gamma: 0.0003",204,71,73,23,61.18598383,10,40,,
"Nu: 0.005, Gamma: 0.0004",204,71,73,23,61.18598383,10,40,,
"Nu: 0.005, Gamma: 0.005",275,0,73,23,80.32345013,10,40,,
"Nu: 0.005, Gamma: 0.05",275,0,70,26,81.13207547,10,40,,
"Nu: 0.005, Gamma: 0.0625",275,0,70,26,81.13207547,10,40,,
"Nu: 0.005, Gamma: 0.1",275,0,68,28,81.67115903,10,40,,
"Nu: 0.005, Gamma: 0.2",275,0,66,30,82.21024259,10,40,,
"Nu: 0.005, Gamma: 0.5",274,1,44,52,87.87061995,10,40,,
"Nu: 0.005, Gamma: 0.7",274,1,38,58,89.48787062,10,40,,
"Nu: 0.005, Gamma: 0.9",274,1,33,63,90.83557951,10,40,,
"Nu: 0.005, Gamma: 0.99",274,1,31,65,91.37466307,10,40,,
"Nu: 0.05, Gamma: 0.0001",230,45,24,72,81.40161725,10,40,,
"Nu: 0.05, Gamma: 0.0002",230,45,24,72,81.40161725,10,40,,
"Nu: 0.05, Gamma: 0.0003",230,45,24,72,81.40161725,10,40,,
"Nu: 0.05, Gamma: 0.0004",265,10,24,72,90.83557951,10,40,,
"Nu: 0.05, Gamma: 0.005",264,11,24,72,90.56603774,10,40,,
"Nu: 0.05, Gamma: 0.05",264,11,18,78,92.18328841,10,40,,
"Nu: 0.05, Gamma: 0.0625",264,11,17,79,92.45283019,10,40,,
"Nu: 0.05, Gamma: 0.1",264,11,15,81,92.99191375,10,40,,
"Nu: 0.05, Gamma: 0.2",264,11,10,86,94.33962264,10,40,,
"Nu: 0.05, Gamma: 0.5",263,12,6,90,95.14824798,10,40,,
"Nu: 0.05, Gamma: 0.7",263,12,6,90,95.14824798,10,40,,
"Nu: 0.05, Gamma: 0.9",263,12,3,93,95.95687332,10,40,,
"Nu: 0.05, Gamma: 0.99",263,12,3,93,95.95687332,10,40,,
"Nu: 0.0625, Gamma: 0.0001",231,44,15,81,84.09703504,10,40,,
"Nu: 0.0625, Gamma: 0.0002",231,44,15,81,84.09703504,10,40,,
"Nu: 0.0625, Gamma: 0.0003",231,44,15,81,84.09703504,10,40,,
"Nu: 0.0625, Gamma: 0.0004",231,44,15,81,84.09703504,10,40,,
"Nu: 0.0625, Gamma: 0.005",261,14,15,81,92.18328841,10,40,,
"Nu: 0.0625, Gamma: 0.05",261,14,11,85,93.26145553,10,40,,
"Nu: 0.0625, Gamma: 0.0625",261,14,10,86,93.5309973,10,40,,
"Nu: 0.0625, Gamma: 0.1",261,14,9,87,93.80053908,10,40,,
"Nu: 0.0625, Gamma: 0.2",260,15,7,89,94.07008086,10,40,,
"Nu: 0.0625, Gamma: 0.5",261,14,6,90,94.60916442,10,40,,
"Nu: 0.0625, Gamma: 0.7",261,14,3,93,95.41778976,10,40,,
"Nu: 0.0625, Gamma: 0.9",261,14,3,93,95.41778976,10,40,,
"Nu: 0.0625, Gamma: 0.99",261,14,1,95,95.95687332,10,40,,
"Nu: 0.1, Gamma: 0.0001",259,16,7,89,93.80053908,10,40,,
"Nu: 0.1, Gamma: 0.0002",256,19,7,89,92.99191375,10,40,,
"Nu: 0.1, Gamma: 0.0003",215,60,7,89,81.94070081,10,40,,
"Nu: 0.1, Gamma: 0.0004",251,24,7,89,91.64420485,10,40,,
"Nu: 0.1, Gamma: 0.005",251,24,7,89,91.64420485,10,40,,
"Nu: 0.1, Gamma: 0.05",251,24,6,90,91.91374663,10,40,,
"Nu: 0.1, Gamma: 0.0625",252,23,6,90,92.18328841,10,40,,
"Nu: 0.1, Gamma: 0.1",252,23,6,90,92.18328841,10,40,,
"Nu: 0.1, Gamma: 0.2",252,23,6,90,92.18328841,10,40,,
"Nu: 0.1, Gamma: 0.5",252,23,3,93,92.99191375,10,40,,
"Nu: 0.1, Gamma: 0.7",252,23,1,95,93.5309973,10,40,,
"Nu: 0.1, Gamma: 0.9",252,23,0,96,93.80053908,10,40,,
"Nu: 0.1, Gamma: 0.99",252,23,0,96,93.80053908,10,40,,
"Nu: 0.2, Gamma: 0.0001",209,66,6,90,80.59299191,10,40,,
"Nu: 0.2, Gamma: 0.0002",222,53,6,90,84.09703504,10,40,,
"Nu: 0.2, Gamma: 0.0003",223,52,5,91,84.6361186,10,40,,
"Nu: 0.2, Gamma: 0.0004",223,52,5,91,84.6361186,10,40,,
"Nu: 0.2, Gamma: 0.005",223,52,5,91,84.6361186,10,40,,
"Nu: 0.2, Gamma: 0.05",223,52,3,93,85.17520216,10,40,,
"Nu: 0.2, Gamma: 0.0625",223,52,3,93,85.17520216,10,40,,
"Nu: 0.2, Gamma: 0.1",223,52,3,93,85.17520216,10,40,,
"Nu: 0.2, Gamma: 0.2",223,52,1,95,85.71428571,10,40,,
"Nu: 0.2, Gamma: 0.5",225,50,0,96,86.52291105,10,40,,
"Nu: 0.2, Gamma: 0.7",225,50,0,96,86.52291105,10,40,,
"Nu: 0.2, Gamma: 0.9",225,50,0,96,86.52291105,10,40,,
"Nu: 0.2, Gamma: 0.99",225,50,0,96,86.52291105,10,40,,
"Nu: 0.5, Gamma: 0.0001",118,157,1,95,57.41239892,10,40,,
"Nu: 0.5, Gamma: 0.0002",139,136,1,95,63.07277628,10,40,,
"Nu: 0.5, Gamma: 0.0003",140,135,1,95,63.34231806,10,40,,
"Nu: 0.5, Gamma: 0.0004",140,135,1,95,63.34231806,10,40,,
"Nu: 0.5, Gamma: 0.005",151,124,1,95,66.30727763,10,40,,
"Nu: 0.5, Gamma: 0.05",154,121,0,96,67.38544474,10,40,,
"Nu: 0.5, Gamma: 0.0625",154,121,0,96,67.38544474,10,40,,
"Nu: 0.5, Gamma: 0.1",152,123,0,96,66.84636119,10,40,,
"Nu: 0.5, Gamma: 0.2",152,123,0,96,66.84636119,10,40,,
"Nu: 0.5, Gamma: 0.5",160,115,0,96,69.00269542,10,40,,
"Nu: 0.5, Gamma: 0.7",160,115,0,96,69.00269542,10,40,,
"Nu: 0.5, Gamma: 0.9",153,122,0,96,67.11590296,10,40,,
"Nu: 0.5, Gamma: 0.99",149,126,0,96,66.03773585,10,40,,
"Nu: 0.7, Gamma: 0.0001",74,201,0,96,45.82210243,10,40,,
"Nu: 0.7, Gamma: 0.0002",83,192,0,96,48.24797844,10,40,,
"Nu: 0.7, Gamma: 0.0003",83,192,0,96,48.24797844,10,40,,
"Nu: 0.7, Gamma: 0.0004",83,192,0,96,48.24797844,10,40,,
"Nu: 0.7, Gamma: 0.005",86,189,0,96,49.05660377,10,40,,
"Nu: 0.7, Gamma: 0.05",86,189,0,96,49.05660377,10,40,,
"Nu: 0.7, Gamma: 0.0625",86,189,0,96,49.05660377,10,40,,
"Nu: 0.7, Gamma: 0.1",86,189,0,96,49.05660377,10,40,,
"Nu: 0.7, Gamma: 0.2",86,189,0,96,49.05660377,10,40,,
"Nu: 0.7, Gamma: 0.5",90,185,0,96,50.13477089,10,40,,
"Nu: 0.7, Gamma: 0.7",95,180,0,96,51.48247978,10,40,,
"Nu: 0.7, Gamma: 0.9",101,174,0,96,53.09973046,10,40,,
"Nu: 0.7, Gamma: 0.99",106,169,0,96,54.44743935,10,40,,
"Nu: 0.9, Gamma: 0.0001",16,259,0,96,30.18867925,10,40,,
"Nu: 0.9, Gamma: 0.0002",16,259,0,96,30.18867925,10,40,,
"Nu: 0.9, Gamma: 0.0003",20,255,0,96,31.26684636,10,40,,
"Nu: 0.9, Gamma: 0.0004",20,255,0,96,31.26684636,10,40,,
"Nu: 0.9, Gamma: 0.005",23,252,0,96,32.0754717,10,40,,
"Nu: 0.9, Gamma: 0.05",24,251,0,96,32.34501348,10,40,,
