Features: 16,,,,,,,,,,
Target Class: ferret,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,98.58156028,14
"Nu: 0.0625, Gamma: 0.05",3,1,61,76,56.02836879,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",3,1,60,77,56.73758865,0,40,,,
"Nu: 0.0625, Gamma: 0.1",3,1,58,79,58.15602837,0,40,,,
"Nu: 0.0625, Gamma: 0.2",3,1,55,82,60.28368794,0,40,,,
"Nu: 0.0625, Gamma: 0.5",2,2,33,104,75.17730496,0,40,,,
"Nu: 0.0625, Gamma: 0.7",2,2,24,113,81.56028369,0,40,,,
"Nu: 0.0625, Gamma: 0.9",2,2,20,117,84.39716312,0,40,,,
"Nu: 0.0625, Gamma: 0.99",2,2,20,117,84.39716312,0,40,,,
"Nu: 0.1, Gamma: 0.0001",3,1,52,85,62.41134752,0,40,,,
"Nu: 0.1, Gamma: 0.0002",3,1,57,80,58.86524823,0,40,,,
"Nu: 0.1, Gamma: 0.0003",3,1,57,80,58.86524823,0,40,,,
"Nu: 0.1, Gamma: 0.0004",3,1,57,80,58.86524823,0,40,,,
"Nu: 0.1, Gamma: 0.005",3,1,61,76,56.02836879,0,40,,,
"Nu: 0.1, Gamma: 0.05",3,1,58,79,58.15602837,0,40,,,
"Nu: 0.1, Gamma: 0.0625",3,1,58,79,58.15602837,0,40,,,
"Nu: 0.1, Gamma: 0.1",3,1,57,80,58.86524823,0,40,,,
"Nu: 0.1, Gamma: 0.2",3,1,55,82,60.28368794,0,40,,,
"Nu: 0.1, Gamma: 0.5",2,2,33,104,75.17730496,0,40,,,
"Nu: 0.1, Gamma: 0.7",2,2,24,113,81.56028369,0,40,,,
"Nu: 0.1, Gamma: 0.9",2,2,20,117,84.39716312,0,40,,,
"Nu: 0.1, Gamma: 0.99",2,2,20,117,84.39716312,0,40,,,
"Nu: 0.2, Gamma: 0.0001",3,1,50,87,63.82978723,0,40,,,
"Nu: 0.2, Gamma: 0.0002",3,1,54,83,60.9929078,0,40,,,
"Nu: 0.2, Gamma: 0.0003",3,1,56,81,59.57446809,0,40,,,
"Nu: 0.2, Gamma: 0.0004",3,1,56,81,59.57446809,0,40,,,
"Nu: 0.2, Gamma: 0.005",3,1,56,81,59.57446809,0,40,,,
"Nu: 0.2, Gamma: 0.05",3,1,56,81,59.57446809,0,40,,,
"Nu: 0.2, Gamma: 0.0625",3,1,55,82,60.28368794,0,40,,,
"Nu: 0.2, Gamma: 0.1",3,1,55,82,60.28368794,0,40,,,
"Nu: 0.2, Gamma: 0.2",3,1,54,83,60.9929078,0,40,,,
"Nu: 0.2, Gamma: 0.5",2,2,33,104,75.17730496,0,40,,,
"Nu: 0.2, Gamma: 0.7",2,2,23,114,82.26950355,0,40,,,
"Nu: 0.2, Gamma: 0.9",2,2,20,117,84.39716312,0,40,,,
"Nu: 0.2, Gamma: 0.99",2,2,20,117,84.39716312,0,40,,,
