Features: 16,,,,,,,,,,
Target Class: vips,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,90.83969466,174
"Nu: 0.05, Gamma: 0.5",11,1,88,26,29.36507937,0,40,,,
"Nu: 0.05, Gamma: 0.7",11,1,85,29,31.74603175,0,40,,,
"Nu: 0.05, Gamma: 0.9",10,2,76,38,38.0952381,0,40,,,
"Nu: 0.05, Gamma: 0.99",10,2,75,39,38.88888889,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",9,3,92,22,24.6031746,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",12,0,107,7,15.07936508,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",12,0,107,7,15.07936508,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",12,0,107,7,15.07936508,0,40,,,
"Nu: 0.0625, Gamma: 0.005",12,0,107,7,15.07936508,0,40,,,
"Nu: 0.0625, Gamma: 0.05",12,0,107,7,15.07936508,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",12,0,107,7,15.07936508,0,40,,,
"Nu: 0.0625, Gamma: 0.1",12,0,87,27,30.95238095,0,40,,,
"Nu: 0.0625, Gamma: 0.2",11,1,90,24,27.77777778,0,40,,,
"Nu: 0.0625, Gamma: 0.5",11,1,88,26,29.36507937,0,40,,,
"Nu: 0.0625, Gamma: 0.7",11,1,83,31,33.33333333,0,40,,,
"Nu: 0.0625, Gamma: 0.9",10,2,75,39,38.88888889,0,40,,,
"Nu: 0.0625, Gamma: 0.99",10,2,74,40,39.68253968,0,40,,,
"Nu: 0.1, Gamma: 0.0001",9,3,71,43,41.26984127,0,40,,,
"Nu: 0.1, Gamma: 0.0002",11,1,83,31,33.33333333,0,40,,,
"Nu: 0.1, Gamma: 0.0003",11,1,83,31,33.33333333,0,40,,,
"Nu: 0.1, Gamma: 0.0004",11,1,83,31,33.33333333,0,40,,,
"Nu: 0.1, Gamma: 0.005",12,0,102,12,19.04761905,0,40,,,
"Nu: 0.1, Gamma: 0.05",12,0,83,31,34.12698413,0,40,,,
"Nu: 0.1, Gamma: 0.0625",12,0,83,31,34.12698413,0,40,,,
"Nu: 0.1, Gamma: 0.1",12,0,82,32,34.92063492,0,40,,,
"Nu: 0.1, Gamma: 0.2",11,1,86,28,30.95238095,0,40,,,
"Nu: 0.1, Gamma: 0.5",11,1,84,30,32.53968254,0,40,,,
"Nu: 0.1, Gamma: 0.7",11,1,76,38,38.88888889,0,40,,,
"Nu: 0.1, Gamma: 0.9",11,1,73,41,41.26984127,0,40,,,
"Nu: 0.1, Gamma: 0.99",10,2,73,41,40.47619048,0,40,,,
"Nu: 0.2, Gamma: 0.0001",11,1,71,43,42.85714286,0,40,,,
"Nu: 0.2, Gamma: 0.0002",9,3,71,43,41.26984127,0,40,,,
"Nu: 0.2, Gamma: 0.0003",10,2,70,44,42.85714286,0,40,,,
"Nu: 0.2, Gamma: 0.0004",10,2,70,44,42.85714286,0,40,,,
"Nu: 0.2, Gamma: 0.005",10,2,70,44,42.85714286,0,40,,,
"Nu: 0.2, Gamma: 0.05",10,2,70,44,42.85714286,0,40,,,
"Nu: 0.2, Gamma: 0.0625",10,2,69,45,43.65079365,0,40,,,
"Nu: 0.2, Gamma: 0.1",9,3,69,45,42.85714286,0,40,,,
"Nu: 0.2, Gamma: 0.2",10,2,66,48,46.03174603,0,40,,,
"Nu: 0.2, Gamma: 0.5",11,1,72,42,42.06349206,0,40,,,
"Nu: 0.2, Gamma: 0.7",11,1,70,44,43.65079365,0,40,,,
"Nu: 0.2, Gamma: 0.9",10,2,65,49,46.82539683,0,40,,,
"Nu: 0.2, Gamma: 0.99",10,2,65,49,46.82539683,0,40,,,
"Nu: 0.5, Gamma: 0.0001",7,5,50,64,56.34920635,0,40,,,
"Nu: 0.5, Gamma: 0.0002",7,5,54,60,53.17460317,0,40,,,
"Nu: 0.5, Gamma: 0.0003",7,5,54,60,53.17460317,0,40,,,
"Nu: 0.5, Gamma: 0.0004",7,5,54,60,53.17460317,0,40,,,
"Nu: 0.5, Gamma: 0.005",7,5,54,60,53.17460317,0,40,,,
"Nu: 0.5, Gamma: 0.05",7,5,54,60,53.17460317,0,40,,,
"Nu: 0.5, Gamma: 0.0625",7,5,54,60,53.17460317,0,40,,,
"Nu: 0.5, Gamma: 0.1",6,6,51,63,54.76190476,0,40,,,
"Nu: 0.5, Gamma: 0.2",6,6,44,70,60.31746032,0,40,,,
"Nu: 0.5, Gamma: 0.5",6,6,49,65,56.34920635,0,40,,,
