Features: 16,,,,,,,,,,
Target Class: streamcluster,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,98.80952381,118
"Nu: 0.05, Gamma: 0.5",11,1,143,97,42.85714286,0,40,,,
"Nu: 0.05, Gamma: 0.7",11,1,138,102,44.84126984,0,40,,,
"Nu: 0.05, Gamma: 0.9",11,1,125,115,50,0,40,,,
"Nu: 0.05, Gamma: 0.99",11,1,120,120,51.98412698,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",11,1,149,91,40.47619048,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",11,1,149,91,40.47619048,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",11,1,149,91,40.47619048,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",11,1,149,91,40.47619048,0,40,,,
"Nu: 0.0625, Gamma: 0.005",11,1,148,92,40.87301587,0,40,,,
"Nu: 0.0625, Gamma: 0.05",10,2,145,95,41.66666667,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",10,2,145,95,41.66666667,0,40,,,
"Nu: 0.0625, Gamma: 0.1",10,2,146,94,41.26984127,0,40,,,
"Nu: 0.0625, Gamma: 0.2",10,2,157,83,36.9047619,0,40,,,
"Nu: 0.0625, Gamma: 0.5",11,1,142,98,43.25396825,0,40,,,
"Nu: 0.0625, Gamma: 0.7",11,1,140,100,44.04761905,0,40,,,
"Nu: 0.0625, Gamma: 0.9",11,1,124,116,50.3968254,0,40,,,
"Nu: 0.0625, Gamma: 0.99",10,2,109,131,55.95238095,0,40,,,
"Nu: 0.1, Gamma: 0.0001",10,2,140,100,43.65079365,0,40,,,
"Nu: 0.1, Gamma: 0.0002",10,2,140,100,43.65079365,0,40,,,
"Nu: 0.1, Gamma: 0.0003",10,2,102,138,58.73015873,0,40,,,
"Nu: 0.1, Gamma: 0.0004",10,2,102,138,58.73015873,0,40,,,
"Nu: 0.1, Gamma: 0.005",10,2,102,138,58.73015873,0,40,,,
"Nu: 0.1, Gamma: 0.05",10,2,102,138,58.73015873,0,40,,,
"Nu: 0.1, Gamma: 0.0625",10,2,102,138,58.73015873,0,40,,,
"Nu: 0.1, Gamma: 0.1",10,2,101,139,59.12698413,0,40,,,
"Nu: 0.1, Gamma: 0.2",10,2,96,144,61.11111111,0,40,,,
