Features: 16,,,,,,,,
Target Class: dedup,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.99, Gamma: 0.0002",0,27,0,97,78.2258064516129,0,40,
"Nu: 0.99, Gamma: 0.0003",0,27,0,97,78.2258064516129,0,40,
"Nu: 0.99, Gamma: 0.0004",0,27,0,97,78.2258064516129,0,40,
"Nu: 0.99, Gamma: 0.005",0,27,0,97,78.2258064516129,0,40,
"Nu: 0.99, Gamma: 0.05",0,27,0,97,78.2258064516129,0,40,
"Nu: 0.99, Gamma: 0.0625",0,27,0,97,78.2258064516129,0,40,
"Nu: 0.99, Gamma: 0.1",0,27,0,97,78.2258064516129,0,40,
"Nu: 0.99, Gamma: 0.2",0,27,0,97,78.2258064516129,0,40,
"Nu: 0.99, Gamma: 0.5",0,27,0,97,78.2258064516129,0,40,
"Nu: 0.99, Gamma: 0.7",0,27,0,97,78.2258064516129,0,40,
"Nu: 0.99, Gamma: 0.9",0,27,0,97,78.2258064516129,0,40,
"Nu: 0.99, Gamma: 0.99",0,27,0,97,78.2258064516129,0,40,
,,,,,,,,
Features: 16,,,,,,,,
Target Class: dedup,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.0001, Gamma: 0.0001",0,10,0,268,96.40287769784173,10,40,
"Nu: 0.0001, Gamma: 0.0002",0,10,0,268,96.40287769784173,10,40,
"Nu: 0.0001, Gamma: 0.0003",0,10,0,268,96.40287769784173,10,40,
"Nu: 0.0001, Gamma: 0.0004",0,10,0,268,96.40287769784173,10,40,
"Nu: 0.0001, Gamma: 0.005",10,0,268,0,3.597122302158273,10,40,
"Nu: 0.0001, Gamma: 0.05",10,0,266,2,4.316546762589928,10,40,
"Nu: 0.0001, Gamma: 0.0625",10,0,265,3,4.676258992805756,10,40,
"Nu: 0.0001, Gamma: 0.1",10,0,244,24,12.23021582733813,10,40,
"Nu: 0.0001, Gamma: 0.2",10,0,153,115,44.96402877697842,10,40,
"Nu: 0.0001, Gamma: 0.5",10,0,72,196,74.10071942446042,10,40,
"Nu: 0.0001, Gamma: 0.7",10,0,56,212,79.85611510791367,10,40,
"Nu: 0.0001, Gamma: 0.9",10,0,45,223,83.81294964028777,10,40,
"Nu: 0.0001, Gamma: 0.99",10,0,44,224,84.17266187050359,10,40,
"Nu: 0.0002, Gamma: 0.0001",0,10,0,268,96.40287769784173,10,40,
"Nu: 0.0002, Gamma: 0.0002",0,10,0,268,96.40287769784173,10,40,
"Nu: 0.0002, Gamma: 0.0003",0,10,0,268,96.40287769784173,10,40,
"Nu: 0.0002, Gamma: 0.0004",10,0,268,0,3.597122302158273,10,40,
"Nu: 0.0002, Gamma: 0.005",10,0,268,0,3.597122302158273,10,40,
"Nu: 0.0002, Gamma: 0.05",10,0,268,0,3.597122302158273,10,40,
"Nu: 0.0002, Gamma: 0.0625",10,0,265,3,4.676258992805756,10,40,
"Nu: 0.0002, Gamma: 0.1",10,0,244,24,12.23021582733813,10,40,
"Nu: 0.0002, Gamma: 0.2",10,0,154,114,44.60431654676259,10,40,
"Nu: 0.0002, Gamma: 0.5",10,0,72,196,74.10071942446042,10,40,
"Nu: 0.0002, Gamma: 0.7",10,0,56,212,79.85611510791367,10,40,
"Nu: 0.0002, Gamma: 0.9",10,0,48,220,82.73381294964028,10,40,
"Nu: 0.0002, Gamma: 0.99",10,0,44,224,84.17266187050359,10,40,
"Nu: 0.0003, Gamma: 0.0001",10,0,268,0,3.597122302158273,10,40,
"Nu: 0.0003, Gamma: 0.0002",10,0,266,2,4.316546762589928,10,40,
"Nu: 0.0003, Gamma: 0.0003",10,0,266,2,4.316546762589928,10,40,
"Nu: 0.0003, Gamma: 0.0004",10,0,266,2,4.316546762589928,10,40,
"Nu: 0.0003, Gamma: 0.005",10,0,268,0,3.597122302158273,10,40,
"Nu: 0.0003, Gamma: 0.05",10,0,266,2,4.316546762589928,10,40,
"Nu: 0.0003, Gamma: 0.0625",10,0,266,2,4.316546762589928,10,40,
"Nu: 0.0003, Gamma: 0.1",10,0,242,26,12.949640287769784,10,40,
"Nu: 0.0003, Gamma: 0.2",10,0,157,111,43.52517985611511,10,40,
"Nu: 0.0003, Gamma: 0.5",10,0,75,193,73.02158273381295,10,40,
"Nu: 0.0003, Gamma: 0.7",10,0,57,211,79.49640287769785,10,40,
"Nu: 0.0003, Gamma: 0.9",10,0,45,223,83.81294964028777,10,40,
"Nu: 0.0003, Gamma: 0.99",10,0,43,225,84.53237410071942,10,40,
"Nu: 0.0004, Gamma: 0.0001",8,2,258,10,6.474820143884892,10,40,
"Nu: 0.0004, Gamma: 0.0002",10,0,268,0,3.597122302158273,10,40,
"Nu: 0.0004, Gamma: 0.0003",10,0,268,0,3.597122302158273,10,40,
"Nu: 0.0004, Gamma: 0.0004",10,0,268,0,3.597122302158273,10,40,
"Nu: 0.0004, Gamma: 0.005",10,0,268,0,3.597122302158273,10,40,
"Nu: 0.0004, Gamma: 0.05",10,0,268,0,3.597122302158273,10,40,
"Nu: 0.0004, Gamma: 0.0625",10,0,268,0,3.597122302158273,10,40,
"Nu: 0.0004, Gamma: 0.1",10,0,244,24,12.23021582733813,10,40,
"Nu: 0.0004, Gamma: 0.2",10,0,157,111,43.52517985611511,10,40,
"Nu: 0.0004, Gamma: 0.5",10,0,75,193,73.02158273381295,10,40,
"Nu: 0.0004, Gamma: 0.7",10,0,59,209,78.77697841726618,10,40,
"Nu: 0.0004, Gamma: 0.9",10,0,47,221,83.09352517985612,10,40,
"Nu: 0.0004, Gamma: 0.99",10,0,44,224,84.17266187050359,10,40,
"Nu: 0.005, Gamma: 0.0001",10,0,268,0,3.597122302158273,10,40,
"Nu: 0.005, Gamma: 0.0002",10,0,268,0,3.597122302158273,10,40,
"Nu: 0.005, Gamma: 0.0003",10,0,266,2,4.316546762589928,10,40,
"Nu: 0.005, Gamma: 0.0004",10,0,268,0,3.597122302158273,10,40,
"Nu: 0.005, Gamma: 0.005",10,0,268,0,3.597122302158273,10,40,
"Nu: 0.005, Gamma: 0.05",10,0,268,0,3.597122302158273,10,40,
"Nu: 0.005, Gamma: 0.0625",10,0,266,2,4.316546762589928,10,40,
"Nu: 0.005, Gamma: 0.1",10,0,245,23,11.870503597122301,10,40,
"Nu: 0.005, Gamma: 0.2",10,0,161,107,42.086330935251794,10,40,
"Nu: 0.005, Gamma: 0.5",10,0,75,193,73.02158273381295,10,40,
"Nu: 0.005, Gamma: 0.7",10,0,56,212,79.85611510791367,10,40,
"Nu: 0.005, Gamma: 0.9",10,0,47,221,83.09352517985612,10,40,
"Nu: 0.005, Gamma: 0.99",10,0,44,224,84.17266187050359,10,40,
"Nu: 0.05, Gamma: 0.0001",10,0,266,2,4.316546762589928,10,40,
"Nu: 0.05, Gamma: 0.0002",10,0,264,4,5.0359712230215825,10,40,
"Nu: 0.05, Gamma: 0.0003",10,0,264,4,5.0359712230215825,10,40,
"Nu: 0.05, Gamma: 0.0004",10,0,266,2,4.316546762589928,10,40,
"Nu: 0.05, Gamma: 0.005",10,0,266,2,4.316546762589928,10,40,
"Nu: 0.05, Gamma: 0.05",10,0,257,11,7.553956834532374,10,40,
"Nu: 0.05, Gamma: 0.0625",10,0,251,17,9.712230215827338,10,40,
"Nu: 0.05, Gamma: 0.1",10,0,231,37,16.906474820143885,10,40,
"Nu: 0.05, Gamma: 0.2",10,0,156,112,43.884892086330936,10,40,
"Nu: 0.05, Gamma: 0.5",10,0,60,208,78.41726618705036,10,40,
"Nu: 0.05, Gamma: 0.7",10,0,49,219,82.37410071942446,10,40,
"Nu: 0.05, Gamma: 0.9",10,0,37,231,86.6906474820144,10,40,
"Nu: 0.05, Gamma: 0.99",10,0,36,232,87.05035971223022,10,40,
"Nu: 0.0625, Gamma: 0.0001",10,0,266,2,4.316546762589928,10,40,
"Nu: 0.0625, Gamma: 0.0002",10,0,264,4,5.0359712230215825,10,40,
"Nu: 0.0625, Gamma: 0.0003",10,0,264,4,5.0359712230215825,10,40,
"Nu: 0.0625, Gamma: 0.0004",10,0,266,2,4.316546762589928,10,40,
"Nu: 0.0625, Gamma: 0.005",10,0,266,2,4.316546762589928,10,40,
"Nu: 0.0625, Gamma: 0.05",10,0,252,16,9.352517985611511,10,40,
"Nu: 0.0625, Gamma: 0.0625",10,0,249,19,10.431654676258994,10,40,
"Nu: 0.0625, Gamma: 0.1",10,0,232,36,16.546762589928058,10,40,
"Nu: 0.0625, Gamma: 0.2",10,0,159,109,42.805755395683455,10,40,
"Nu: 0.0625, Gamma: 0.5",10,0,54,214,80.57553956834532,10,40,
"Nu: 0.0625, Gamma: 0.7",10,0,44,224,84.17266187050359,10,40,
"Nu: 0.0625, Gamma: 0.9",10,0,38,230,86.33093525179856,10,40,
"Nu: 0.0625, Gamma: 0.99",10,0,35,233,87.41007194244604,10,40,
"Nu: 0.1, Gamma: 0.0001",10,0,251,17,9.712230215827338,10,40,
"Nu: 0.1, Gamma: 0.0002",10,0,249,19,10.431654676258994,10,40,
"Nu: 0.1, Gamma: 0.0003",10,0,249,19,10.431654676258994,10,40,
"Nu: 0.1, Gamma: 0.0004",10,0,249,19,10.431654676258994,10,40,
"Nu: 0.1, Gamma: 0.005",10,0,249,19,10.431654676258994,10,40,
"Nu: 0.1, Gamma: 0.05",10,0,237,31,14.748201438848922,10,40,
"Nu: 0.1, Gamma: 0.0625",10,0,231,37,16.906474820143885,10,40,
"Nu: 0.1, Gamma: 0.1",10,0,215,53,22.66187050359712,10,40,
"Nu: 0.1, Gamma: 0.2",10,0,145,123,47.84172661870504,10,40,
"Nu: 0.1, Gamma: 0.5",10,0,49,219,82.37410071942446,10,40,
"Nu: 0.1, Gamma: 0.7",10,0,39,229,85.97122302158273,10,40,
"Nu: 0.1, Gamma: 0.9",10,0,32,236,88.48920863309353,10,40,
"Nu: 0.1, Gamma: 0.99",10,0,30,238,89.20863309352518,10,40,
"Nu: 0.2, Gamma: 0.0001",8,2,129,139,52.87769784172662,10,40,
"Nu: 0.2, Gamma: 0.0002",8,2,131,137,52.15827338129496,10,40,
"Nu: 0.2, Gamma: 0.0003",8,2,131,137,52.15827338129496,10,40,
"Nu: 0.2, Gamma: 0.0004",8,2,131,137,52.15827338129496,10,40,
"Nu: 0.2, Gamma: 0.005",8,2,128,140,53.23741007194245,10,40,
"Nu: 0.2, Gamma: 0.05",8,2,113,155,58.63309352517986,10,40,
"Nu: 0.2, Gamma: 0.0625",8,2,106,162,61.15107913669065,10,40,
"Nu: 0.2, Gamma: 0.1",8,2,96,172,64.74820143884892,10,40,
"Nu: 0.2, Gamma: 0.2",8,2,78,190,71.22302158273382,10,40,
"Nu: 0.2, Gamma: 0.5",9,1,30,238,88.84892086330936,10,40,
"Nu: 0.2, Gamma: 0.7",10,0,27,241,90.28776978417267,10,40,
"Nu: 0.2, Gamma: 0.9",10,0,17,251,93.88489208633094,10,40,
"Nu: 0.2, Gamma: 0.99",10,0,17,251,93.88489208633094,10,40,
"Nu: 0.5, Gamma: 0.0001",4,6,26,242,88.48920863309353,10,40,
"Nu: 0.5, Gamma: 0.0002",4,6,26,242,88.48920863309353,10,40,
"Nu: 0.5, Gamma: 0.0003",4,6,26,242,88.48920863309353,10,40,
"Nu: 0.5, Gamma: 0.0004",4,6,26,242,88.48920863309353,10,40,
"Nu: 0.5, Gamma: 0.005",4,6,26,242,88.48920863309353,10,40,
"Nu: 0.5, Gamma: 0.05",4,6,26,242,88.48920863309353,10,40,
"Nu: 0.5, Gamma: 0.0625",4,6,26,242,88.48920863309353,10,40,
"Nu: 0.5, Gamma: 0.1",4,6,25,243,88.84892086330936,10,40,
"Nu: 0.5, Gamma: 0.2",4,6,24,244,89.20863309352518,10,40,
"Nu: 0.5, Gamma: 0.5",5,5,10,258,94.60431654676259,10,40,
"Nu: 0.5, Gamma: 0.7",6,4,2,266,97.84172661870504,10,40,
"Nu: 0.5, Gamma: 0.9",5,5,1,267,97.84172661870504,10,40,
"Nu: 0.5, Gamma: 0.99",5,5,1,267,97.84172661870504,10,40,
"Nu: 0.7, Gamma: 0.0001",2,8,7,261,94.60431654676259,10,40,
"Nu: 0.7, Gamma: 0.0002",2,8,7,261,94.60431654676259,10,40,
"Nu: 0.7, Gamma: 0.0003",2,8,7,261,94.60431654676259,10,40,
"Nu: 0.7, Gamma: 0.0004",2,8,7,261,94.60431654676259,10,40,
"Nu: 0.7, Gamma: 0.005",2,8,7,261,94.60431654676259,10,40,
"Nu: 0.7, Gamma: 0.05",2,8,7,261,94.60431654676259,10,40,
"Nu: 0.7, Gamma: 0.0625",2,8,7,261,94.60431654676259,10,40,
"Nu: 0.7, Gamma: 0.1",2,8,6,262,94.96402877697841,10,40,
"Nu: 0.7, Gamma: 0.2",2,8,5,263,95.32374100719424,10,40,
"Nu: 0.7, Gamma: 0.5",3,7,2,266,96.76258992805755,10,40,
"Nu: 0.7, Gamma: 0.7",3,7,1,267,97.12230215827337,10,40,
"Nu: 0.7, Gamma: 0.9",3,7,0,268,97.48201438848922,10,40,
"Nu: 0.7, Gamma: 0.99",3,7,0,268,97.48201438848922,10,40,
"Nu: 0.9, Gamma: 0.0001",1,9,0,268,96.76258992805755,10,40,
"Nu: 0.9, Gamma: 0.0002",1,9,0,268,96.76258992805755,10,40,
"Nu: 0.9, Gamma: 0.0003",1,9,0,268,96.76258992805755,10,40,
"Nu: 0.9, Gamma: 0.0004",1,9,0,268,96.76258992805755,10,40,
"Nu: 0.9, Gamma: 0.005",1,9,0,268,96.76258992805755,10,40,
"Nu: 0.9, Gamma: 0.05",1,9,0,268,96.76258992805755,10,40,
"Nu: 0.9, Gamma: 0.0625",1,9,0,268,96.76258992805755,10,40,
"Nu: 0.9, Gamma: 0.1",1,9,0,268,96.76258992805755,10,40,
"Nu: 0.9, Gamma: 0.2",1,9,0,268,96.76258992805755,10,40,
"Nu: 0.9, Gamma: 0.5",1,9,0,268,96.76258992805755,10,40,
"Nu: 0.9, Gamma: 0.7",1,9,0,268,96.76258992805755,10,40,
"Nu: 0.9, Gamma: 0.9",1,9,0,268,96.76258992805755,10,40,
"Nu: 0.9, Gamma: 0.99",1,9,0,268,96.76258992805755,10,40,
"Nu: 0.99, Gamma: 0.0001",0,10,0,268,96.40287769784173,10,40,
"Nu: 0.99, Gamma: 0.0002",0,10,0,268,96.40287769784173,10,40,
"Nu: 0.99, Gamma: 0.0003",0,10,0,268,96.40287769784173,10,40,
"Nu: 0.99, Gamma: 0.0004",0,10,0,268,96.40287769784173,10,40,
"Nu: 0.99, Gamma: 0.005",0,10,0,268,96.40287769784173,10,40,
"Nu: 0.99, Gamma: 0.05",0,10,0,268,96.40287769784173,10,40,
"Nu: 0.99, Gamma: 0.0625",0,10,0,268,96.40287769784173,10,40,
"Nu: 0.99, Gamma: 0.1",0,10,0,268,96.40287769784173,10,40,
"Nu: 0.99, Gamma: 0.2",0,10,0,268,96.40287769784173,10,40,
"Nu: 0.99, Gamma: 0.5",0,10,0,268,96.40287769784173,10,40,
"Nu: 0.99, Gamma: 0.7",0,10,0,268,96.40287769784173,10,40,
"Nu: 0.99, Gamma: 0.9",0,10,0,268,96.40287769784173,10,40,
"Nu: 0.99, Gamma: 0.99",0,10,0,268,96.40287769784173,10,40,
,,,,,,,,
Target Class: dedup_MRURP,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.0001, Gamma: 0.0001",0,27,0,97,78.2258064516129,10,40,
"Nu: 0.0001, Gamma: 0.0002",13,14,85,12,20.161290322580644,10,40,
"Nu: 0.0001, Gamma: 0.0003",13,14,85,12,20.161290322580644,10,40,
"Nu: 0.0001, Gamma: 0.0004",26,1,92,5,25.0,10,40,
"Nu: 0.0001, Gamma: 0.005",26,1,92,5,25.0,10,40,
"Nu: 0.0001, Gamma: 0.05",26,1,92,5,25.0,10,40,
"Nu: 0.0001, Gamma: 0.0625",26,1,92,5,25.0,10,40,
"Nu: 0.0001, Gamma: 0.1",26,1,91,6,25.806451612903224,10,40,
"Nu: 0.0001, Gamma: 0.2",26,1,91,6,25.806451612903224,10,40,
"Nu: 0.0001, Gamma: 0.5",26,1,76,21,37.903225806451616,10,40,
"Nu: 0.0001, Gamma: 0.7",26,1,69,28,43.54838709677419,10,40,
"Nu: 0.0001, Gamma: 0.9",26,1,56,41,54.03225806451613,10,40,
"Nu: 0.0001, Gamma: 0.99",26,1,52,45,57.25806451612904,10,40,
"Nu: 0.0002, Gamma: 0.0001",26,1,92,5,25.0,10,40,
"Nu: 0.0002, Gamma: 0.0002",26,1,92,5,25.0,10,40,
"Nu: 0.0002, Gamma: 0.0003",26,1,95,2,22.58064516129032,10,40,
"Nu: 0.0002, Gamma: 0.0004",26,1,92,5,25.0,10,40,
"Nu: 0.0002, Gamma: 0.005",26,1,92,5,25.0,10,40,
"Nu: 0.0002, Gamma: 0.05",26,1,95,2,22.58064516129032,10,40,
"Nu: 0.0002, Gamma: 0.0625",26,1,95,2,22.58064516129032,10,40,
"Nu: 0.0002, Gamma: 0.1",26,1,91,6,25.806451612903224,10,40,
"Nu: 0.0002, Gamma: 0.2",26,1,91,6,25.806451612903224,10,40,
"Nu: 0.0002, Gamma: 0.5",26,1,79,18,35.483870967741936,10,40,
"Nu: 0.0002, Gamma: 0.7",26,1,72,25,41.12903225806452,10,40,
"Nu: 0.0002, Gamma: 0.9",26,1,56,41,54.03225806451613,10,40,
"Nu: 0.0002, Gamma: 0.99",26,1,52,45,57.25806451612904,10,40,
"Nu: 0.0003, Gamma: 0.0001",14,13,85,12,20.967741935483872,10,40,
"Nu: 0.0003, Gamma: 0.0002",26,1,92,5,25.0,10,40,
"Nu: 0.0003, Gamma: 0.0003",26,1,95,2,22.58064516129032,10,40,
"Nu: 0.0003, Gamma: 0.0004",26,1,92,5,25.0,10,40,
"Nu: 0.0003, Gamma: 0.005",26,1,92,5,25.0,10,40,
"Nu: 0.0003, Gamma: 0.05",26,1,92,5,25.0,10,40,
"Nu: 0.0003, Gamma: 0.0625",26,1,95,2,22.58064516129032,10,40,
"Nu: 0.0003, Gamma: 0.1",26,1,91,6,25.806451612903224,10,40,
"Nu: 0.0003, Gamma: 0.2",26,1,91,6,25.806451612903224,10,40,
"Nu: 0.0003, Gamma: 0.5",26,1,76,21,37.903225806451616,10,40,
"Nu: 0.0003, Gamma: 0.7",26,1,72,25,41.12903225806452,10,40,
"Nu: 0.0003, Gamma: 0.9",26,1,53,44,56.451612903225815,10,40,
"Nu: 0.0003, Gamma: 0.99",26,1,48,49,60.483870967741936,10,40,
"Nu: 0.0004, Gamma: 0.0001",22,5,87,10,25.806451612903224,10,40,
"Nu: 0.0004, Gamma: 0.0002",27,0,95,2,23.387096774193548,10,40,
"Nu: 0.0004, Gamma: 0.0003",27,0,95,2,23.387096774193548,10,40,
"Nu: 0.0004, Gamma: 0.0004",27,0,95,2,23.387096774193548,10,40,
"Nu: 0.0004, Gamma: 0.005",26,1,92,5,25.0,10,40,
"Nu: 0.0004, Gamma: 0.05",26,1,92,5,25.0,10,40,
"Nu: 0.0004, Gamma: 0.0625",26,1,95,2,22.58064516129032,10,40,
"Nu: 0.0004, Gamma: 0.1",26,1,91,6,25.806451612903224,10,40,
"Nu: 0.0004, Gamma: 0.2",26,1,91,6,25.806451612903224,10,40,
"Nu: 0.0004, Gamma: 0.5",26,1,76,21,37.903225806451616,10,40,
"Nu: 0.0004, Gamma: 0.7",26,1,69,28,43.54838709677419,10,40,
"Nu: 0.0004, Gamma: 0.9",26,1,56,41,54.03225806451613,10,40,
"Nu: 0.0004, Gamma: 0.99",26,1,51,46,58.06451612903226,10,40,
"Nu: 0.005, Gamma: 0.0001",26,1,95,2,22.58064516129032,10,40,
"Nu: 0.005, Gamma: 0.0002",26,1,95,2,22.58064516129032,10,40,
"Nu: 0.005, Gamma: 0.0003",26,1,95,2,22.58064516129032,10,40,
"Nu: 0.005, Gamma: 0.0004",26,1,92,5,25.0,10,40,
"Nu: 0.005, Gamma: 0.005",26,1,95,2,22.58064516129032,10,40,
"Nu: 0.005, Gamma: 0.05",26,1,94,3,23.387096774193548,10,40,
"Nu: 0.005, Gamma: 0.0625",26,1,94,3,23.387096774193548,10,40,
"Nu: 0.005, Gamma: 0.1",26,1,90,7,26.61290322580645,10,40,
"Nu: 0.005, Gamma: 0.2",26,1,90,7,26.61290322580645,10,40,
"Nu: 0.005, Gamma: 0.5",26,1,74,23,39.516129032258064,10,40,
"Nu: 0.005, Gamma: 0.7",26,1,64,33,47.58064516129033,10,40,
"Nu: 0.005, Gamma: 0.9",26,1,51,46,58.06451612903226,10,40,
"Nu: 0.005, Gamma: 0.99",26,1,48,49,60.483870967741936,10,40,
"Nu: 0.05, Gamma: 0.0001",25,2,83,14,31.451612903225808,10,40,
"Nu: 0.05, Gamma: 0.0002",25,2,83,14,31.451612903225808,10,40,
"Nu: 0.05, Gamma: 0.0003",25,2,83,14,31.451612903225808,10,40,
"Nu: 0.05, Gamma: 0.0004",25,2,83,14,31.451612903225808,10,40,
"Nu: 0.05, Gamma: 0.005",25,2,83,14,31.451612903225808,10,40,
"Nu: 0.05, Gamma: 0.05",25,2,81,16,33.064516129032256,10,40,
"Nu: 0.05, Gamma: 0.0625",25,2,81,16,33.064516129032256,10,40,
"Nu: 0.05, Gamma: 0.1",25,2,81,16,33.064516129032256,10,40,
"Nu: 0.05, Gamma: 0.2",25,2,78,19,35.483870967741936,10,40,
"Nu: 0.05, Gamma: 0.5",25,2,66,31,45.16129032258064,10,40,
"Nu: 0.05, Gamma: 0.7",25,2,50,47,58.06451612903226,10,40,
"Nu: 0.05, Gamma: 0.9",25,2,45,52,62.096774193548384,10,40,
"Nu: 0.05, Gamma: 0.99",26,1,48,49,60.483870967741936,10,40,
"Nu: 0.0625, Gamma: 0.0001",24,3,81,16,32.25806451612903,10,40,
"Nu: 0.0625, Gamma: 0.0002",24,3,81,16,32.25806451612903,10,40,
"Nu: 0.0625, Gamma: 0.0003",24,3,81,16,32.25806451612903,10,40,
"Nu: 0.0625, Gamma: 0.0004",24,3,81,16,32.25806451612903,10,40,
"Nu: 0.0625, Gamma: 0.005",24,3,81,16,32.25806451612903,10,40,
"Nu: 0.0625, Gamma: 0.05",25,2,81,16,33.064516129032256,10,40,
"Nu: 0.0625, Gamma: 0.0625",25,2,81,16,33.064516129032256,10,40,
"Nu: 0.0625, Gamma: 0.1",25,2,81,16,33.064516129032256,10,40,
"Nu: 0.0625, Gamma: 0.2",25,2,78,19,35.483870967741936,10,40,
"Nu: 0.0625, Gamma: 0.5",25,2,63,34,47.58064516129033,10,40,
"Nu: 0.0625, Gamma: 0.7",25,2,50,47,58.06451612903226,10,40,
"Nu: 0.0625, Gamma: 0.9",25,2,48,49,59.67741935483871,10,40,
"Nu: 0.0625, Gamma: 0.99",25,2,44,53,62.903225806451616,10,40,
"Nu: 0.1, Gamma: 0.0001",23,4,70,27,40.32258064516129,10,40,
"Nu: 0.1, Gamma: 0.0002",23,4,70,27,40.32258064516129,10,40,
"Nu: 0.1, Gamma: 0.0003",23,4,70,27,40.32258064516129,10,40,
"Nu: 0.1, Gamma: 0.0004",23,4,70,27,40.32258064516129,10,40,
"Nu: 0.1, Gamma: 0.005",23,4,70,27,40.32258064516129,10,40,
"Nu: 0.1, Gamma: 0.05",23,4,70,27,40.32258064516129,10,40,
"Nu: 0.1, Gamma: 0.0625",23,4,71,26,39.516129032258064,10,40,
"Nu: 0.1, Gamma: 0.1",23,4,72,25,38.70967741935484,10,40,
"Nu: 0.1, Gamma: 0.2",23,4,70,27,40.32258064516129,10,40,
"Nu: 0.1, Gamma: 0.5",25,2,58,39,51.61290322580645,10,40,
"Nu: 0.1, Gamma: 0.7",25,2,47,50,60.483870967741936,10,40,
"Nu: 0.1, Gamma: 0.9",25,2,41,56,65.32258064516128,10,40,
"Nu: 0.1, Gamma: 0.99",25,2,40,57,66.12903225806451,10,40,
"Nu: 0.2, Gamma: 0.0001",20,7,60,37,45.96774193548387,10,40,
"Nu: 0.2, Gamma: 0.0002",20,7,60,37,45.96774193548387,10,40,
"Nu: 0.2, Gamma: 0.0003",20,7,60,37,45.96774193548387,10,40,
"Nu: 0.2, Gamma: 0.0004",20,7,60,37,45.96774193548387,10,40,
"Nu: 0.2, Gamma: 0.005",20,7,60,37,45.96774193548387,10,40,
"Nu: 0.2, Gamma: 0.05",20,7,60,37,45.96774193548387,10,40,
"Nu: 0.2, Gamma: 0.0625",20,7,60,37,45.96774193548387,10,40,
"Nu: 0.2, Gamma: 0.1",20,7,60,37,45.96774193548387,10,40,
"Nu: 0.2, Gamma: 0.2",19,8,60,37,45.16129032258064,10,40,
"Nu: 0.2, Gamma: 0.5",21,6,55,42,50.806451612903224,10,40,
"Nu: 0.2, Gamma: 0.7",23,4,43,54,62.096774193548384,10,40,
"Nu: 0.2, Gamma: 0.9",23,4,36,61,67.74193548387096,10,40,
"Nu: 0.2, Gamma: 0.99",22,5,35,62,67.74193548387096,10,40,
"Nu: 0.5, Gamma: 0.0001",13,14,53,44,45.96774193548387,10,40,
"Nu: 0.5, Gamma: 0.0002",13,14,53,44,45.96774193548387,10,40,
"Nu: 0.5, Gamma: 0.0003",13,14,53,44,45.96774193548387,10,40,
"Nu: 0.5, Gamma: 0.0004",13,14,53,44,45.96774193548387,10,40,
"Nu: 0.5, Gamma: 0.005",13,14,52,45,46.774193548387096,10,40,
"Nu: 0.5, Gamma: 0.05",13,14,50,47,48.38709677419355,10,40,
"Nu: 0.5, Gamma: 0.0625",13,14,49,48,49.193548387096776,10,40,
"Nu: 0.5, Gamma: 0.1",13,14,48,49,50.0,10,40,
"Nu: 0.5, Gamma: 0.2",13,14,47,50,50.806451612903224,10,40,
"Nu: 0.5, Gamma: 0.5",13,14,39,58,57.25806451612904,10,40,
"Nu: 0.5, Gamma: 0.7",14,13,30,67,65.32258064516128,10,40,
"Nu: 0.5, Gamma: 0.9",12,15,27,70,66.12903225806451,10,40,
"Nu: 0.5, Gamma: 0.99",13,14,25,72,68.54838709677419,10,40,
"Nu: 0.7, Gamma: 0.0001",6,21,31,66,58.06451612903226,10,40,
"Nu: 0.7, Gamma: 0.0002",6,21,31,66,58.06451612903226,10,40,
"Nu: 0.7, Gamma: 0.0003",6,21,31,66,58.06451612903226,10,40,
"Nu: 0.7, Gamma: 0.0004",6,21,31,66,58.06451612903226,10,40,
"Nu: 0.7, Gamma: 0.005",6,21,31,66,58.06451612903226,10,40,
"Nu: 0.7, Gamma: 0.05",6,21,30,67,58.87096774193549,10,40,
"Nu: 0.7, Gamma: 0.0625",6,21,30,67,58.87096774193549,10,40,
"Nu: 0.7, Gamma: 0.1",6,21,29,68,59.67741935483871,10,40,
"Nu: 0.7, Gamma: 0.2",7,20,29,68,60.483870967741936,10,40,
"Nu: 0.7, Gamma: 0.5",6,21,27,70,61.29032258064516,10,40,
"Nu: 0.7, Gamma: 0.7",5,22,24,73,62.903225806451616,10,40,
"Nu: 0.7, Gamma: 0.9",5,22,19,78,66.93548387096774,10,40,
"Nu: 0.7, Gamma: 0.99",4,23,18,79,66.93548387096774,10,40,
"Nu: 0.9, Gamma: 0.0001",1,26,13,84,68.54838709677419,10,40,
"Nu: 0.9, Gamma: 0.0002",1,26,13,84,68.54838709677419,10,40,
"Nu: 0.9, Gamma: 0.0003",1,26,13,84,68.54838709677419,10,40,
"Nu: 0.9, Gamma: 0.0004",1,26,13,84,68.54838709677419,10,40,
"Nu: 0.9, Gamma: 0.005",1,26,13,84,68.54838709677419,10,40,
"Nu: 0.9, Gamma: 0.05",1,26,12,85,69.35483870967742,10,40,
"Nu: 0.9, Gamma: 0.0625",1,26,12,85,69.35483870967742,10,40,
"Nu: 0.9, Gamma: 0.1",1,26,11,86,70.16129032258065,10,40,
