Features: 16,,,,,,,,
Target Class: dedup,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.05, Gamma: 0.5",10,0,19,249,93.16546762589928,0,40,
"Nu: 0.05, Gamma: 0.7",10,0,14,254,94.96402877697841,0,40,
"Nu: 0.05, Gamma: 0.9",10,0,13,255,95.32374100719424,0,40,
"Nu: 0.05, Gamma: 0.99",10,0,11,257,96.0431654676259,0,40,
"Nu: 0.0625, Gamma: 0.0001",9,1,265,3,4.316546762589928,0,40,
"Nu: 0.0625, Gamma: 0.0002",9,1,265,3,4.316546762589928,0,40,
"Nu: 0.0625, Gamma: 0.0003",9,1,265,3,4.316546762589928,0,40,
"Nu: 0.0625, Gamma: 0.0004",9,1,265,3,4.316546762589928,0,40,
"Nu: 0.0625, Gamma: 0.005",9,1,263,5,5.0359712230215825,0,40,
"Nu: 0.0625, Gamma: 0.05",9,1,250,18,9.712230215827338,0,40,
"Nu: 0.0625, Gamma: 0.0625",9,1,247,21,10.79136690647482,0,40,
"Nu: 0.0625, Gamma: 0.1",9,1,221,47,20.14388489208633,0,40,
"Nu: 0.0625, Gamma: 0.2",10,0,143,125,48.561151079136685,0,40,
"Nu: 0.0625, Gamma: 0.5",10,0,19,249,93.16546762589928,0,40,
"Nu: 0.0625, Gamma: 0.7",10,0,14,254,94.96402877697841,0,40,
"Nu: 0.0625, Gamma: 0.9",10,0,13,255,95.32374100719424,0,40,
"Nu: 0.0625, Gamma: 0.99",10,0,13,255,95.32374100719424,0,40,
"Nu: 0.1, Gamma: 0.0001",6,4,217,51,20.503597122302157,0,40,
"Nu: 0.1, Gamma: 0.0002",6,4,217,51,20.503597122302157,0,40,
"Nu: 0.1, Gamma: 0.0003",9,1,240,28,13.309352517985612,0,40,
"Nu: 0.1, Gamma: 0.0004",9,1,240,28,13.309352517985612,0,40,
"Nu: 0.1, Gamma: 0.005",9,1,239,29,13.66906474820144,0,40,
"Nu: 0.1, Gamma: 0.05",9,1,218,50,21.223021582733814,0,40,
"Nu: 0.1, Gamma: 0.0625",9,1,209,59,24.46043165467626,0,40,
"Nu: 0.1, Gamma: 0.1",9,1,183,85,33.81294964028777,0,40,
"Nu: 0.1, Gamma: 0.2",9,1,119,149,56.83453237410072,0,40,
"Nu: 0.1, Gamma: 0.5",10,0,21,247,92.44604316546763,0,40,
"Nu: 0.1, Gamma: 0.7",10,0,15,253,94.60431654676259,0,40,
"Nu: 0.1, Gamma: 0.9",9,1,13,255,94.96402877697841,0,40,
"Nu: 0.1, Gamma: 0.99",8,2,13,255,94.60431654676259,0,40,
"Nu: 0.2, Gamma: 0.0001",7,3,210,58,23.381294964028775,0,40,
"Nu: 0.2, Gamma: 0.0002",7,3,210,58,23.381294964028775,0,40,
"Nu: 0.2, Gamma: 0.0003",7,3,210,58,23.381294964028775,0,40,
"Nu: 0.2, Gamma: 0.0004",7,3,209,59,23.741007194244602,0,40,
