Features: 16,,,,,,,,,,
Target Class: freqmine,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,94.05940594,488
"Nu: 0.9, Gamma: 0.9",1,18,15,139,80.92485549,0,40,,,
"Nu: 0.9, Gamma: 0.99",1,18,11,143,83.23699422,0,40,,,
"Nu: 0.99, Gamma: 0.0001",0,19,0,154,89.01734104,0,40,,,
"Nu: 0.99, Gamma: 0.0002",0,19,0,154,89.01734104,0,40,,,
"Nu: 0.99, Gamma: 0.0003",0,19,0,154,89.01734104,0,40,,,
"Nu: 0.99, Gamma: 0.0004",0,19,0,154,89.01734104,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,19,2,152,87.86127168,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,19,2,152,87.86127168,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,19,2,152,87.86127168,0,40,,,
"Nu: 0.99, Gamma: 0.1",1,18,0,154,89.59537572,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,19,0,154,89.01734104,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,19,1,153,88.43930636,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,19,1,153,88.43930636,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,19,1,153,88.43930636,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,19,0,154,89.01734104,0,40,,,
,,,,,,,,,,
Features: 16,,,,,,,,,,
Target Class: freqmine,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,16,0,186,92.07920792,10,40,,,
"Nu: 0.0001, Gamma: 0.0002",4,12,101,85,44.05940594,10,40,,,
"Nu: 0.0001, Gamma: 0.0003",4,12,101,85,44.05940594,10,40,,,
"Nu: 0.0001, Gamma: 0.0004",4,12,101,85,44.05940594,10,40,,,
"Nu: 0.0001, Gamma: 0.005",16,0,185,1,8.415841584,10,40,,,
"Nu: 0.0001, Gamma: 0.05",16,0,185,1,8.415841584,10,40,,,
"Nu: 0.0001, Gamma: 0.0625",16,0,185,1,8.415841584,10,40,,,
"Nu: 0.0001, Gamma: 0.1",16,0,183,3,9.405940594,10,40,,,
"Nu: 0.0001, Gamma: 0.2",16,0,183,3,9.405940594,10,40,,,
"Nu: 0.0001, Gamma: 0.5",16,0,182,4,9.900990099,10,40,,,
"Nu: 0.0001, Gamma: 0.7",16,0,182,4,9.900990099,10,40,,,
"Nu: 0.0001, Gamma: 0.9",16,0,178,8,11.88118812,10,40,,,
"Nu: 0.0001, Gamma: 0.99",16,0,176,10,12.87128713,10,40,,,
"Nu: 0.0002, Gamma: 0.0001",4,12,105,81,42.07920792,10,40,,,
"Nu: 0.0002, Gamma: 0.0002",4,12,105,81,42.07920792,10,40,,,
"Nu: 0.0002, Gamma: 0.0003",4,12,105,81,42.07920792,10,40,,,
"Nu: 0.0002, Gamma: 0.0004",4,12,105,81,42.07920792,10,40,,,
"Nu: 0.0002, Gamma: 0.005",16,0,185,1,8.415841584,10,40,,,
"Nu: 0.0002, Gamma: 0.05",16,0,185,1,8.415841584,10,40,,,
"Nu: 0.0002, Gamma: 0.0625",16,0,185,1,8.415841584,10,40,,,
"Nu: 0.0002, Gamma: 0.1",16,0,183,3,9.405940594,10,40,,,
"Nu: 0.0002, Gamma: 0.2",16,0,183,3,9.405940594,10,40,,,
"Nu: 0.0002, Gamma: 0.5",16,0,182,4,9.900990099,10,40,,,
"Nu: 0.0002, Gamma: 0.7",16,0,182,4,9.900990099,10,40,,,
"Nu: 0.0002, Gamma: 0.9",16,0,178,8,11.88118812,10,40,,,
"Nu: 0.0002, Gamma: 0.99",16,0,175,11,13.36633663,10,40,,,
"Nu: 0.0003, Gamma: 0.0001",4,12,107,79,41.08910891,10,40,,,
"Nu: 0.0003, Gamma: 0.0002",4,12,107,79,41.08910891,10,40,,,
"Nu: 0.0003, Gamma: 0.0003",4,12,107,79,41.08910891,10,40,,,
"Nu: 0.0003, Gamma: 0.0004",4,12,107,79,41.08910891,10,40,,,
"Nu: 0.0003, Gamma: 0.005",16,0,185,1,8.415841584,10,40,,,
"Nu: 0.0003, Gamma: 0.05",16,0,185,1,8.415841584,10,40,,,
"Nu: 0.0003, Gamma: 0.0625",16,0,185,1,8.415841584,10,40,,,
"Nu: 0.0003, Gamma: 0.1",16,0,183,3,9.405940594,10,40,,,
"Nu: 0.0003, Gamma: 0.2",16,0,183,3,9.405940594,10,40,,,
"Nu: 0.0003, Gamma: 0.5",16,0,182,4,9.900990099,10,40,,,
"Nu: 0.0003, Gamma: 0.7",16,0,182,4,9.900990099,10,40,,,
"Nu: 0.0003, Gamma: 0.9",16,0,178,8,11.88118812,10,40,,,
"Nu: 0.0003, Gamma: 0.99",16,0,175,11,13.36633663,10,40,,,
"Nu: 0.0004, Gamma: 0.0001",16,0,185,1,8.415841584,10,40,,,
"Nu: 0.0004, Gamma: 0.0002",16,0,185,1,8.415841584,10,40,,,
"Nu: 0.0004, Gamma: 0.0003",15,1,177,9,11.88118812,10,40,,,
"Nu: 0.0004, Gamma: 0.0004",15,1,177,9,11.88118812,10,40,,,
"Nu: 0.0004, Gamma: 0.005",16,0,185,1,8.415841584,10,40,,,
"Nu: 0.0004, Gamma: 0.05",16,0,185,1,8.415841584,10,40,,,
"Nu: 0.0004, Gamma: 0.0625",16,0,185,1,8.415841584,10,40,,,
"Nu: 0.0004, Gamma: 0.1",16,0,183,3,9.405940594,10,40,,,
"Nu: 0.0004, Gamma: 0.2",16,0,183,3,9.405940594,10,40,,,
"Nu: 0.0004, Gamma: 0.5",16,0,182,4,9.900990099,10,40,,,
"Nu: 0.0004, Gamma: 0.7",16,0,182,4,9.900990099,10,40,,,
"Nu: 0.0004, Gamma: 0.9",16,0,180,6,10.89108911,10,40,,,
"Nu: 0.0004, Gamma: 0.99",16,0,175,11,13.36633663,10,40,,,
"Nu: 0.005, Gamma: 0.0001",14,2,171,15,14.35643564,10,40,,,
"Nu: 0.005, Gamma: 0.0002",16,0,185,1,8.415841584,10,40,,,
"Nu: 0.005, Gamma: 0.0003",16,0,185,1,8.415841584,10,40,,,
"Nu: 0.005, Gamma: 0.0004",16,0,185,1,8.415841584,10,40,,,
"Nu: 0.005, Gamma: 0.005",16,0,185,1,8.415841584,10,40,,,
"Nu: 0.005, Gamma: 0.05",16,0,185,1,8.415841584,10,40,,,
"Nu: 0.005, Gamma: 0.0625",16,0,185,1,8.415841584,10,40,,,
"Nu: 0.005, Gamma: 0.1",16,0,183,3,9.405940594,10,40,,,
"Nu: 0.005, Gamma: 0.2",16,0,183,3,9.405940594,10,40,,,
"Nu: 0.005, Gamma: 0.5",16,0,182,4,9.900990099,10,40,,,
"Nu: 0.005, Gamma: 0.7",16,0,182,4,9.900990099,10,40,,,
"Nu: 0.005, Gamma: 0.9",16,0,175,11,13.36633663,10,40,,,
"Nu: 0.005, Gamma: 0.99",16,0,172,14,14.85148515,10,40,,,
"Nu: 0.05, Gamma: 0.0001",16,0,169,17,16.33663366,10,40,,,
"Nu: 0.05, Gamma: 0.0002",16,0,169,17,16.33663366,10,40,,,
"Nu: 0.05, Gamma: 0.0003",16,0,169,17,16.33663366,10,40,,,
"Nu: 0.05, Gamma: 0.0004",16,0,169,17,16.33663366,10,40,,,
"Nu: 0.05, Gamma: 0.005",16,0,169,17,16.33663366,10,40,,,
"Nu: 0.05, Gamma: 0.05",16,0,169,17,16.33663366,10,40,,,
"Nu: 0.05, Gamma: 0.0625",16,0,169,17,16.33663366,10,40,,,
"Nu: 0.05, Gamma: 0.1",16,0,169,17,16.33663366,10,40,,,
"Nu: 0.05, Gamma: 0.2",16,0,169,17,16.33663366,10,40,,,
"Nu: 0.05, Gamma: 0.5",16,0,175,11,13.36633663,10,40,,,
"Nu: 0.05, Gamma: 0.7",16,0,173,13,14.35643564,10,40,,,
"Nu: 0.05, Gamma: 0.9",16,0,166,20,17.82178218,10,40,,,
"Nu: 0.05, Gamma: 0.99",16,0,164,22,18.81188119,10,40,,,
"Nu: 0.0625, Gamma: 0.0001",16,0,167,19,17.32673267,10,40,,,
"Nu: 0.0625, Gamma: 0.0002",16,0,167,19,17.32673267,10,40,,,
"Nu: 0.0625, Gamma: 0.0003",16,0,167,19,17.32673267,10,40,,,
"Nu: 0.0625, Gamma: 0.0004",16,0,167,19,17.32673267,10,40,,,
"Nu: 0.0625, Gamma: 0.005",16,0,167,19,17.32673267,10,40,,,
"Nu: 0.0625, Gamma: 0.05",16,0,165,21,18.31683168,10,40,,,
"Nu: 0.0625, Gamma: 0.0625",16,0,164,22,18.81188119,10,40,,,
"Nu: 0.0625, Gamma: 0.1",16,0,164,22,18.81188119,10,40,,,
"Nu: 0.0625, Gamma: 0.2",16,0,154,32,23.76237624,10,40,,,
"Nu: 0.0625, Gamma: 0.5",16,0,170,16,15.84158416,10,40,,,
"Nu: 0.0625, Gamma: 0.7",16,0,166,20,17.82178218,10,40,,,
"Nu: 0.0625, Gamma: 0.9",16,0,155,31,23.26732673,10,40,,,
"Nu: 0.0625, Gamma: 0.99",16,0,155,31,23.26732673,10,40,,,
"Nu: 0.1, Gamma: 0.0001",16,0,164,22,18.81188119,10,40,,,
"Nu: 0.1, Gamma: 0.0002",16,0,164,22,18.81188119,10,40,,,
"Nu: 0.1, Gamma: 0.0003",16,0,164,22,18.81188119,10,40,,,
"Nu: 0.1, Gamma: 0.0004",16,0,164,22,18.81188119,10,40,,,
"Nu: 0.1, Gamma: 0.005",16,0,164,22,18.81188119,10,40,,,
"Nu: 0.1, Gamma: 0.05",16,0,164,22,18.81188119,10,40,,,
"Nu: 0.1, Gamma: 0.0625",16,0,164,22,18.81188119,10,40,,,
"Nu: 0.1, Gamma: 0.1",16,0,161,25,20.2970297,10,40,,,
"Nu: 0.1, Gamma: 0.2",16,0,148,38,26.73267327,10,40,,,
"Nu: 0.1, Gamma: 0.5",16,0,149,37,26.23762376,10,40,,,
"Nu: 0.1, Gamma: 0.7",16,0,140,46,30.69306931,10,40,,,
"Nu: 0.1, Gamma: 0.9",16,0,138,48,31.68316832,10,40,,,
"Nu: 0.1, Gamma: 0.99",16,0,137,49,32.17821782,10,40,,,
"Nu: 0.2, Gamma: 0.0001",14,2,155,31,22.27722772,10,40,,,
"Nu: 0.2, Gamma: 0.0002",14,2,155,31,22.27722772,10,40,,,
"Nu: 0.2, Gamma: 0.0003",14,2,155,31,22.27722772,10,40,,,
"Nu: 0.2, Gamma: 0.0004",14,2,155,31,22.27722772,10,40,,,
"Nu: 0.2, Gamma: 0.005",14,2,155,31,22.27722772,10,40,,,
"Nu: 0.2, Gamma: 0.05",14,2,153,33,23.26732673,10,40,,,
"Nu: 0.2, Gamma: 0.0625",14,2,149,37,25.24752475,10,40,,,
"Nu: 0.2, Gamma: 0.1",15,1,147,39,26.73267327,10,40,,,
"Nu: 0.2, Gamma: 0.2",15,1,143,43,28.71287129,10,40,,,
"Nu: 0.2, Gamma: 0.5",16,0,126,60,37.62376238,10,40,,,
"Nu: 0.2, Gamma: 0.7",15,1,124,62,38.11881188,10,40,,,
"Nu: 0.2, Gamma: 0.9",15,1,118,68,41.08910891,10,40,,,
"Nu: 0.2, Gamma: 0.99",15,1,116,70,42.07920792,10,40,,,
"Nu: 0.5, Gamma: 0.0001",12,4,121,65,38.11881188,10,40,,,
"Nu: 0.5, Gamma: 0.0002",12,4,121,65,38.11881188,10,40,,,
"Nu: 0.5, Gamma: 0.0003",12,4,121,65,38.11881188,10,40,,,
"Nu: 0.5, Gamma: 0.0004",12,4,121,65,38.11881188,10,40,,,
"Nu: 0.5, Gamma: 0.005",12,4,120,66,38.61386139,10,40,,,
"Nu: 0.5, Gamma: 0.05",11,5,115,71,40.59405941,10,40,,,
"Nu: 0.5, Gamma: 0.0625",11,5,113,73,41.58415842,10,40,,,
"Nu: 0.5, Gamma: 0.1",10,6,87,99,53.96039604,10,40,,,
"Nu: 0.5, Gamma: 0.2",10,6,56,130,69.30693069,10,40,,,
"Nu: 0.5, Gamma: 0.5",10,6,48,138,73.26732673,10,40,,,
"Nu: 0.5, Gamma: 0.7",10,6,44,142,75.24752475,10,40,,,
"Nu: 0.5, Gamma: 0.9",11,5,41,145,77.22772277,10,40,,,
"Nu: 0.5, Gamma: 0.99",11,5,40,146,77.72277228,10,40,,,
"Nu: 0.7, Gamma: 0.0001",3,13,68,118,59.9009901,10,40,,,
"Nu: 0.7, Gamma: 0.0002",3,13,68,118,59.9009901,10,40,,,
"Nu: 0.7, Gamma: 0.0003",3,13,68,118,59.9009901,10,40,,,
"Nu: 0.7, Gamma: 0.0004",3,13,68,118,59.9009901,10,40,,,
"Nu: 0.7, Gamma: 0.005",3,13,67,119,60.3960396,10,40,,,
"Nu: 0.7, Gamma: 0.05",2,14,59,127,63.86138614,10,40,,,
"Nu: 0.7, Gamma: 0.0625",2,14,58,128,64.35643564,10,40,,,
"Nu: 0.7, Gamma: 0.1",4,12,55,131,66.83168317,10,40,,,
"Nu: 0.7, Gamma: 0.2",5,11,51,135,69.30693069,10,40,,,
"Nu: 0.7, Gamma: 0.5",6,10,30,156,80.1980198,10,40,,,
"Nu: 0.7, Gamma: 0.7",7,9,16,170,87.62376238,10,40,,,
"Nu: 0.7, Gamma: 0.9",8,8,5,181,93.56435644,10,40,,,
"Nu: 0.7, Gamma: 0.99",8,8,4,182,94.05940594,10,40,,,
"Nu: 0.9, Gamma: 0.0001",0,16,28,158,78.21782178,10,40,,,
"Nu: 0.9, Gamma: 0.0002",0,16,28,158,78.21782178,10,40,,,
"Nu: 0.9, Gamma: 0.0003",0,16,28,158,78.21782178,10,40,,,
"Nu: 0.9, Gamma: 0.0004",0,16,28,158,78.21782178,10,40,,,
"Nu: 0.9, Gamma: 0.005",0,16,28,158,78.21782178,10,40,,,
"Nu: 0.9, Gamma: 0.05",0,16,26,160,79.20792079,10,40,,,
"Nu: 0.9, Gamma: 0.0625",0,16,26,160,79.20792079,10,40,,,
"Nu: 0.9, Gamma: 0.1",0,16,23,163,80.69306931,10,40,,,
"Nu: 0.9, Gamma: 0.2",1,15,14,172,85.64356436,10,40,,,
"Nu: 0.9, Gamma: 0.5",2,14,3,183,91.58415842,10,40,,,
"Nu: 0.9, Gamma: 0.7",2,14,3,183,91.58415842,10,40,,,
"Nu: 0.9, Gamma: 0.9",2,14,3,183,91.58415842,10,40,,,
"Nu: 0.9, Gamma: 0.99",2,14,3,183,91.58415842,10,40,,,
"Nu: 0.99, Gamma: 0.0001",0,16,1,185,91.58415842,10,40,,,
"Nu: 0.99, Gamma: 0.0002",0,16,3,183,90.59405941,10,40,,,
"Nu: 0.99, Gamma: 0.0003",0,16,3,183,90.59405941,10,40,,,
"Nu: 0.99, Gamma: 0.0004",0,16,3,183,90.59405941,10,40,,,
"Nu: 0.99, Gamma: 0.005",0,16,3,183,90.59405941,10,40,,,
"Nu: 0.99, Gamma: 0.05",0,16,2,184,91.08910891,10,40,,,
"Nu: 0.99, Gamma: 0.0625",0,16,2,184,91.08910891,10,40,,,
"Nu: 0.99, Gamma: 0.1",0,16,3,183,90.59405941,10,40,,,
"Nu: 0.99, Gamma: 0.2",0,16,1,185,91.58415842,10,40,,,
"Nu: 0.99, Gamma: 0.5",0,16,0,186,92.07920792,10,40,,,
"Nu: 0.99, Gamma: 0.7",0,16,0,186,92.07920792,10,40,,,
"Nu: 0.99, Gamma: 0.9",0,16,0,186,92.07920792,10,40,,,
"Nu: 0.99, Gamma: 0.99",0,16,0,186,92.07920792,10,40,,,
,,,,,,,,,,
Target Class: freqmine_IndirectBP,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",12,7,75,79,52.60115607,10,40,,,
"Nu: 0.0001, Gamma: 0.0002",12,7,74,80,53.17919075,10,40,,,
"Nu: 0.0001, Gamma: 0.0003",12,7,74,80,53.17919075,10,40,,,
"Nu: 0.0001, Gamma: 0.0004",12,7,74,80,53.17919075,10,40,,,
"Nu: 0.0001, Gamma: 0.005",19,0,154,0,10.98265896,10,40,,,
"Nu: 0.0001, Gamma: 0.05",19,0,154,0,10.98265896,10,40,,,
"Nu: 0.0001, Gamma: 0.0625",19,0,154,0,10.98265896,10,40,,,
"Nu: 0.0001, Gamma: 0.1",19,0,154,0,10.98265896,10,40,,,
"Nu: 0.0001, Gamma: 0.2",19,0,153,1,11.56069364,10,40,,,
"Nu: 0.0001, Gamma: 0.5",19,0,152,2,12.13872832,10,40,,,
"Nu: 0.0001, Gamma: 0.7",19,0,152,2,12.13872832,10,40,,,
"Nu: 0.0001, Gamma: 0.9",19,0,151,3,12.71676301,10,40,,,
"Nu: 0.0001, Gamma: 0.99",19,0,151,3,12.71676301,10,40,,,
"Nu: 0.0002, Gamma: 0.0001",10,9,56,98,62.42774566,10,40,,,
"Nu: 0.0002, Gamma: 0.0002",10,9,56,98,62.42774566,10,40,,,
"Nu: 0.0002, Gamma: 0.0003",10,9,56,98,62.42774566,10,40,,,
"Nu: 0.0002, Gamma: 0.0004",10,9,56,98,62.42774566,10,40,,,
"Nu: 0.0002, Gamma: 0.005",19,0,154,0,10.98265896,10,40,,,
"Nu: 0.0002, Gamma: 0.05",19,0,154,0,10.98265896,10,40,,,
"Nu: 0.0002, Gamma: 0.0625",19,0,154,0,10.98265896,10,40,,,
"Nu: 0.0002, Gamma: 0.1",19,0,154,0,10.98265896,10,40,,,
"Nu: 0.0002, Gamma: 0.2",19,0,153,1,11.56069364,10,40,,,
"Nu: 0.0002, Gamma: 0.5",19,0,152,2,12.13872832,10,40,,,
"Nu: 0.0002, Gamma: 0.7",19,0,152,2,12.13872832,10,40,,,
"Nu: 0.0002, Gamma: 0.9",19,0,151,3,12.71676301,10,40,,,
"Nu: 0.0002, Gamma: 0.99",19,0,151,3,12.71676301,10,40,,,
"Nu: 0.0003, Gamma: 0.0001",16,3,118,36,30.05780347,10,40,,,
"Nu: 0.0003, Gamma: 0.0002",16,3,118,36,30.05780347,10,40,,,
"Nu: 0.0003, Gamma: 0.0003",16,3,76,78,54.33526012,10,40,,,
"Nu: 0.0003, Gamma: 0.0004",16,3,76,78,54.33526012,10,40,,,
"Nu: 0.0003, Gamma: 0.005",19,0,154,0,10.98265896,10,40,,,
"Nu: 0.0003, Gamma: 0.05",19,0,154,0,10.98265896,10,40,,,
"Nu: 0.0003, Gamma: 0.0625",19,0,154,0,10.98265896,10,40,,,
"Nu: 0.0003, Gamma: 0.1",19,0,154,0,10.98265896,10,40,,,
"Nu: 0.0003, Gamma: 0.2",19,0,153,1,11.56069364,10,40,,,
"Nu: 0.0003, Gamma: 0.5",19,0,152,2,12.13872832,10,40,,,
"Nu: 0.0003, Gamma: 0.7",19,0,152,2,12.13872832,10,40,,,
"Nu: 0.0003, Gamma: 0.9",19,0,151,3,12.71676301,10,40,,,
"Nu: 0.0003, Gamma: 0.99",19,0,151,3,12.71676301,10,40,,,
"Nu: 0.0004, Gamma: 0.0001",12,7,78,76,50.86705202,10,40,,,
"Nu: 0.0004, Gamma: 0.0002",12,7,78,76,50.86705202,10,40,,,
"Nu: 0.0004, Gamma: 0.0003",12,7,78,76,50.86705202,10,40,,,
"Nu: 0.0004, Gamma: 0.0004",12,7,78,76,50.86705202,10,40,,,
"Nu: 0.0004, Gamma: 0.005",19,0,154,0,10.98265896,10,40,,,
"Nu: 0.0004, Gamma: 0.05",19,0,154,0,10.98265896,10,40,,,
"Nu: 0.0004, Gamma: 0.0625",19,0,154,0,10.98265896,10,40,,,
"Nu: 0.0004, Gamma: 0.1",19,0,154,0,10.98265896,10,40,,,
"Nu: 0.0004, Gamma: 0.2",19,0,153,1,11.56069364,10,40,,,
"Nu: 0.0004, Gamma: 0.5",19,0,152,2,12.13872832,10,40,,,
"Nu: 0.0004, Gamma: 0.7",19,0,152,2,12.13872832,10,40,,,
"Nu: 0.0004, Gamma: 0.9",19,0,151,3,12.71676301,10,40,,,
"Nu: 0.0004, Gamma: 0.99",19,0,151,3,12.71676301,10,40,,,
"Nu: 0.005, Gamma: 0.0001",19,0,152,2,12.13872832,10,40,,,
"Nu: 0.005, Gamma: 0.0002",19,0,152,2,12.13872832,10,40,,,
"Nu: 0.005, Gamma: 0.0003",19,0,152,2,12.13872832,10,40,,,
"Nu: 0.005, Gamma: 0.0004",19,0,152,2,12.13872832,10,40,,,
"Nu: 0.005, Gamma: 0.005",19,0,153,1,11.56069364,10,40,,,
"Nu: 0.005, Gamma: 0.05",19,0,153,1,11.56069364,10,40,,,
"Nu: 0.005, Gamma: 0.0625",19,0,153,1,11.56069364,10,40,,,
"Nu: 0.005, Gamma: 0.1",19,0,154,0,10.98265896,10,40,,,
"Nu: 0.005, Gamma: 0.2",19,0,154,0,10.98265896,10,40,,,
"Nu: 0.005, Gamma: 0.5",19,0,152,2,12.13872832,10,40,,,
"Nu: 0.005, Gamma: 0.7",19,0,152,2,12.13872832,10,40,,,
"Nu: 0.005, Gamma: 0.9",19,0,151,3,12.71676301,10,40,,,
"Nu: 0.005, Gamma: 0.99",19,0,151,3,12.71676301,10,40,,,
"Nu: 0.05, Gamma: 0.0001",18,1,141,13,17.91907514,10,40,,,
"Nu: 0.05, Gamma: 0.0002",18,1,141,13,17.91907514,10,40,,,
"Nu: 0.05, Gamma: 0.0003",18,1,141,13,17.91907514,10,40,,,
"Nu: 0.05, Gamma: 0.0004",18,1,141,13,17.91907514,10,40,,,
"Nu: 0.05, Gamma: 0.005",18,1,141,13,17.91907514,10,40,,,
"Nu: 0.05, Gamma: 0.05",18,1,141,13,17.91907514,10,40,,,
"Nu: 0.05, Gamma: 0.0625",18,1,141,13,17.91907514,10,40,,,
"Nu: 0.05, Gamma: 0.1",19,0,151,3,12.71676301,10,40,,,
"Nu: 0.05, Gamma: 0.2",19,0,152,2,12.13872832,10,40,,,
"Nu: 0.05, Gamma: 0.5",19,0,150,4,13.29479769,10,40,,,
"Nu: 0.05, Gamma: 0.7",19,0,149,5,13.87283237,10,40,,,
"Nu: 0.05, Gamma: 0.9",19,0,149,5,13.87283237,10,40,,,
"Nu: 0.05, Gamma: 0.99",19,0,149,5,13.87283237,10,40,,,
"Nu: 0.0625, Gamma: 0.0001",18,1,141,13,17.91907514,10,40,,,
"Nu: 0.0625, Gamma: 0.0002",18,1,141,13,17.91907514,10,40,,,
"Nu: 0.0625, Gamma: 0.0003",18,1,141,13,17.91907514,10,40,,,
"Nu: 0.0625, Gamma: 0.0004",18,1,141,13,17.91907514,10,40,,,
"Nu: 0.0625, Gamma: 0.005",18,1,141,13,17.91907514,10,40,,,
"Nu: 0.0625, Gamma: 0.05",18,1,141,13,17.91907514,10,40,,,
"Nu: 0.0625, Gamma: 0.0625",18,1,141,13,17.91907514,10,40,,,
"Nu: 0.0625, Gamma: 0.1",18,1,141,13,17.91907514,10,40,,,
"Nu: 0.0625, Gamma: 0.2",19,0,142,12,17.91907514,10,40,,,
"Nu: 0.0625, Gamma: 0.5",19,0,150,4,13.29479769,10,40,,,
"Nu: 0.0625, Gamma: 0.7",19,0,148,6,14.45086705,10,40,,,
"Nu: 0.0625, Gamma: 0.9",19,0,149,5,13.87283237,10,40,,,
"Nu: 0.0625, Gamma: 0.99",19,0,149,5,13.87283237,10,40,,,
"Nu: 0.1, Gamma: 0.0001",17,2,136,18,20.23121387,10,40,,,
"Nu: 0.1, Gamma: 0.0002",17,2,139,15,18.49710983,10,40,,,
"Nu: 0.1, Gamma: 0.0003",17,2,139,15,18.49710983,10,40,,,
"Nu: 0.1, Gamma: 0.0004",17,2,139,15,18.49710983,10,40,,,
"Nu: 0.1, Gamma: 0.005",17,2,139,15,18.49710983,10,40,,,
"Nu: 0.1, Gamma: 0.05",17,2,138,16,19.07514451,10,40,,,
"Nu: 0.1, Gamma: 0.0625",17,2,138,16,19.07514451,10,40,,,
"Nu: 0.1, Gamma: 0.1",18,1,139,15,19.07514451,10,40,,,
"Nu: 0.1, Gamma: 0.2",19,0,138,16,20.23121387,10,40,,,
"Nu: 0.1, Gamma: 0.5",19,0,139,15,19.65317919,10,40,,,
"Nu: 0.1, Gamma: 0.7",19,0,148,6,14.45086705,10,40,,,
"Nu: 0.1, Gamma: 0.9",18,1,147,7,14.45086705,10,40,,,
"Nu: 0.1, Gamma: 0.99",18,1,146,8,15.02890173,10,40,,,
"Nu: 0.2, Gamma: 0.0001",16,3,83,71,50.28901734,10,40,,,
"Nu: 0.2, Gamma: 0.0002",16,3,83,71,50.28901734,10,40,,,
"Nu: 0.2, Gamma: 0.0003",16,3,83,71,50.28901734,10,40,,,
"Nu: 0.2, Gamma: 0.0004",16,3,83,71,50.28901734,10,40,,,
"Nu: 0.2, Gamma: 0.005",16,3,84,70,49.71098266,10,40,,,
"Nu: 0.2, Gamma: 0.05",17,2,114,40,32.94797688,10,40,,,
"Nu: 0.2, Gamma: 0.0625",17,2,118,36,30.63583815,10,40,,,
"Nu: 0.2, Gamma: 0.1",17,2,127,27,25.43352601,10,40,,,
"Nu: 0.2, Gamma: 0.2",18,1,133,21,22.5433526,10,40,,,
"Nu: 0.2, Gamma: 0.5",18,1,130,24,24.27745665,10,40,,,
"Nu: 0.2, Gamma: 0.7",17,2,128,26,24.85549133,10,40,,,
"Nu: 0.2, Gamma: 0.9",18,1,129,25,24.85549133,10,40,,,
"Nu: 0.2, Gamma: 0.99",16,3,126,28,25.43352601,10,40,,,
"Nu: 0.5, Gamma: 0.0001",10,9,43,111,69.94219653,10,40,,,
"Nu: 0.5, Gamma: 0.0002",10,9,43,111,69.94219653,10,40,,,
"Nu: 0.5, Gamma: 0.0003",10,9,43,111,69.94219653,10,40,,,
"Nu: 0.5, Gamma: 0.0004",10,9,43,111,69.94219653,10,40,,,
"Nu: 0.5, Gamma: 0.005",10,9,43,111,69.94219653,10,40,,,
"Nu: 0.5, Gamma: 0.05",10,9,40,114,71.67630058,10,40,,,
"Nu: 0.5, Gamma: 0.0625",10,9,40,114,71.67630058,10,40,,,
"Nu: 0.5, Gamma: 0.1",10,9,39,115,72.25433526,10,40,,,
"Nu: 0.5, Gamma: 0.2",10,9,36,118,73.98843931,10,40,,,
"Nu: 0.5, Gamma: 0.5",9,10,30,124,76.87861272,10,40,,,
"Nu: 0.5, Gamma: 0.7",7,12,28,126,76.87861272,10,40,,,
"Nu: 0.5, Gamma: 0.9",7,12,27,127,77.4566474,10,40,,,
"Nu: 0.5, Gamma: 0.99",7,12,27,127,77.4566474,10,40,,,
"Nu: 0.7, Gamma: 0.0001",6,13,33,121,73.41040462,10,40,,,
"Nu: 0.7, Gamma: 0.0002",6,13,33,121,73.41040462,10,40,,,
"Nu: 0.7, Gamma: 0.0003",6,13,33,121,73.41040462,10,40,,,
"Nu: 0.7, Gamma: 0.0004",6,13,33,121,73.41040462,10,40,,,
"Nu: 0.7, Gamma: 0.005",6,13,34,120,72.83236994,10,40,,,
"Nu: 0.7, Gamma: 0.05",6,13,35,119,72.25433526,10,40,,,
"Nu: 0.7, Gamma: 0.0625",6,13,35,119,72.25433526,10,40,,,
"Nu: 0.7, Gamma: 0.1",6,13,32,122,73.98843931,10,40,,,
"Nu: 0.7, Gamma: 0.2",5,14,30,124,74.56647399,10,40,,,
"Nu: 0.7, Gamma: 0.5",4,15,23,131,78.03468208,10,40,,,
"Nu: 0.7, Gamma: 0.7",5,14,23,131,78.61271676,10,40,,,
"Nu: 0.7, Gamma: 0.9",5,14,23,131,78.61271676,10,40,,,
"Nu: 0.7, Gamma: 0.99",5,14,23,131,78.61271676,10,40,,,
"Nu: 0.9, Gamma: 0.0001",4,15,11,143,84.97109827,10,40,,,
"Nu: 0.9, Gamma: 0.0002",4,15,11,143,84.97109827,10,40,,,
"Nu: 0.9, Gamma: 0.0003",4,15,11,143,84.97109827,10,40,,,
