Features: 16,,,,,,,,,,
Target Class: freqmine,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,94.05940594,488
"Nu: 0.05, Gamma: 0.5",15,1,138,48,31.18811881,0,40,,,
"Nu: 0.05, Gamma: 0.7",14,2,132,54,33.66336634,0,40,,,
"Nu: 0.05, Gamma: 0.9",14,2,125,61,37.12871287,0,40,,,
"Nu: 0.05, Gamma: 0.99",14,2,124,62,37.62376238,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",14,2,169,17,15.34653465,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",14,2,169,17,15.34653465,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",7,9,81,105,55.44554455,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",13,3,157,29,20.79207921,0,40,,,
"Nu: 0.0625, Gamma: 0.005",14,2,164,22,17.82178218,0,40,,,
"Nu: 0.0625, Gamma: 0.05",14,2,159,27,20.2970297,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",14,2,157,29,21.28712871,0,40,,,
"Nu: 0.0625, Gamma: 0.1",14,2,154,32,22.77227723,0,40,,,
"Nu: 0.0625, Gamma: 0.2",14,2,141,45,29.20792079,0,40,,,
"Nu: 0.0625, Gamma: 0.5",14,2,142,44,28.71287129,0,40,,,
"Nu: 0.0625, Gamma: 0.7",13,3,129,57,34.65346535,0,40,,,
"Nu: 0.0625, Gamma: 0.9",13,3,122,64,38.11881188,0,40,,,
"Nu: 0.0625, Gamma: 0.99",13,3,121,65,38.61386139,0,40,,,
"Nu: 0.1, Gamma: 0.0001",14,2,169,17,15.34653465,0,40,,,
"Nu: 0.1, Gamma: 0.0002",8,8,77,109,57.92079208,0,40,,,
"Nu: 0.1, Gamma: 0.0003",8,8,83,103,54.95049505,0,40,,,
"Nu: 0.1, Gamma: 0.0004",13,3,155,31,21.78217822,0,40,,,
"Nu: 0.1, Gamma: 0.005",13,3,164,22,17.32673267,0,40,,,
"Nu: 0.1, Gamma: 0.05",13,3,158,28,20.2970297,0,40,,,
"Nu: 0.1, Gamma: 0.0625",13,3,157,29,20.79207921,0,40,,,
"Nu: 0.1, Gamma: 0.1",13,3,154,32,22.27722772,0,40,,,
"Nu: 0.1, Gamma: 0.2",14,2,141,45,29.20792079,0,40,,,
"Nu: 0.1, Gamma: 0.5",13,3,132,54,33.16831683,0,40,,,
"Nu: 0.1, Gamma: 0.7",13,3,126,60,36.13861386,0,40,,,
