Features: 16,,,,,,,,,,
Target Class: vips,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,91.40625,164
"Nu: 0.05, Gamma: 0.99",12,0,78,38,39.0625,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",12,0,112,4,12.5,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",12,0,85,31,33.59375,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",12,0,85,31,33.59375,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",12,0,85,31,33.59375,0,40,,,
"Nu: 0.0625, Gamma: 0.005",12,0,90,26,29.6875,0,40,,,
"Nu: 0.0625, Gamma: 0.05",12,0,88,28,31.25,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",12,0,88,28,31.25,0,40,,,
"Nu: 0.0625, Gamma: 0.1",12,0,88,28,31.25,0,40,,,
"Nu: 0.0625, Gamma: 0.2",12,0,88,28,31.25,0,40,,,
"Nu: 0.0625, Gamma: 0.5",12,0,86,30,32.8125,0,40,,,
"Nu: 0.0625, Gamma: 0.7",12,0,84,32,34.375,0,40,,,
"Nu: 0.0625, Gamma: 0.9",12,0,79,37,38.28125,0,40,,,
"Nu: 0.0625, Gamma: 0.99",12,0,76,40,40.625,0,40,,,
"Nu: 0.1, Gamma: 0.0001",7,5,69,47,42.1875,0,40,,,
"Nu: 0.1, Gamma: 0.0002",12,0,107,9,16.40625,0,40,,,
"Nu: 0.1, Gamma: 0.0003",12,0,107,9,16.40625,0,40,,,
"Nu: 0.1, Gamma: 0.0004",12,0,107,9,16.40625,0,40,,,
"Nu: 0.1, Gamma: 0.005",12,0,85,31,33.59375,0,40,,,
"Nu: 0.1, Gamma: 0.05",12,0,84,32,34.375,0,40,,,
"Nu: 0.1, Gamma: 0.0625",12,0,83,33,35.15625,0,40,,,
"Nu: 0.1, Gamma: 0.1",12,0,82,34,35.9375,0,40,,,
"Nu: 0.1, Gamma: 0.2",12,0,81,35,36.71875,0,40,,,
"Nu: 0.1, Gamma: 0.5",12,0,82,34,35.9375,0,40,,,
"Nu: 0.1, Gamma: 0.7",12,0,80,36,37.5,0,40,,,
"Nu: 0.1, Gamma: 0.9",12,0,72,44,43.75,0,40,,,
"Nu: 0.1, Gamma: 0.99",12,0,69,47,46.09375,0,40,,,
"Nu: 0.2, Gamma: 0.0001",11,1,83,33,34.375,0,40,,,
"Nu: 0.2, Gamma: 0.0002",11,1,83,33,34.375,0,40,,,
"Nu: 0.2, Gamma: 0.0003",11,1,83,33,34.375,0,40,,,
"Nu: 0.2, Gamma: 0.0004",11,1,83,33,34.375,0,40,,,
"Nu: 0.2, Gamma: 0.005",11,1,83,33,34.375,0,40,,,
"Nu: 0.2, Gamma: 0.05",11,1,82,34,35.15625,0,40,,,
"Nu: 0.2, Gamma: 0.0625",11,1,82,34,35.15625,0,40,,,
"Nu: 0.2, Gamma: 0.1",11,1,79,37,37.5,0,40,,,
"Nu: 0.2, Gamma: 0.2",10,2,75,41,39.84375,0,40,,,
"Nu: 0.2, Gamma: 0.5",10,2,72,44,42.1875,0,40,,,
"Nu: 0.2, Gamma: 0.7",11,1,68,48,46.09375,0,40,,,
"Nu: 0.2, Gamma: 0.9",11,1,56,60,55.46875,0,40,,,
"Nu: 0.2, Gamma: 0.99",10,2,53,63,57.03125,0,40,,,
"Nu: 0.5, Gamma: 0.0001",7,5,67,49,43.75,0,40,,,
"Nu: 0.5, Gamma: 0.0002",7,5,67,49,43.75,0,40,,,
"Nu: 0.5, Gamma: 0.0003",7,5,68,48,42.96875,0,40,,,
"Nu: 0.5, Gamma: 0.0004",7,5,68,48,42.96875,0,40,,,
"Nu: 0.5, Gamma: 0.005",7,5,68,48,42.96875,0,40,,,
"Nu: 0.5, Gamma: 0.05",8,4,68,48,43.75,0,40,,,
"Nu: 0.5, Gamma: 0.0625",8,4,68,48,43.75,0,40,,,
"Nu: 0.5, Gamma: 0.1",7,5,68,48,42.96875,0,40,,,
"Nu: 0.5, Gamma: 0.2",8,4,67,49,44.53125,0,40,,,
"Nu: 0.5, Gamma: 0.5",6,6,58,58,50,0,40,,,
"Nu: 0.5, Gamma: 0.7",5,7,50,66,55.46875,0,40,,,
"Nu: 0.5, Gamma: 0.9",6,6,36,80,67.1875,0,40,,,
"Nu: 0.5, Gamma: 0.99",6,6,35,81,67.96875,0,40,,,
"Nu: 0.7, Gamma: 0.0001",5,7,47,69,57.8125,0,40,,,
"Nu: 0.7, Gamma: 0.0002",5,7,47,69,57.8125,0,40,,,
"Nu: 0.7, Gamma: 0.0003",5,7,47,69,57.8125,0,40,,,
"Nu: 0.7, Gamma: 0.0004",5,7,47,69,57.8125,0,40,,,
"Nu: 0.7, Gamma: 0.005",5,7,47,69,57.8125,0,40,,,
"Nu: 0.7, Gamma: 0.05",5,7,44,72,60.15625,0,40,,,
"Nu: 0.7, Gamma: 0.0625",5,7,44,72,60.15625,0,40,,,
"Nu: 0.7, Gamma: 0.1",5,7,44,72,60.15625,0,40,,,
"Nu: 0.7, Gamma: 0.2",4,8,50,66,54.6875,0,40,,,
"Nu: 0.7, Gamma: 0.5",4,8,32,84,68.75,0,40,,,
"Nu: 0.7, Gamma: 0.7",4,8,24,92,75,0,40,,,
"Nu: 0.7, Gamma: 0.9",4,8,20,96,78.125,0,40,,,
"Nu: 0.7, Gamma: 0.99",4,8,18,98,79.6875,0,40,,,
"Nu: 0.9, Gamma: 0.0001",3,9,9,107,85.9375,0,40,,,
"Nu: 0.9, Gamma: 0.0002",3,9,11,105,84.375,0,40,,,
"Nu: 0.9, Gamma: 0.0003",3,9,11,105,84.375,0,40,,,
"Nu: 0.9, Gamma: 0.0004",3,9,11,105,84.375,0,40,,,
"Nu: 0.9, Gamma: 0.005",3,9,11,105,84.375,0,40,,,
"Nu: 0.9, Gamma: 0.05",3,9,16,100,80.46875,0,40,,,
"Nu: 0.9, Gamma: 0.0625",3,9,16,100,80.46875,0,40,,,
"Nu: 0.9, Gamma: 0.1",4,8,25,91,74.21875,0,40,,,
"Nu: 0.9, Gamma: 0.2",2,10,23,93,74.21875,0,40,,,
"Nu: 0.9, Gamma: 0.5",0,12,5,111,86.71875,0,40,,,
"Nu: 0.9, Gamma: 0.7",1,11,3,113,89.0625,0,40,,,
"Nu: 0.9, Gamma: 0.9",1,11,3,113,89.0625,0,40,,,
"Nu: 0.9, Gamma: 0.99",1,11,4,112,88.28125,0,40,,,
"Nu: 0.99, Gamma: 0.0001",2,10,5,111,88.28125,0,40,,,
"Nu: 0.99, Gamma: 0.0002",0,12,0,116,90.625,0,40,,,
"Nu: 0.99, Gamma: 0.0003",0,12,0,116,90.625,0,40,,,
"Nu: 0.99, Gamma: 0.0004",0,12,0,116,90.625,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,12,0,116,90.625,0,40,,,
"Nu: 0.99, Gamma: 0.05",1,11,0,116,91.40625,0,40,,,
"Nu: 0.99, Gamma: 0.0625",1,11,0,116,91.40625,0,40,,,
"Nu: 0.99, Gamma: 0.1",1,11,1,115,90.625,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,12,2,114,89.0625,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,12,0,116,90.625,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,12,0,116,90.625,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,12,0,116,90.625,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,12,0,116,90.625,0,40,,,
,,,,,,,,,,
Target Class: vips_MRUCache,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.0001, Gamma: 0.05",11,1,111,0,8.943089431,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",12,0,111,0,9.756097561,0,40,,,
"Nu: 0.0001, Gamma: 0.1",9,3,91,20,23.57723577,0,40,,,
"Nu: 0.0001, Gamma: 0.2",3,9,59,52,44.71544715,0,40,,,
"Nu: 0.0001, Gamma: 0.5",4,8,69,42,37.39837398,0,40,,,
"Nu: 0.0001, Gamma: 0.7",3,9,49,62,52.84552846,0,40,,,
"Nu: 0.0001, Gamma: 0.9",5,7,46,65,56.91056911,0,40,,,
"Nu: 0.0001, Gamma: 0.99",4,8,22,89,75.6097561,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.0002, Gamma: 0.05",11,1,111,0,8.943089431,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",12,0,111,0,9.756097561,0,40,,,
"Nu: 0.0002, Gamma: 0.1",9,3,91,20,23.57723577,0,40,,,
"Nu: 0.0002, Gamma: 0.2",8,4,87,24,26.01626016,0,40,,,
"Nu: 0.0002, Gamma: 0.5",8,4,58,53,49.59349593,0,40,,,
"Nu: 0.0002, Gamma: 0.7",5,7,71,40,36.58536585,0,40,,,
"Nu: 0.0002, Gamma: 0.9",5,7,51,60,52.84552846,0,40,,,
"Nu: 0.0002, Gamma: 0.99",5,7,42,69,60.16260163,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.0003, Gamma: 0.005",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.0003, Gamma: 0.05",11,1,111,0,8.943089431,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",12,0,111,0,9.756097561,0,40,,,
"Nu: 0.0003, Gamma: 0.1",9,3,91,20,23.57723577,0,40,,,
"Nu: 0.0003, Gamma: 0.2",7,5,86,25,26.01626016,0,40,,,
"Nu: 0.0003, Gamma: 0.5",8,4,69,42,40.6504065,0,40,,,
"Nu: 0.0003, Gamma: 0.7",5,7,70,41,37.39837398,0,40,,,
"Nu: 0.0003, Gamma: 0.9",8,4,65,46,43.90243902,0,40,,,
"Nu: 0.0003, Gamma: 0.99",6,6,70,41,38.21138211,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.0004, Gamma: 0.005",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.0004, Gamma: 0.05",11,1,111,0,8.943089431,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",12,0,111,0,9.756097561,0,40,,,
"Nu: 0.0004, Gamma: 0.1",9,3,91,20,23.57723577,0,40,,,
"Nu: 0.0004, Gamma: 0.2",7,5,82,29,29.26829268,0,40,,,
"Nu: 0.0004, Gamma: 0.5",6,6,83,28,27.64227642,0,40,,,
"Nu: 0.0004, Gamma: 0.7",9,3,62,49,47.15447154,0,40,,,
"Nu: 0.0004, Gamma: 0.9",7,5,71,40,38.21138211,0,40,,,
"Nu: 0.0004, Gamma: 0.99",6,6,70,41,38.21138211,0,40,,,
"Nu: 0.005, Gamma: 0.0001",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.005, Gamma: 0.0002",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.005, Gamma: 0.0003",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.005, Gamma: 0.0004",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.005, Gamma: 0.005",11,1,111,0,8.943089431,0,40,,,
