Features: 16,,,,,,,,,,,,,
Target Class: bodytrack,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,97.12140175,1418,45,4230
"Nu: 0.5, Gamma: 0.05",624,74,0,0,89.3982808,10,40,,,,,,
"Nu: 0.5, Gamma: 0.0625",624,74,0,0,89.3982808,10,40,,,,,,
"Nu: 0.5, Gamma: 0.1",624,69,0,5,90.11461318,10,40,,,,,,
"Nu: 0.5, Gamma: 0.2",624,69,0,5,90.11461318,10,40,,,,,,
"Nu: 0.5, Gamma: 0.5",624,69,0,5,90.11461318,10,40,,,,,,
"Nu: 0.5, Gamma: 0.7",624,69,0,5,90.11461318,10,40,,,,,,
"Nu: 0.5, Gamma: 0.9",624,69,0,5,90.11461318,10,40,,,,,,
"Nu: 0.5, Gamma: 0.99",624,69,0,5,90.11461318,10,40,,,,,,
"Nu: 0.7, Gamma: 1e-05",624,59,0,15,91.54727794,10,40,,,,,,
"Nu: 0.7, Gamma: 2e-05",624,55,0,19,92.12034384,10,40,,,,,,
"Nu: 0.7, Gamma: 3e-05",624,52,0,22,92.55014327,10,40,,,,,,
"Nu: 0.7, Gamma: 4e-05",624,52,0,22,92.55014327,10,40,,,,,,
"Nu: 0.7, Gamma: 5e-05",624,58,0,16,91.69054441,10,40,,,,,,
"Nu: 0.7, Gamma: 6e-05",624,54,0,20,92.26361032,10,40,,,,,,
"Nu: 0.7, Gamma: 7e-05",624,56,0,18,91.97707736,10,40,,,,,,
"Nu: 0.7, Gamma: 8e-05",624,56,0,18,91.97707736,10,40,,,,,,
"Nu: 0.7, Gamma: 9e-05",624,56,0,18,91.97707736,10,40,,,,,,
"Nu: 0.7, Gamma: 0.0001",624,56,0,18,91.97707736,10,40,,,,,,
"Nu: 0.7, Gamma: 0.0002",624,65,0,9,90.68767908,10,40,,,,,,
"Nu: 0.7, Gamma: 0.0003",624,66,0,8,90.54441261,10,40,,,,,,
"Nu: 0.7, Gamma: 0.0004",624,66,0,8,90.54441261,10,40,,,,,,
"Nu: 0.7, Gamma: 0.005",624,73,0,1,89.54154728,10,40,,,,,,
"Nu: 0.7, Gamma: 0.05",624,74,0,0,89.3982808,10,40,,,,,,
"Nu: 0.7, Gamma: 0.0625",624,74,0,0,89.3982808,10,40,,,,,,
"Nu: 0.7, Gamma: 0.1",624,74,0,0,89.3982808,10,40,,,,,,
"Nu: 0.7, Gamma: 0.2",624,69,0,5,90.11461318,10,40,,,,,,
"Nu: 0.7, Gamma: 0.5",624,69,0,5,90.11461318,10,40,,,,,,
"Nu: 0.7, Gamma: 0.7",624,69,0,5,90.11461318,10,40,,,,,,
"Nu: 0.7, Gamma: 0.9",624,69,0,5,90.11461318,10,40,,,,,,
"Nu: 0.7, Gamma: 0.99",624,69,0,5,90.11461318,10,40,,,,,,
"Nu: 0.9, Gamma: 1e-05",624,68,0,6,90.25787966,10,40,,,,,,
"Nu: 0.9, Gamma: 2e-05",624,63,0,11,90.97421203,10,40,,,,,,
"Nu: 0.9, Gamma: 3e-05",624,64,0,10,90.83094556,10,40,,,,,,
"Nu: 0.9, Gamma: 4e-05",624,65,0,9,90.68767908,10,40,,,,,,
"Nu: 0.9, Gamma: 5e-05",624,70,0,4,89.9713467,10,40,,,,,,
"Nu: 0.9, Gamma: 6e-05",624,65,0,9,90.68767908,10,40,,,,,,
"Nu: 0.9, Gamma: 7e-05",624,70,0,4,89.9713467,10,40,,,,,,
"Nu: 0.9, Gamma: 8e-05",624,70,0,4,89.9713467,10,40,,,,,,
"Nu: 0.9, Gamma: 9e-05",624,70,0,4,89.9713467,10,40,,,,,,
"Nu: 0.9, Gamma: 0.0001",624,65,0,9,90.68767908,10,40,,,,,,
"Nu: 0.9, Gamma: 0.0002",624,70,0,4,89.9713467,10,40,,,,,,
"Nu: 0.9, Gamma: 0.0003",624,70,0,4,89.9713467,10,40,,,,,,
"Nu: 0.9, Gamma: 0.0004",624,65,0,9,90.68767908,10,40,,,,,,
"Nu: 0.9, Gamma: 0.005",624,73,0,1,89.54154728,10,40,,,,,,
"Nu: 0.9, Gamma: 0.05",624,74,0,0,89.3982808,10,40,,,,,,
"Nu: 0.9, Gamma: 0.0625",624,74,0,0,89.3982808,10,40,,,,,,
"Nu: 0.9, Gamma: 0.1",624,74,0,0,89.3982808,10,40,,,,,,
"Nu: 0.9, Gamma: 0.2",624,74,0,0,89.3982808,10,40,,,,,,
"Nu: 0.9, Gamma: 0.5",624,69,0,5,90.11461318,10,40,,,,,,
"Nu: 0.9, Gamma: 0.7",624,69,0,5,90.11461318,10,40,,,,,,
"Nu: 0.9, Gamma: 0.9",624,69,0,5,90.11461318,10,40,,,,,,
"Nu: 0.9, Gamma: 0.99",624,69,0,5,90.11461318,10,40,,,,,,
"Nu: 0.99, Gamma: 1e-05",624,74,0,0,89.3982808,10,40,,,,,,
"Nu: 0.99, Gamma: 2e-05",624,74,0,0,89.3982808,10,40,,,,,,
"Nu: 0.99, Gamma: 3e-05",624,74,0,0,89.3982808,10,40,,,,,,
"Nu: 0.99, Gamma: 4e-05",624,74,0,0,89.3982808,10,40,,,,,,
"Nu: 0.99, Gamma: 5e-05",624,74,0,0,89.3982808,10,40,,,,,,
"Nu: 0.99, Gamma: 6e-05",624,74,0,0,89.3982808,10,40,,,,,,
"Nu: 0.99, Gamma: 7e-05",624,74,0,0,89.3982808,10,40,,,,,,
"Nu: 0.99, Gamma: 8e-05",624,74,0,0,89.3982808,10,40,,,,,,
"Nu: 0.99, Gamma: 9e-05",624,74,0,0,89.3982808,10,40,,,,,,
"Nu: 0.99, Gamma: 0.0001",624,74,0,0,89.3982808,10,40,,,,,,
"Nu: 0.99, Gamma: 0.0002",624,74,0,0,89.3982808,10,40,,,,,,
"Nu: 0.99, Gamma: 0.0003",624,74,0,0,89.3982808,10,40,,,,,,
"Nu: 0.99, Gamma: 0.0004",624,74,0,0,89.3982808,10,40,,,,,,
"Nu: 0.99, Gamma: 0.005",624,74,0,0,89.3982808,10,40,,,,,,
"Nu: 0.99, Gamma: 0.05",624,74,0,0,89.3982808,10,40,,,,,,
"Nu: 0.99, Gamma: 0.0625",624,74,0,0,89.3982808,10,40,,,,,,
"Nu: 0.99, Gamma: 0.1",624,74,0,0,89.3982808,10,40,,,,,,
"Nu: 0.99, Gamma: 0.2",624,74,0,0,89.3982808,10,40,,,,,,
"Nu: 0.99, Gamma: 0.5",624,74,0,0,89.3982808,10,40,,,,,,
"Nu: 0.99, Gamma: 0.7",624,74,0,0,89.3982808,10,40,,,,,,
"Nu: 0.99, Gamma: 0.9",624,74,0,0,89.3982808,10,40,,,,,,
"Nu: 0.99, Gamma: 0.99",624,74,0,0,89.3982808,10,40,,,,,,
,,,,,,,,,,,,,
Target Class: bodytrack_haldcache,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,,,,
"Nu: 5e-05, Gamma: 1e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 5e-05, Gamma: 2e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 5e-05, Gamma: 3e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 5e-05, Gamma: 4e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 5e-05, Gamma: 5e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 5e-05, Gamma: 6e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 5e-05, Gamma: 7e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 5e-05, Gamma: 8e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 5e-05, Gamma: 9e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 5e-05, Gamma: 0.0001",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 5e-05, Gamma: 0.0002",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 5e-05, Gamma: 0.0003",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 5e-05, Gamma: 0.0004",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 5e-05, Gamma: 0.005",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 5e-05, Gamma: 0.05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 5e-05, Gamma: 0.0625",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 5e-05, Gamma: 0.1",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 5e-05, Gamma: 0.2",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 5e-05, Gamma: 0.5",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 5e-05, Gamma: 0.7",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 5e-05, Gamma: 0.9",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 5e-05, Gamma: 0.99",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 6e-05, Gamma: 1e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 6e-05, Gamma: 2e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 6e-05, Gamma: 3e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 6e-05, Gamma: 4e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 6e-05, Gamma: 5e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 6e-05, Gamma: 6e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 6e-05, Gamma: 7e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 6e-05, Gamma: 8e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 6e-05, Gamma: 9e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 6e-05, Gamma: 0.0001",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 6e-05, Gamma: 0.0002",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 6e-05, Gamma: 0.0003",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 6e-05, Gamma: 0.0004",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 6e-05, Gamma: 0.005",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 6e-05, Gamma: 0.05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 6e-05, Gamma: 0.0625",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 6e-05, Gamma: 0.1",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 6e-05, Gamma: 0.2",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 6e-05, Gamma: 0.5",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 6e-05, Gamma: 0.7",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 6e-05, Gamma: 0.9",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 6e-05, Gamma: 0.99",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 7e-05, Gamma: 1e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 7e-05, Gamma: 2e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 7e-05, Gamma: 3e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 7e-05, Gamma: 4e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 7e-05, Gamma: 5e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 7e-05, Gamma: 6e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 7e-05, Gamma: 7e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 7e-05, Gamma: 8e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 7e-05, Gamma: 9e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 7e-05, Gamma: 0.0001",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 7e-05, Gamma: 0.0002",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 7e-05, Gamma: 0.0003",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 7e-05, Gamma: 0.0004",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 7e-05, Gamma: 0.005",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 7e-05, Gamma: 0.05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 7e-05, Gamma: 0.0625",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 7e-05, Gamma: 0.1",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 7e-05, Gamma: 0.2",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 7e-05, Gamma: 0.5",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 7e-05, Gamma: 0.7",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 7e-05, Gamma: 0.9",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 7e-05, Gamma: 0.99",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 8e-05, Gamma: 1e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 8e-05, Gamma: 2e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 8e-05, Gamma: 3e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 8e-05, Gamma: 4e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 8e-05, Gamma: 5e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 8e-05, Gamma: 6e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 8e-05, Gamma: 7e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 8e-05, Gamma: 8e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 8e-05, Gamma: 9e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 8e-05, Gamma: 0.0001",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 8e-05, Gamma: 0.0002",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 8e-05, Gamma: 0.0003",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 8e-05, Gamma: 0.0004",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 8e-05, Gamma: 0.005",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 8e-05, Gamma: 0.05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 8e-05, Gamma: 0.0625",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 8e-05, Gamma: 0.1",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 8e-05, Gamma: 0.2",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 8e-05, Gamma: 0.5",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 8e-05, Gamma: 0.7",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 8e-05, Gamma: 0.9",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 8e-05, Gamma: 0.99",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 9e-05, Gamma: 1e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 9e-05, Gamma: 2e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 9e-05, Gamma: 3e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 9e-05, Gamma: 4e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 9e-05, Gamma: 5e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 9e-05, Gamma: 6e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 9e-05, Gamma: 7e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 9e-05, Gamma: 8e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 9e-05, Gamma: 9e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 9e-05, Gamma: 0.0001",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 9e-05, Gamma: 0.0002",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 9e-05, Gamma: 0.0003",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 9e-05, Gamma: 0.0004",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 9e-05, Gamma: 0.005",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 9e-05, Gamma: 0.05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 9e-05, Gamma: 0.0625",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 9e-05, Gamma: 0.1",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 9e-05, Gamma: 0.2",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 9e-05, Gamma: 0.5",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 9e-05, Gamma: 0.7",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 9e-05, Gamma: 0.9",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 9e-05, Gamma: 0.99",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0001, Gamma: 1e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0001, Gamma: 2e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0001, Gamma: 3e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0001, Gamma: 4e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0001, Gamma: 5e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0001, Gamma: 6e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0001, Gamma: 7e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0001, Gamma: 8e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0001, Gamma: 9e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0001, Gamma: 0.0001",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0001, Gamma: 0.0002",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0001, Gamma: 0.0003",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0001, Gamma: 0.0004",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0001, Gamma: 0.005",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0001, Gamma: 0.05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0001, Gamma: 0.0625",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0001, Gamma: 0.1",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0001, Gamma: 0.2",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0001, Gamma: 0.5",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0001, Gamma: 0.7",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0001, Gamma: 0.9",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0001, Gamma: 0.99",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0002, Gamma: 1e-05",736,38,0,25,95.24405507,10,40,,,,,,
"Nu: 0.0002, Gamma: 2e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0002, Gamma: 3e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0002, Gamma: 4e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0002, Gamma: 5e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0002, Gamma: 6e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0002, Gamma: 7e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0002, Gamma: 8e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0002, Gamma: 9e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0002, Gamma: 0.0001",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0002, Gamma: 0.0002",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0002, Gamma: 0.0003",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0002, Gamma: 0.0004",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0002, Gamma: 0.005",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0002, Gamma: 0.05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0002, Gamma: 0.0625",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0002, Gamma: 0.1",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0002, Gamma: 0.2",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0002, Gamma: 0.5",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0002, Gamma: 0.7",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0002, Gamma: 0.9",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0002, Gamma: 0.99",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0003, Gamma: 1e-05",736,54,0,9,93.24155194,10,40,,,,,,
"Nu: 0.0003, Gamma: 2e-05",736,55,0,8,93.11639549,10,40,,,,,,
"Nu: 0.0003, Gamma: 3e-05",736,51,0,12,93.61702128,10,40,,,,,,
"Nu: 0.0003, Gamma: 4e-05",736,55,0,8,93.11639549,10,40,,,,,,
"Nu: 0.0003, Gamma: 5e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0003, Gamma: 6e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0003, Gamma: 7e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0003, Gamma: 8e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0003, Gamma: 9e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0003, Gamma: 0.0001",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0003, Gamma: 0.0002",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0003, Gamma: 0.0003",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0003, Gamma: 0.0004",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0003, Gamma: 0.005",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0003, Gamma: 0.05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0003, Gamma: 0.0625",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0003, Gamma: 0.1",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0003, Gamma: 0.2",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0003, Gamma: 0.5",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0003, Gamma: 0.7",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0003, Gamma: 0.9",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0003, Gamma: 0.99",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0004, Gamma: 1e-05",736,51,0,12,93.61702128,10,40,,,,,,
"Nu: 0.0004, Gamma: 2e-05",736,33,0,30,95.8698373,10,40,,,,,,
"Nu: 0.0004, Gamma: 3e-05",736,52,0,11,93.49186483,10,40,,,,,,
"Nu: 0.0004, Gamma: 4e-05",736,55,0,8,93.11639549,10,40,,,,,,
"Nu: 0.0004, Gamma: 5e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0004, Gamma: 6e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0004, Gamma: 7e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0004, Gamma: 8e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0004, Gamma: 9e-05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0004, Gamma: 0.0001",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0004, Gamma: 0.0002",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0004, Gamma: 0.0003",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0004, Gamma: 0.0004",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0004, Gamma: 0.005",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0004, Gamma: 0.05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0004, Gamma: 0.0625",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0004, Gamma: 0.1",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0004, Gamma: 0.2",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0004, Gamma: 0.5",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0004, Gamma: 0.7",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0004, Gamma: 0.9",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.0004, Gamma: 0.99",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.005, Gamma: 1e-05",736,24,0,39,96.99624531,10,40,,,,,,
"Nu: 0.005, Gamma: 2e-05",736,31,0,32,96.12015019,10,40,,,,,,
"Nu: 0.005, Gamma: 3e-05",736,30,0,33,96.24530663,10,40,,,,,,
"Nu: 0.005, Gamma: 4e-05",736,32,0,31,95.99499374,10,40,,,,,,
"Nu: 0.005, Gamma: 5e-05",736,34,0,29,95.74468085,10,40,,,,,,
"Nu: 0.005, Gamma: 6e-05",736,34,0,29,95.74468085,10,40,,,,,,
"Nu: 0.005, Gamma: 7e-05",736,35,0,28,95.61952441,10,40,,,,,,
"Nu: 0.005, Gamma: 8e-05",736,40,0,23,94.99374218,10,40,,,,,,
"Nu: 0.005, Gamma: 9e-05",736,42,0,21,94.74342929,10,40,,,,,,
"Nu: 0.005, Gamma: 0.0001",736,41,0,22,94.86858573,10,40,,,,,,
"Nu: 0.005, Gamma: 0.0002",736,41,0,22,94.86858573,10,40,,,,,,
"Nu: 0.005, Gamma: 0.0003",736,46,0,17,94.2428035,10,40,,,,,,
"Nu: 0.005, Gamma: 0.0004",736,45,0,18,94.36795995,10,40,,,,,,
"Nu: 0.005, Gamma: 0.005",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.005, Gamma: 0.05",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.005, Gamma: 0.0625",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.005, Gamma: 0.1",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.005, Gamma: 0.2",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.005, Gamma: 0.5",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.005, Gamma: 0.7",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.005, Gamma: 0.9",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.005, Gamma: 0.99",736,63,0,0,92.11514393,10,40,,,,,,
"Nu: 0.05, Gamma: 1e-05",736,23,0,40,97.12140175,10,40,,,,,,
"Nu: 0.05, Gamma: 2e-05",736,29,0,34,96.37046308,10,40,,,,,,
"Nu: 0.05, Gamma: 3e-05",736,30,0,33,96.24530663,10,40,,,,,,
"Nu: 0.05, Gamma: 4e-05",736,32,0,31,95.99499374,10,40,,,,,,
"Nu: 0.05, Gamma: 5e-05",736,33,0,30,95.8698373,10,40,,,,,,
"Nu: 0.05, Gamma: 6e-05",736,33,0,30,95.8698373,10,40,,,,,,
"Nu: 0.05, Gamma: 7e-05",736,35,0,28,95.61952441,10,40,,,,,,
"Nu: 0.05, Gamma: 8e-05",736,37,0,26,95.36921151,10,40,,,,,,
"Nu: 0.05, Gamma: 9e-05",736,40,0,23,94.99374218,10,40,,,,,,
"Nu: 0.05, Gamma: 0.0001",736,40,0,23,94.99374218,10,40,,,,,,
"Nu: 0.05, Gamma: 0.0002",736,40,0,23,94.99374218,10,40,,,,,,
