Features: 16,,,,,,,,
Target Class: swaptions,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.05, Gamma: 0.5",3,2,14,14,51.515151515151516,0,40,
"Nu: 0.05, Gamma: 0.7",2,3,14,14,48.484848484848484,0,40,
"Nu: 0.05, Gamma: 0.9",2,3,13,15,51.515151515151516,0,40,
"Nu: 0.05, Gamma: 0.99",2,3,13,15,51.515151515151516,0,40,
"Nu: 0.0625, Gamma: 0.0001",1,4,21,7,24.242424242424242,0,40,
"Nu: 0.0625, Gamma: 0.0002",1,4,21,7,24.242424242424242,0,40,
"Nu: 0.0625, Gamma: 0.0003",1,4,21,7,24.242424242424242,0,40,
"Nu: 0.0625, Gamma: 0.0004",1,4,21,7,24.242424242424242,0,40,
"Nu: 0.0625, Gamma: 0.005",5,0,26,2,21.21212121212121,0,40,
"Nu: 0.0625, Gamma: 0.05",4,1,24,4,24.242424242424242,0,40,
"Nu: 0.0625, Gamma: 0.0625",4,1,23,5,27.27272727272727,0,40,
"Nu: 0.0625, Gamma: 0.1",4,1,23,5,27.27272727272727,0,40,
"Nu: 0.0625, Gamma: 0.2",3,2,21,7,30.303030303030305,0,40,
"Nu: 0.0625, Gamma: 0.5",3,2,14,14,51.515151515151516,0,40,
"Nu: 0.0625, Gamma: 0.7",2,3,14,14,48.484848484848484,0,40,
"Nu: 0.0625, Gamma: 0.9",2,3,13,15,51.515151515151516,0,40,
"Nu: 0.0625, Gamma: 0.99",2,3,13,15,51.515151515151516,0,40,
"Nu: 0.1, Gamma: 0.0001",3,2,21,7,30.303030303030305,0,40,
"Nu: 0.1, Gamma: 0.0002",3,2,21,7,30.303030303030305,0,40,
"Nu: 0.1, Gamma: 0.0003",3,2,21,7,30.303030303030305,0,40,
"Nu: 0.1, Gamma: 0.0004",3,2,22,6,27.27272727272727,0,40,
"Nu: 0.1, Gamma: 0.005",5,0,26,2,21.21212121212121,0,40,
"Nu: 0.1, Gamma: 0.05",4,1,23,5,27.27272727272727,0,40,
"Nu: 0.1, Gamma: 0.0625",4,1,23,5,27.27272727272727,0,40,
"Nu: 0.1, Gamma: 0.1",4,1,23,5,27.27272727272727,0,40,
"Nu: 0.1, Gamma: 0.2",3,2,21,7,30.303030303030305,0,40,
"Nu: 0.1, Gamma: 0.5",3,2,14,14,51.515151515151516,0,40,
"Nu: 0.1, Gamma: 0.7",2,3,14,14,48.484848484848484,0,40,
"Nu: 0.1, Gamma: 0.9",2,3,13,15,51.515151515151516,0,40,
"Nu: 0.1, Gamma: 0.99",2,3,13,15,51.515151515151516,0,40,
"Nu: 0.2, Gamma: 0.0001",3,2,21,7,30.303030303030305,0,40,
"Nu: 0.2, Gamma: 0.0002",3,2,21,7,30.303030303030305,0,40,
"Nu: 0.2, Gamma: 0.0003",3,2,23,5,24.242424242424242,0,40,
"Nu: 0.2, Gamma: 0.0004",3,2,22,6,27.27272727272727,0,40,
"Nu: 0.2, Gamma: 0.005",3,2,22,6,27.27272727272727,0,40,
"Nu: 0.2, Gamma: 0.05",3,2,21,7,30.303030303030305,0,40,
"Nu: 0.2, Gamma: 0.0625",3,2,21,7,30.303030303030305,0,40,
"Nu: 0.2, Gamma: 0.1",3,2,21,7,30.303030303030305,0,40,
"Nu: 0.2, Gamma: 0.2",3,2,19,9,36.36363636363637,0,40,
"Nu: 0.2, Gamma: 0.5",3,2,14,14,51.515151515151516,0,40,
"Nu: 0.2, Gamma: 0.7",2,3,14,14,48.484848484848484,0,40,
"Nu: 0.2, Gamma: 0.9",2,3,13,15,51.515151515151516,0,40,
"Nu: 0.2, Gamma: 0.99",2,3,13,15,51.515151515151516,0,40,
"Nu: 0.5, Gamma: 0.0001",1,4,21,7,24.242424242424242,0,40,
"Nu: 0.5, Gamma: 0.0002",3,2,22,6,27.27272727272727,0,40,
"Nu: 0.5, Gamma: 0.0003",2,3,22,6,24.242424242424242,0,40,
"Nu: 0.5, Gamma: 0.0004",2,3,22,6,24.242424242424242,0,40,
"Nu: 0.5, Gamma: 0.005",2,3,21,7,27.27272727272727,0,40,
"Nu: 0.5, Gamma: 0.05",3,2,21,7,30.303030303030305,0,40,
"Nu: 0.5, Gamma: 0.0625",3,2,21,7,30.303030303030305,0,40,
