Features: 16,,,,,,,,,,
Target Class: streamcluster,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,100,117
"Nu: 0.05, Gamma: 0.5",12,0,58,150,73.63636364,0,40,,,
"Nu: 0.05, Gamma: 0.7",12,0,59,149,73.18181818,0,40,,,
"Nu: 0.05, Gamma: 0.9",12,0,51,157,76.81818182,0,40,,,
"Nu: 0.05, Gamma: 0.99",12,0,48,160,78.18181818,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",12,0,109,99,50.45454545,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",12,0,109,99,50.45454545,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",12,0,109,99,50.45454545,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",12,0,114,94,48.18181818,0,40,,,
"Nu: 0.0625, Gamma: 0.005",12,0,114,94,48.18181818,0,40,,,
"Nu: 0.0625, Gamma: 0.05",12,0,112,96,49.09090909,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",12,0,112,96,49.09090909,0,40,,,
"Nu: 0.0625, Gamma: 0.1",12,0,111,97,49.54545455,0,40,,,
"Nu: 0.0625, Gamma: 0.2",12,0,101,107,54.09090909,0,40,,,
"Nu: 0.0625, Gamma: 0.5",12,0,57,151,74.09090909,0,40,,,
"Nu: 0.0625, Gamma: 0.7",12,0,55,153,75,0,40,,,
"Nu: 0.0625, Gamma: 0.9",12,0,49,159,77.72727273,0,40,,,
"Nu: 0.0625, Gamma: 0.99",12,0,47,161,78.63636364,0,40,,,
"Nu: 0.1, Gamma: 0.0001",12,0,111,97,49.54545455,0,40,,,
"Nu: 0.1, Gamma: 0.0002",12,0,111,97,49.54545455,0,40,,,
"Nu: 0.1, Gamma: 0.0003",12,0,111,97,49.54545455,0,40,,,
"Nu: 0.1, Gamma: 0.0004",12,0,111,97,49.54545455,0,40,,,
"Nu: 0.1, Gamma: 0.005",12,0,111,97,49.54545455,0,40,,,
"Nu: 0.1, Gamma: 0.05",12,0,111,97,49.54545455,0,40,,,
"Nu: 0.1, Gamma: 0.0625",12,0,111,97,49.54545455,0,40,,,
"Nu: 0.1, Gamma: 0.1",12,0,111,97,49.54545455,0,40,,,
"Nu: 0.1, Gamma: 0.2",12,0,103,105,53.18181818,0,40,,,
