Features: 16,,,,,,,,,,
Target Class: streamcluster,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,100,117
"Nu: 0.9, Gamma: 0.5",5,16,0,117,88.4057971,0,40,,,
"Nu: 0.9, Gamma: 0.7",5,16,0,117,88.4057971,0,40,,,
"Nu: 0.9, Gamma: 0.9",5,16,0,117,88.4057971,0,40,,,
"Nu: 0.9, Gamma: 0.99",5,16,0,117,88.4057971,0,40,,,
"Nu: 0.99, Gamma: 0.0001",0,21,0,117,84.7826087,0,40,,,
"Nu: 0.99, Gamma: 0.0002",0,21,0,117,84.7826087,0,40,,,
"Nu: 0.99, Gamma: 0.0003",2,19,0,117,86.23188406,0,40,,,
"Nu: 0.99, Gamma: 0.0004",2,19,0,117,86.23188406,0,40,,,
"Nu: 0.99, Gamma: 0.005",1,20,0,117,85.50724638,0,40,,,
"Nu: 0.99, Gamma: 0.05",1,20,0,117,85.50724638,0,40,,,
"Nu: 0.99, Gamma: 0.0625",1,20,0,117,85.50724638,0,40,,,
"Nu: 0.99, Gamma: 0.1",1,20,0,117,85.50724638,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,21,0,117,84.7826087,0,40,,,
"Nu: 0.99, Gamma: 0.5",1,20,0,117,85.50724638,0,40,,,
"Nu: 0.99, Gamma: 0.7",2,19,0,117,86.23188406,0,40,,,
"Nu: 0.99, Gamma: 0.9",1,20,0,117,85.50724638,0,40,,,
"Nu: 0.99, Gamma: 0.99",1,20,0,117,85.50724638,0,40,,,
,,,,,,,,,,
Features: 16,,,,,,,,,,
Target Class: streamcluster,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,12,0,208,94.54545455,10,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,12,0,208,94.54545455,10,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,12,0,208,94.54545455,10,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,12,0,208,94.54545455,10,40,,,
"Nu: 0.0001, Gamma: 0.005",12,0,208,0,5.454545455,10,40,,,
"Nu: 0.0001, Gamma: 0.05",12,0,208,0,5.454545455,10,40,,,
"Nu: 0.0001, Gamma: 0.0625",12,0,208,0,5.454545455,10,40,,,
"Nu: 0.0001, Gamma: 0.1",12,0,208,0,5.454545455,10,40,,,
"Nu: 0.0001, Gamma: 0.2",12,0,205,3,6.818181818,10,40,,,
"Nu: 0.0001, Gamma: 0.5",12,0,193,15,12.27272727,10,40,,,
"Nu: 0.0001, Gamma: 0.7",12,0,186,22,15.45454545,10,40,,,
"Nu: 0.0001, Gamma: 0.9",12,0,161,47,26.81818182,10,40,,,
"Nu: 0.0001, Gamma: 0.99",12,0,146,62,33.63636364,10,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,12,0,208,94.54545455,10,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,12,0,208,94.54545455,10,40,,,
"Nu: 0.0002, Gamma: 0.0003",12,0,208,0,5.454545455,10,40,,,
"Nu: 0.0002, Gamma: 0.0004",12,0,208,0,5.454545455,10,40,,,
"Nu: 0.0002, Gamma: 0.005",12,0,208,0,5.454545455,10,40,,,
"Nu: 0.0002, Gamma: 0.05",12,0,208,0,5.454545455,10,40,,,
"Nu: 0.0002, Gamma: 0.0625",12,0,208,0,5.454545455,10,40,,,
"Nu: 0.0002, Gamma: 0.1",12,0,208,0,5.454545455,10,40,,,
"Nu: 0.0002, Gamma: 0.2",12,0,205,3,6.818181818,10,40,,,
"Nu: 0.0002, Gamma: 0.5",12,0,193,15,12.27272727,10,40,,,
"Nu: 0.0002, Gamma: 0.7",12,0,186,22,15.45454545,10,40,,,
"Nu: 0.0002, Gamma: 0.9",12,0,160,48,27.27272727,10,40,,,
"Nu: 0.0002, Gamma: 0.99",12,0,146,62,33.63636364,10,40,,,
"Nu: 0.0003, Gamma: 0.0001",7,5,0,208,97.72727273,10,40,,,
"Nu: 0.0003, Gamma: 0.0002",12,0,208,0,5.454545455,10,40,,,
"Nu: 0.0003, Gamma: 0.0003",12,0,208,0,5.454545455,10,40,,,
"Nu: 0.0003, Gamma: 0.0004",12,0,208,0,5.454545455,10,40,,,
"Nu: 0.0003, Gamma: 0.005",12,0,208,0,5.454545455,10,40,,,
"Nu: 0.0003, Gamma: 0.05",12,0,208,0,5.454545455,10,40,,,
"Nu: 0.0003, Gamma: 0.0625",12,0,208,0,5.454545455,10,40,,,
"Nu: 0.0003, Gamma: 0.1",12,0,208,0,5.454545455,10,40,,,
"Nu: 0.0003, Gamma: 0.2",12,0,205,3,6.818181818,10,40,,,
"Nu: 0.0003, Gamma: 0.5",12,0,193,15,12.27272727,10,40,,,
"Nu: 0.0003, Gamma: 0.7",12,0,186,22,15.45454545,10,40,,,
"Nu: 0.0003, Gamma: 0.9",12,0,161,47,26.81818182,10,40,,,
"Nu: 0.0003, Gamma: 0.99",12,0,146,62,33.63636364,10,40,,,
"Nu: 0.0004, Gamma: 0.0001",4,8,0,208,96.36363636,10,40,,,
"Nu: 0.0004, Gamma: 0.0002",12,0,208,0,5.454545455,10,40,,,
"Nu: 0.0004, Gamma: 0.0003",12,0,208,0,5.454545455,10,40,,,
"Nu: 0.0004, Gamma: 0.0004",12,0,208,0,5.454545455,10,40,,,
"Nu: 0.0004, Gamma: 0.005",12,0,208,0,5.454545455,10,40,,,
"Nu: 0.0004, Gamma: 0.05",12,0,208,0,5.454545455,10,40,,,
"Nu: 0.0004, Gamma: 0.0625",12,0,208,0,5.454545455,10,40,,,
"Nu: 0.0004, Gamma: 0.1",12,0,208,0,5.454545455,10,40,,,
"Nu: 0.0004, Gamma: 0.2",12,0,205,3,6.818181818,10,40,,,
"Nu: 0.0004, Gamma: 0.5",12,0,193,15,12.27272727,10,40,,,
"Nu: 0.0004, Gamma: 0.7",12,0,186,22,15.45454545,10,40,,,
"Nu: 0.0004, Gamma: 0.9",12,0,161,47,26.81818182,10,40,,,
"Nu: 0.0004, Gamma: 0.99",12,0,146,62,33.63636364,10,40,,,
"Nu: 0.005, Gamma: 0.0001",12,0,208,0,5.454545455,10,40,,,
"Nu: 0.005, Gamma: 0.0002",12,0,208,0,5.454545455,10,40,,,
"Nu: 0.005, Gamma: 0.0003",12,0,208,0,5.454545455,10,40,,,
"Nu: 0.005, Gamma: 0.0004",12,0,208,0,5.454545455,10,40,,,
"Nu: 0.005, Gamma: 0.005",12,0,208,0,5.454545455,10,40,,,
"Nu: 0.005, Gamma: 0.05",12,0,208,0,5.454545455,10,40,,,
"Nu: 0.005, Gamma: 0.0625",12,0,208,0,5.454545455,10,40,,,
"Nu: 0.005, Gamma: 0.1",12,0,208,0,5.454545455,10,40,,,
"Nu: 0.005, Gamma: 0.2",12,0,205,3,6.818181818,10,40,,,
"Nu: 0.005, Gamma: 0.5",12,0,191,17,13.18181818,10,40,,,
"Nu: 0.005, Gamma: 0.7",12,0,171,37,22.27272727,10,40,,,
"Nu: 0.005, Gamma: 0.9",12,0,152,56,30.90909091,10,40,,,
"Nu: 0.005, Gamma: 0.99",12,0,142,66,35.45454545,10,40,,,
"Nu: 0.05, Gamma: 0.0001",12,0,120,88,45.45454545,10,40,,,
"Nu: 0.05, Gamma: 0.0002",12,0,120,88,45.45454545,10,40,,,
"Nu: 0.05, Gamma: 0.0003",12,0,120,88,45.45454545,10,40,,,
"Nu: 0.05, Gamma: 0.0004",12,0,120,88,45.45454545,10,40,,,
"Nu: 0.05, Gamma: 0.005",12,0,120,88,45.45454545,10,40,,,
"Nu: 0.05, Gamma: 0.05",12,0,119,89,45.90909091,10,40,,,
"Nu: 0.05, Gamma: 0.0625",12,0,119,89,45.90909091,10,40,,,
"Nu: 0.05, Gamma: 0.1",12,0,118,90,46.36363636,10,40,,,
"Nu: 0.05, Gamma: 0.2",12,0,111,97,49.54545455,10,40,,,
"Nu: 0.05, Gamma: 0.5",12,0,93,115,57.72727273,10,40,,,
"Nu: 0.05, Gamma: 0.7",12,0,85,123,61.36363636,10,40,,,
"Nu: 0.05, Gamma: 0.9",12,0,64,144,70.90909091,10,40,,,
"Nu: 0.05, Gamma: 0.99",12,0,61,147,72.27272727,10,40,,,
"Nu: 0.0625, Gamma: 0.0001",12,0,116,92,47.27272727,10,40,,,
"Nu: 0.0625, Gamma: 0.0002",12,0,116,92,47.27272727,10,40,,,
"Nu: 0.0625, Gamma: 0.0003",12,0,116,92,47.27272727,10,40,,,
"Nu: 0.0625, Gamma: 0.0004",12,0,116,92,47.27272727,10,40,,,
"Nu: 0.0625, Gamma: 0.005",12,0,116,92,47.27272727,10,40,,,
"Nu: 0.0625, Gamma: 0.05",12,0,114,94,48.18181818,10,40,,,
"Nu: 0.0625, Gamma: 0.0625",12,0,114,94,48.18181818,10,40,,,
"Nu: 0.0625, Gamma: 0.1",12,0,114,94,48.18181818,10,40,,,
"Nu: 0.0625, Gamma: 0.2",12,0,108,100,50.90909091,10,40,,,
"Nu: 0.0625, Gamma: 0.5",12,0,81,127,63.18181818,10,40,,,
"Nu: 0.0625, Gamma: 0.7",12,0,69,139,68.63636364,10,40,,,
"Nu: 0.0625, Gamma: 0.9",12,0,59,149,73.18181818,10,40,,,
"Nu: 0.0625, Gamma: 0.99",12,0,57,151,74.09090909,10,40,,,
"Nu: 0.1, Gamma: 0.0001",11,1,80,128,63.18181818,10,40,,,
"Nu: 0.1, Gamma: 0.0002",11,1,80,128,63.18181818,10,40,,,
"Nu: 0.1, Gamma: 0.0003",11,1,80,128,63.18181818,10,40,,,
"Nu: 0.1, Gamma: 0.0004",11,1,80,128,63.18181818,10,40,,,
"Nu: 0.1, Gamma: 0.005",11,1,80,128,63.18181818,10,40,,,
"Nu: 0.1, Gamma: 0.05",11,1,78,130,64.09090909,10,40,,,
"Nu: 0.1, Gamma: 0.0625",11,1,77,131,64.54545455,10,40,,,
"Nu: 0.1, Gamma: 0.1",11,1,77,131,64.54545455,10,40,,,
"Nu: 0.1, Gamma: 0.2",11,1,66,142,69.54545455,10,40,,,
"Nu: 0.1, Gamma: 0.5",12,0,64,144,70.90909091,10,40,,,
"Nu: 0.1, Gamma: 0.7",12,0,50,158,77.27272727,10,40,,,
"Nu: 0.1, Gamma: 0.9",12,0,50,158,77.27272727,10,40,,,
"Nu: 0.1, Gamma: 0.99",12,0,51,157,76.81818182,10,40,,,
"Nu: 0.2, Gamma: 0.0001",11,1,53,155,75.45454545,10,40,,,
"Nu: 0.2, Gamma: 0.0002",11,1,53,155,75.45454545,10,40,,,
"Nu: 0.2, Gamma: 0.0003",11,1,53,155,75.45454545,10,40,,,
"Nu: 0.2, Gamma: 0.0004",11,1,53,155,75.45454545,10,40,,,
"Nu: 0.2, Gamma: 0.005",11,1,53,155,75.45454545,10,40,,,
"Nu: 0.2, Gamma: 0.05",11,1,50,158,76.81818182,10,40,,,
"Nu: 0.2, Gamma: 0.0625",11,1,49,159,77.27272727,10,40,,,
"Nu: 0.2, Gamma: 0.1",11,1,48,160,77.72727273,10,40,,,
"Nu: 0.2, Gamma: 0.2",11,1,41,167,80.90909091,10,40,,,
"Nu: 0.2, Gamma: 0.5",11,1,7,201,96.36363636,10,40,,,
"Nu: 0.2, Gamma: 0.7",11,1,0,208,99.54545455,10,40,,,
"Nu: 0.2, Gamma: 0.9",11,1,4,204,97.72727273,10,40,,,
"Nu: 0.2, Gamma: 0.99",11,1,35,173,83.63636364,10,40,,,
"Nu: 0.5, Gamma: 0.0001",8,4,1,207,97.72727273,10,40,,,
"Nu: 0.5, Gamma: 0.0002",8,4,1,207,97.72727273,10,40,,,
"Nu: 0.5, Gamma: 0.0003",8,4,1,207,97.72727273,10,40,,,
"Nu: 0.5, Gamma: 0.0004",8,4,1,207,97.72727273,10,40,,,
"Nu: 0.5, Gamma: 0.005",8,4,1,207,97.72727273,10,40,,,
"Nu: 0.5, Gamma: 0.05",8,4,0,208,98.18181818,10,40,,,
"Nu: 0.5, Gamma: 0.0625",8,4,0,208,98.18181818,10,40,,,
"Nu: 0.5, Gamma: 0.1",8,4,0,208,98.18181818,10,40,,,
"Nu: 0.5, Gamma: 0.2",8,4,0,208,98.18181818,10,40,,,
"Nu: 0.5, Gamma: 0.5",9,3,0,208,98.63636364,10,40,,,
"Nu: 0.5, Gamma: 0.7",10,2,0,208,99.09090909,10,40,,,
"Nu: 0.5, Gamma: 0.9",10,2,0,208,99.09090909,10,40,,,
"Nu: 0.5, Gamma: 0.99",11,1,0,208,99.54545455,10,40,,,
"Nu: 0.7, Gamma: 0.0001",6,6,0,208,97.27272727,10,40,,,
"Nu: 0.7, Gamma: 0.0002",6,6,0,208,97.27272727,10,40,,,
"Nu: 0.7, Gamma: 0.0003",6,6,0,208,97.27272727,10,40,,,
"Nu: 0.7, Gamma: 0.0004",6,6,0,208,97.27272727,10,40,,,
"Nu: 0.7, Gamma: 0.005",6,6,0,208,97.27272727,10,40,,,
"Nu: 0.7, Gamma: 0.05",6,6,0,208,97.27272727,10,40,,,
"Nu: 0.7, Gamma: 0.0625",6,6,0,208,97.27272727,10,40,,,
"Nu: 0.7, Gamma: 0.1",6,6,0,208,97.27272727,10,40,,,
"Nu: 0.7, Gamma: 0.2",6,6,0,208,97.27272727,10,40,,,
"Nu: 0.7, Gamma: 0.5",7,5,0,208,97.72727273,10,40,,,
"Nu: 0.7, Gamma: 0.7",7,5,0,208,97.72727273,10,40,,,
"Nu: 0.7, Gamma: 0.9",7,5,0,208,97.72727273,10,40,,,
"Nu: 0.7, Gamma: 0.99",7,5,0,208,97.72727273,10,40,,,
"Nu: 0.9, Gamma: 0.0001",5,7,0,208,96.81818182,10,40,,,
"Nu: 0.9, Gamma: 0.0002",5,7,0,208,96.81818182,10,40,,,
"Nu: 0.9, Gamma: 0.0003",5,7,0,208,96.81818182,10,40,,,
"Nu: 0.9, Gamma: 0.0004",5,7,0,208,96.81818182,10,40,,,
"Nu: 0.9, Gamma: 0.005",5,7,0,208,96.81818182,10,40,,,
"Nu: 0.9, Gamma: 0.05",5,7,0,208,96.81818182,10,40,,,
"Nu: 0.9, Gamma: 0.0625",5,7,0,208,96.81818182,10,40,,,
"Nu: 0.9, Gamma: 0.1",5,7,0,208,96.81818182,10,40,,,
"Nu: 0.9, Gamma: 0.2",5,7,0,208,96.81818182,10,40,,,
"Nu: 0.9, Gamma: 0.5",5,7,0,208,96.81818182,10,40,,,
"Nu: 0.9, Gamma: 0.7",5,7,0,208,96.81818182,10,40,,,
"Nu: 0.9, Gamma: 0.9",5,7,0,208,96.81818182,10,40,,,
"Nu: 0.9, Gamma: 0.99",5,7,0,208,96.81818182,10,40,,,
"Nu: 0.99, Gamma: 0.0001",2,10,0,208,95.45454545,10,40,,,
"Nu: 0.99, Gamma: 0.0002",2,10,0,208,95.45454545,10,40,,,
"Nu: 0.99, Gamma: 0.0003",2,10,0,208,95.45454545,10,40,,,
"Nu: 0.99, Gamma: 0.0004",2,10,0,208,95.45454545,10,40,,,
"Nu: 0.99, Gamma: 0.005",2,10,0,208,95.45454545,10,40,,,
"Nu: 0.99, Gamma: 0.05",2,10,0,208,95.45454545,10,40,,,
"Nu: 0.99, Gamma: 0.0625",2,10,0,208,95.45454545,10,40,,,
"Nu: 0.99, Gamma: 0.1",2,10,0,208,95.45454545,10,40,,,
"Nu: 0.99, Gamma: 0.2",2,10,0,208,95.45454545,10,40,,,
"Nu: 0.99, Gamma: 0.5",2,10,0,208,95.45454545,10,40,,,
"Nu: 0.99, Gamma: 0.7",2,10,0,208,95.45454545,10,40,,,
"Nu: 0.99, Gamma: 0.9",2,10,0,208,95.45454545,10,40,,,
"Nu: 0.99, Gamma: 0.99",1,11,0,208,95,10,40,,,
,,,,,,,,,,
Target Class: streamcluster_MRURP,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,21,0,117,84.7826087,10,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,21,0,117,84.7826087,10,40,,,
"Nu: 0.0001, Gamma: 0.0003",21,0,115,2,16.66666667,10,40,,,
"Nu: 0.0001, Gamma: 0.0004",21,0,115,2,16.66666667,10,40,,,
"Nu: 0.0001, Gamma: 0.005",21,0,115,2,16.66666667,10,40,,,
"Nu: 0.0001, Gamma: 0.05",21,0,113,4,18.11594203,10,40,,,
"Nu: 0.0001, Gamma: 0.0625",21,0,112,5,18.84057971,10,40,,,
"Nu: 0.0001, Gamma: 0.1",21,0,110,7,20.28985507,10,40,,,
"Nu: 0.0001, Gamma: 0.2",21,0,104,13,24.63768116,10,40,,,
"Nu: 0.0001, Gamma: 0.5",21,0,30,87,78.26086957,10,40,,,
"Nu: 0.0001, Gamma: 0.7",21,0,28,89,79.71014493,10,40,,,
"Nu: 0.0001, Gamma: 0.9",21,0,23,94,83.33333333,10,40,,,
"Nu: 0.0001, Gamma: 0.99",21,0,20,97,85.50724638,10,40,,,
"Nu: 0.0002, Gamma: 0.0001",17,4,108,9,18.84057971,10,40,,,
"Nu: 0.0002, Gamma: 0.0002",20,1,113,4,17.39130435,10,40,,,
"Nu: 0.0002, Gamma: 0.0003",21,0,115,2,16.66666667,10,40,,,
"Nu: 0.0002, Gamma: 0.0004",21,0,115,2,16.66666667,10,40,,,
"Nu: 0.0002, Gamma: 0.005",21,0,115,2,16.66666667,10,40,,,
"Nu: 0.0002, Gamma: 0.05",21,0,113,4,18.11594203,10,40,,,
"Nu: 0.0002, Gamma: 0.0625",21,0,112,5,18.84057971,10,40,,,
"Nu: 0.0002, Gamma: 0.1",21,0,110,7,20.28985507,10,40,,,
"Nu: 0.0002, Gamma: 0.2",21,0,104,13,24.63768116,10,40,,,
"Nu: 0.0002, Gamma: 0.5",21,0,30,87,78.26086957,10,40,,,
"Nu: 0.0002, Gamma: 0.7",21,0,28,89,79.71014493,10,40,,,
"Nu: 0.0002, Gamma: 0.9",21,0,23,94,83.33333333,10,40,,,
"Nu: 0.0002, Gamma: 0.99",21,0,21,96,84.7826087,10,40,,,
"Nu: 0.0003, Gamma: 0.0001",9,12,91,26,25.36231884,10,40,,,
"Nu: 0.0003, Gamma: 0.0002",15,6,110,7,15.94202899,10,40,,,
"Nu: 0.0003, Gamma: 0.0003",15,6,110,7,15.94202899,10,40,,,
"Nu: 0.0003, Gamma: 0.0004",21,0,115,2,16.66666667,10,40,,,
"Nu: 0.0003, Gamma: 0.005",21,0,115,2,16.66666667,10,40,,,
"Nu: 0.0003, Gamma: 0.05",21,0,113,4,18.11594203,10,40,,,
"Nu: 0.0003, Gamma: 0.0625",21,0,112,5,18.84057971,10,40,,,
"Nu: 0.0003, Gamma: 0.1",21,0,110,7,20.28985507,10,40,,,
"Nu: 0.0003, Gamma: 0.2",21,0,104,13,24.63768116,10,40,,,
"Nu: 0.0003, Gamma: 0.5",21,0,30,87,78.26086957,10,40,,,
"Nu: 0.0003, Gamma: 0.7",21,0,27,90,80.43478261,10,40,,,
"Nu: 0.0003, Gamma: 0.9",21,0,23,94,83.33333333,10,40,,,
"Nu: 0.0003, Gamma: 0.99",21,0,21,96,84.7826087,10,40,,,
"Nu: 0.0004, Gamma: 0.0001",14,7,107,10,17.39130435,10,40,,,
"Nu: 0.0004, Gamma: 0.0002",21,0,115,2,16.66666667,10,40,,,
"Nu: 0.0004, Gamma: 0.0003",21,0,115,2,16.66666667,10,40,,,
"Nu: 0.0004, Gamma: 0.0004",21,0,115,2,16.66666667,10,40,,,
"Nu: 0.0004, Gamma: 0.005",21,0,115,2,16.66666667,10,40,,,
"Nu: 0.0004, Gamma: 0.05",21,0,113,4,18.11594203,10,40,,,
"Nu: 0.0004, Gamma: 0.0625",21,0,112,5,18.84057971,10,40,,,
"Nu: 0.0004, Gamma: 0.1",21,0,110,7,20.28985507,10,40,,,
"Nu: 0.0004, Gamma: 0.2",21,0,104,13,24.63768116,10,40,,,
"Nu: 0.0004, Gamma: 0.5",21,0,30,87,78.26086957,10,40,,,
"Nu: 0.0004, Gamma: 0.7",21,0,27,90,80.43478261,10,40,,,
"Nu: 0.0004, Gamma: 0.9",21,0,23,94,83.33333333,10,40,,,
"Nu: 0.0004, Gamma: 0.99",21,0,21,96,84.7826087,10,40,,,
"Nu: 0.005, Gamma: 0.0001",21,0,114,3,17.39130435,10,40,,,
"Nu: 0.005, Gamma: 0.0002",21,0,114,3,17.39130435,10,40,,,
"Nu: 0.005, Gamma: 0.0003",21,0,114,3,17.39130435,10,40,,,
"Nu: 0.005, Gamma: 0.0004",21,0,114,3,17.39130435,10,40,,,
"Nu: 0.005, Gamma: 0.005",21,0,114,3,17.39130435,10,40,,,
"Nu: 0.005, Gamma: 0.05",21,0,111,6,19.56521739,10,40,,,
"Nu: 0.005, Gamma: 0.0625",21,0,111,6,19.56521739,10,40,,,
"Nu: 0.005, Gamma: 0.1",21,0,109,8,21.01449275,10,40,,,
"Nu: 0.005, Gamma: 0.2",21,0,102,15,26.08695652,10,40,,,
"Nu: 0.005, Gamma: 0.5",21,0,28,89,79.71014493,10,40,,,
"Nu: 0.005, Gamma: 0.7",21,0,24,93,82.60869565,10,40,,,
"Nu: 0.005, Gamma: 0.9",21,0,23,94,83.33333333,10,40,,,
"Nu: 0.005, Gamma: 0.99",21,0,20,97,85.50724638,10,40,,,
"Nu: 0.05, Gamma: 0.0001",20,1,112,5,18.11594203,10,40,,,
"Nu: 0.05, Gamma: 0.0002",20,1,112,5,18.11594203,10,40,,,
"Nu: 0.05, Gamma: 0.0003",20,1,112,5,18.11594203,10,40,,,
"Nu: 0.05, Gamma: 0.0004",20,1,112,5,18.11594203,10,40,,,
"Nu: 0.05, Gamma: 0.005",20,1,112,5,18.11594203,10,40,,,
"Nu: 0.05, Gamma: 0.05",20,1,109,8,20.28985507,10,40,,,
"Nu: 0.05, Gamma: 0.0625",20,1,108,9,21.01449275,10,40,,,
"Nu: 0.05, Gamma: 0.1",20,1,108,9,21.01449275,10,40,,,
"Nu: 0.05, Gamma: 0.2",20,1,90,27,34.05797101,10,40,,,
"Nu: 0.05, Gamma: 0.5",21,0,23,94,83.33333333,10,40,,,
"Nu: 0.05, Gamma: 0.7",21,0,19,98,86.23188406,10,40,,,
"Nu: 0.05, Gamma: 0.9",21,0,18,99,86.95652174,10,40,,,
"Nu: 0.05, Gamma: 0.99",21,0,18,99,86.95652174,10,40,,,
"Nu: 0.0625, Gamma: 0.0001",20,1,110,7,19.56521739,10,40,,,
"Nu: 0.0625, Gamma: 0.0002",20,1,110,7,19.56521739,10,40,,,
"Nu: 0.0625, Gamma: 0.0003",20,1,110,7,19.56521739,10,40,,,
"Nu: 0.0625, Gamma: 0.0004",20,1,110,7,19.56521739,10,40,,,
"Nu: 0.0625, Gamma: 0.005",20,1,110,7,19.56521739,10,40,,,
"Nu: 0.0625, Gamma: 0.05",20,1,107,10,21.73913043,10,40,,,
"Nu: 0.0625, Gamma: 0.0625",20,1,107,10,21.73913043,10,40,,,
"Nu: 0.0625, Gamma: 0.1",20,1,106,11,22.46376812,10,40,,,
"Nu: 0.0625, Gamma: 0.2",20,1,87,30,36.23188406,10,40,,,
"Nu: 0.0625, Gamma: 0.5",20,1,22,95,83.33333333,10,40,,,
"Nu: 0.0625, Gamma: 0.7",21,0,19,98,86.23188406,10,40,,,
"Nu: 0.0625, Gamma: 0.9",21,0,18,99,86.95652174,10,40,,,
"Nu: 0.0625, Gamma: 0.99",21,0,18,99,86.95652174,10,40,,,
"Nu: 0.1, Gamma: 0.0001",20,1,109,8,20.28985507,10,40,,,
"Nu: 0.1, Gamma: 0.0002",20,1,109,8,20.28985507,10,40,,,
"Nu: 0.1, Gamma: 0.0003",20,1,109,8,20.28985507,10,40,,,
"Nu: 0.1, Gamma: 0.0004",20,1,109,8,20.28985507,10,40,,,
"Nu: 0.1, Gamma: 0.005",20,1,108,9,21.01449275,10,40,,,
"Nu: 0.1, Gamma: 0.05",20,1,106,11,22.46376812,10,40,,,
"Nu: 0.1, Gamma: 0.0625",20,1,106,11,22.46376812,10,40,,,
"Nu: 0.1, Gamma: 0.1",20,1,104,13,23.91304348,10,40,,,
"Nu: 0.1, Gamma: 0.2",20,1,82,35,39.85507246,10,40,,,
"Nu: 0.1, Gamma: 0.5",20,1,17,100,86.95652174,10,40,,,
"Nu: 0.1, Gamma: 0.7",20,1,17,100,86.95652174,10,40,,,
"Nu: 0.1, Gamma: 0.9",19,2,15,102,87.68115942,10,40,,,
"Nu: 0.1, Gamma: 0.99",19,2,13,104,89.13043478,10,40,,,
"Nu: 0.2, Gamma: 0.0001",19,2,108,9,20.28985507,10,40,,,
"Nu: 0.2, Gamma: 0.0002",19,2,108,9,20.28985507,10,40,,,
"Nu: 0.2, Gamma: 0.0003",19,2,108,9,20.28985507,10,40,,,
"Nu: 0.2, Gamma: 0.0004",19,2,108,9,20.28985507,10,40,,,
"Nu: 0.2, Gamma: 0.005",19,2,108,9,20.28985507,10,40,,,
"Nu: 0.2, Gamma: 0.05",19,2,106,11,21.73913043,10,40,,,
"Nu: 0.2, Gamma: 0.0625",19,2,106,11,21.73913043,10,40,,,
"Nu: 0.2, Gamma: 0.1",19,2,102,15,24.63768116,10,40,,,
"Nu: 0.2, Gamma: 0.2",19,2,79,38,41.30434783,10,40,,,
"Nu: 0.2, Gamma: 0.5",19,2,10,107,91.30434783,10,40,,,
"Nu: 0.2, Gamma: 0.7",19,2,10,107,91.30434783,10,40,,,
"Nu: 0.2, Gamma: 0.9",19,2,7,110,93.47826087,10,40,,,
"Nu: 0.2, Gamma: 0.99",19,2,4,113,95.65217391,10,40,,,
"Nu: 0.5, Gamma: 0.0001",13,8,105,12,18.11594203,10,40,,,
"Nu: 0.5, Gamma: 0.0002",13,8,105,12,18.11594203,10,40,,,
"Nu: 0.5, Gamma: 0.0003",13,8,105,12,18.11594203,10,40,,,
"Nu: 0.5, Gamma: 0.0004",13,8,105,12,18.11594203,10,40,,,
"Nu: 0.5, Gamma: 0.005",13,8,105,12,18.11594203,10,40,,,
"Nu: 0.5, Gamma: 0.05",13,8,105,12,18.11594203,10,40,,,
"Nu: 0.5, Gamma: 0.0625",13,8,102,15,20.28985507,10,40,,,
"Nu: 0.5, Gamma: 0.1",13,8,100,17,21.73913043,10,40,,,
"Nu: 0.5, Gamma: 0.2",17,4,75,42,42.75362319,10,40,,,
"Nu: 0.5, Gamma: 0.5",16,5,6,111,92.02898551,10,40,,,
"Nu: 0.5, Gamma: 0.7",15,6,4,113,92.75362319,10,40,,,
"Nu: 0.5, Gamma: 0.9",16,5,1,116,95.65217391,10,40,,,
"Nu: 0.5, Gamma: 0.99",16,5,1,116,95.65217391,10,40,,,
"Nu: 0.7, Gamma: 0.0001",7,14,90,27,24.63768116,10,40,,,
"Nu: 0.7, Gamma: 0.0002",7,14,90,27,24.63768116,10,40,,,
"Nu: 0.7, Gamma: 0.0003",7,14,90,27,24.63768116,10,40,,,
"Nu: 0.7, Gamma: 0.0004",7,14,90,27,24.63768116,10,40,,,
"Nu: 0.7, Gamma: 0.005",7,14,89,28,25.36231884,10,40,,,
"Nu: 0.7, Gamma: 0.05",7,14,88,29,26.08695652,10,40,,,
"Nu: 0.7, Gamma: 0.0625",8,13,86,31,28.26086957,10,40,,,
"Nu: 0.7, Gamma: 0.1",8,13,84,33,29.71014493,10,40,,,
"Nu: 0.7, Gamma: 0.2",8,13,24,93,73.1884058,10,40,,,
"Nu: 0.7, Gamma: 0.5",15,6,2,115,94.20289855,10,40,,,
"Nu: 0.7, Gamma: 0.7",15,6,1,116,94.92753623,10,40,,,
"Nu: 0.7, Gamma: 0.9",15,6,1,116,94.92753623,10,40,,,
"Nu: 0.7, Gamma: 0.99",15,6,1,116,94.92753623,10,40,,,
"Nu: 0.9, Gamma: 0.0001",0,21,0,117,84.7826087,10,40,,,
