Features: 16,,,,,,,,,,
Target Class: canneal,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,92.72727273,327
"Nu: 0.05, Gamma: 0.5",5,0,41,3,16.32653061,0,40,,,
"Nu: 0.05, Gamma: 0.7",4,1,35,9,26.53061224,0,40,,,
"Nu: 0.05, Gamma: 0.9",4,1,34,10,28.57142857,0,40,,,
"Nu: 0.05, Gamma: 0.99",4,1,34,10,28.57142857,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",1,4,8,36,75.51020408,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",4,1,17,27,63.26530612,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",5,0,30,14,38.7755102,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",5,0,30,14,38.7755102,0,40,,,
"Nu: 0.0625, Gamma: 0.005",5,0,30,14,38.7755102,0,40,,,
"Nu: 0.0625, Gamma: 0.05",5,0,30,14,38.7755102,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",5,0,30,14,38.7755102,0,40,,,
"Nu: 0.0625, Gamma: 0.1",5,0,33,11,32.65306122,0,40,,,
"Nu: 0.0625, Gamma: 0.2",5,0,34,10,30.6122449,0,40,,,
"Nu: 0.0625, Gamma: 0.5",5,0,41,3,16.32653061,0,40,,,
"Nu: 0.0625, Gamma: 0.7",4,1,35,9,26.53061224,0,40,,,
"Nu: 0.0625, Gamma: 0.9",4,1,34,10,28.57142857,0,40,,,
"Nu: 0.0625, Gamma: 0.99",4,1,34,10,28.57142857,0,40,,,
"Nu: 0.1, Gamma: 0.0001",3,2,14,30,67.34693878,0,40,,,
"Nu: 0.1, Gamma: 0.0002",4,1,26,18,44.89795918,0,40,,,
"Nu: 0.1, Gamma: 0.0003",4,1,26,18,44.89795918,0,40,,,
"Nu: 0.1, Gamma: 0.0004",4,1,26,18,44.89795918,0,40,,,
"Nu: 0.1, Gamma: 0.005",4,1,26,18,44.89795918,0,40,,,
"Nu: 0.1, Gamma: 0.05",4,1,26,18,44.89795918,0,40,,,
"Nu: 0.1, Gamma: 0.0625",4,1,26,18,44.89795918,0,40,,,
"Nu: 0.1, Gamma: 0.1",4,1,26,18,44.89795918,0,40,,,
"Nu: 0.1, Gamma: 0.2",5,0,30,14,38.7755102,0,40,,,
"Nu: 0.1, Gamma: 0.5",5,0,33,11,32.65306122,0,40,,,
"Nu: 0.1, Gamma: 0.7",4,1,31,13,34.69387755,0,40,,,
"Nu: 0.1, Gamma: 0.9",4,1,31,13,34.69387755,0,40,,,
"Nu: 0.1, Gamma: 0.99",4,1,31,13,34.69387755,0,40,,,
"Nu: 0.2, Gamma: 0.0001",2,3,10,34,73.46938776,0,40,,,
"Nu: 0.2, Gamma: 0.0002",2,3,10,34,73.46938776,0,40,,,
"Nu: 0.2, Gamma: 0.0003",2,3,10,34,73.46938776,0,40,,,
"Nu: 0.2, Gamma: 0.0004",2,3,10,34,73.46938776,0,40,,,
"Nu: 0.2, Gamma: 0.005",2,3,10,34,73.46938776,0,40,,,
"Nu: 0.2, Gamma: 0.05",2,3,10,34,73.46938776,0,40,,,
"Nu: 0.2, Gamma: 0.0625",2,3,10,34,73.46938776,0,40,,,
"Nu: 0.2, Gamma: 0.1",2,3,10,34,73.46938776,0,40,,,
"Nu: 0.2, Gamma: 0.2",2,3,13,31,67.34693878,0,40,,,
"Nu: 0.2, Gamma: 0.5",2,3,21,23,51.02040816,0,40,,,
"Nu: 0.2, Gamma: 0.7",3,2,20,24,55.10204082,0,40,,,
"Nu: 0.2, Gamma: 0.9",3,2,16,28,63.26530612,0,40,,,
"Nu: 0.2, Gamma: 0.99",3,2,16,28,63.26530612,0,40,,,
"Nu: 0.5, Gamma: 0.0001",1,4,5,39,81.63265306,0,40,,,
"Nu: 0.5, Gamma: 0.0002",1,4,5,39,81.63265306,0,40,,,
"Nu: 0.5, Gamma: 0.0003",1,4,5,39,81.63265306,0,40,,,
"Nu: 0.5, Gamma: 0.0004",1,4,5,39,81.63265306,0,40,,,
"Nu: 0.5, Gamma: 0.005",1,4,5,39,81.63265306,0,40,,,
"Nu: 0.5, Gamma: 0.05",1,4,5,39,81.63265306,0,40,,,
"Nu: 0.5, Gamma: 0.0625",1,4,5,39,81.63265306,0,40,,,
"Nu: 0.5, Gamma: 0.1",2,3,5,39,83.67346939,0,40,,,
"Nu: 0.5, Gamma: 0.2",2,3,5,39,83.67346939,0,40,,,
"Nu: 0.5, Gamma: 0.5",2,3,8,36,77.55102041,0,40,,,
"Nu: 0.5, Gamma: 0.7",2,3,6,38,81.63265306,0,40,,,
"Nu: 0.5, Gamma: 0.9",2,3,6,38,81.63265306,0,40,,,
"Nu: 0.5, Gamma: 0.99",2,3,6,38,81.63265306,0,40,,,
"Nu: 0.7, Gamma: 0.0001",1,4,5,39,81.63265306,0,40,,,
"Nu: 0.7, Gamma: 0.0002",1,4,5,39,81.63265306,0,40,,,
"Nu: 0.7, Gamma: 0.0003",1,4,4,40,83.67346939,0,40,,,
"Nu: 0.7, Gamma: 0.0004",1,4,4,40,83.67346939,0,40,,,
"Nu: 0.7, Gamma: 0.005",1,4,4,40,83.67346939,0,40,,,
"Nu: 0.7, Gamma: 0.05",1,4,4,40,83.67346939,0,40,,,
"Nu: 0.7, Gamma: 0.0625",1,4,4,40,83.67346939,0,40,,,
"Nu: 0.7, Gamma: 0.1",1,4,4,40,83.67346939,0,40,,,
"Nu: 0.7, Gamma: 0.2",1,4,4,40,83.67346939,0,40,,,
"Nu: 0.7, Gamma: 0.5",1,4,4,40,83.67346939,0,40,,,
"Nu: 0.7, Gamma: 0.7",1,4,3,41,85.71428571,0,40,,,
"Nu: 0.7, Gamma: 0.9",2,3,3,41,87.75510204,0,40,,,
"Nu: 0.7, Gamma: 0.99",2,3,3,41,87.75510204,0,40,,,
"Nu: 0.9, Gamma: 0.0001",1,4,4,40,83.67346939,0,40,,,
"Nu: 0.9, Gamma: 0.0002",1,4,0,44,91.83673469,0,40,,,
"Nu: 0.9, Gamma: 0.0003",1,4,0,44,91.83673469,0,40,,,
"Nu: 0.9, Gamma: 0.0004",1,4,0,44,91.83673469,0,40,,,
"Nu: 0.9, Gamma: 0.005",1,4,4,40,83.67346939,0,40,,,
"Nu: 0.9, Gamma: 0.05",1,4,4,40,83.67346939,0,40,,,
"Nu: 0.9, Gamma: 0.0625",1,4,4,40,83.67346939,0,40,,,
"Nu: 0.9, Gamma: 0.1",1,4,4,40,83.67346939,0,40,,,
"Nu: 0.9, Gamma: 0.2",1,4,4,40,83.67346939,0,40,,,
"Nu: 0.9, Gamma: 0.5",1,4,3,41,85.71428571,0,40,,,
"Nu: 0.9, Gamma: 0.7",1,4,1,43,89.79591837,0,40,,,
"Nu: 0.9, Gamma: 0.9",1,4,1,43,89.79591837,0,40,,,
"Nu: 0.9, Gamma: 0.99",1,4,1,43,89.79591837,0,40,,,
"Nu: 0.99, Gamma: 0.0001",1,4,4,40,83.67346939,0,40,,,
"Nu: 0.99, Gamma: 0.0002",1,4,0,44,91.83673469,0,40,,,
"Nu: 0.99, Gamma: 0.0003",1,4,0,44,91.83673469,0,40,,,
"Nu: 0.99, Gamma: 0.0004",1,4,0,44,91.83673469,0,40,,,
"Nu: 0.99, Gamma: 0.005",1,4,0,44,91.83673469,0,40,,,
"Nu: 0.99, Gamma: 0.05",1,4,0,44,91.83673469,0,40,,,
"Nu: 0.99, Gamma: 0.0625",1,4,0,44,91.83673469,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,5,0,44,89.79591837,0,40,,,
,,,,,,,,,,
Target Class: canneal_cachehalf,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.05",4,1,49,1,9.090909091,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",4,1,49,1,9.090909091,0,40,,,
"Nu: 0.0001, Gamma: 0.1",4,1,49,1,9.090909091,0,40,,,
"Nu: 0.0001, Gamma: 0.2",3,2,14,36,70.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.5",1,4,5,45,83.63636364,0,40,,,
"Nu: 0.0001, Gamma: 0.7",1,4,5,45,83.63636364,0,40,,,
"Nu: 0.0001, Gamma: 0.9",0,5,15,35,63.63636364,0,40,,,
"Nu: 0.0001, Gamma: 0.99",0,5,13,37,67.27272727,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.0002, Gamma: 0.05",4,1,49,1,9.090909091,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",4,1,49,1,9.090909091,0,40,,,
"Nu: 0.0002, Gamma: 0.1",4,1,49,1,9.090909091,0,40,,,
"Nu: 0.0002, Gamma: 0.2",3,2,14,36,70.90909091,0,40,,,
"Nu: 0.0002, Gamma: 0.5",1,4,26,24,45.45454545,0,40,,,
"Nu: 0.0002, Gamma: 0.7",0,5,21,29,52.72727273,0,40,,,
"Nu: 0.0002, Gamma: 0.9",0,5,15,35,63.63636364,0,40,,,
"Nu: 0.0002, Gamma: 0.99",1,4,6,44,81.81818182,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.0003, Gamma: 0.005",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.0003, Gamma: 0.05",4,1,49,1,9.090909091,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",4,1,49,1,9.090909091,0,40,,,
"Nu: 0.0003, Gamma: 0.1",4,1,49,1,9.090909091,0,40,,,
"Nu: 0.0003, Gamma: 0.2",3,2,14,36,70.90909091,0,40,,,
"Nu: 0.0003, Gamma: 0.5",1,4,26,24,45.45454545,0,40,,,
"Nu: 0.0003, Gamma: 0.7",0,5,34,16,29.09090909,0,40,,,
"Nu: 0.0003, Gamma: 0.9",1,4,21,29,54.54545455,0,40,,,
"Nu: 0.0003, Gamma: 0.99",0,5,21,29,52.72727273,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.0004, Gamma: 0.005",4,1,49,1,9.090909091,0,40,,,
"Nu: 0.0004, Gamma: 0.05",4,1,49,1,9.090909091,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",4,1,49,1,9.090909091,0,40,,,
"Nu: 0.0004, Gamma: 0.1",4,1,49,1,9.090909091,0,40,,,
"Nu: 0.0004, Gamma: 0.2",3,2,14,36,70.90909091,0,40,,,
"Nu: 0.0004, Gamma: 0.5",2,3,21,29,56.36363636,0,40,,,
"Nu: 0.0004, Gamma: 0.7",4,1,35,15,34.54545455,0,40,,,
"Nu: 0.0004, Gamma: 0.9",1,4,21,29,54.54545455,0,40,,,
"Nu: 0.0004, Gamma: 0.99",0,5,21,29,52.72727273,0,40,,,
"Nu: 0.005, Gamma: 0.0001",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.005, Gamma: 0.0002",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.005, Gamma: 0.0003",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.005, Gamma: 0.0004",4,1,49,1,9.090909091,0,40,,,
"Nu: 0.005, Gamma: 0.005",4,1,49,1,9.090909091,0,40,,,
"Nu: 0.005, Gamma: 0.05",5,0,49,1,10.90909091,0,40,,,
"Nu: 0.005, Gamma: 0.0625",5,0,49,1,10.90909091,0,40,,,
"Nu: 0.005, Gamma: 0.1",5,0,49,1,10.90909091,0,40,,,
"Nu: 0.005, Gamma: 0.2",5,0,31,19,43.63636364,0,40,,,
"Nu: 0.005, Gamma: 0.5",5,0,27,23,50.90909091,0,40,,,
"Nu: 0.005, Gamma: 0.7",5,0,24,26,56.36363636,0,40,,,
"Nu: 0.005, Gamma: 0.9",5,0,20,30,63.63636364,0,40,,,
"Nu: 0.005, Gamma: 0.99",5,0,19,31,65.45454545,0,40,,,
"Nu: 0.05, Gamma: 0.0001",4,1,49,1,9.090909091,0,40,,,
"Nu: 0.05, Gamma: 0.0002",4,1,49,1,9.090909091,0,40,,,
"Nu: 0.05, Gamma: 0.0003",4,1,49,1,9.090909091,0,40,,,
"Nu: 0.05, Gamma: 0.0004",4,1,49,1,9.090909091,0,40,,,
"Nu: 0.05, Gamma: 0.005",5,0,49,1,10.90909091,0,40,,,
"Nu: 0.05, Gamma: 0.05",5,0,49,1,10.90909091,0,40,,,
"Nu: 0.05, Gamma: 0.0625",5,0,49,1,10.90909091,0,40,,,
"Nu: 0.05, Gamma: 0.1",5,0,49,1,10.90909091,0,40,,,
"Nu: 0.05, Gamma: 0.2",5,0,30,20,45.45454545,0,40,,,
"Nu: 0.05, Gamma: 0.5",5,0,26,24,52.72727273,0,40,,,
"Nu: 0.05, Gamma: 0.7",5,0,25,25,54.54545455,0,40,,,
