Features: 16,,,,,,,,,Max Acc,,Max TN,
Target Class: blackscholes,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,92.60273973,49,24,223
"Nu: 0.0001, Gamma: 7e-05",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.0001, Gamma: 8e-05",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.0001, Gamma: 9e-05",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.0001, Gamma: 0.0001",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.0001, Gamma: 0.0002",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.0001, Gamma: 0.0003",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.0001, Gamma: 0.0004",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.0001, Gamma: 0.005",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.0001, Gamma: 0.05",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.0001, Gamma: 0.0625",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.0001, Gamma: 0.1",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.0001, Gamma: 0.2",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.0001, Gamma: 0.5",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.0001, Gamma: 0.7",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.0001, Gamma: 0.9",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.0001, Gamma: 0.99",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.0002, Gamma: 1e-05",246,24,90,5,68.76712329,0,40,,,,,
"Nu: 0.0002, Gamma: 2e-05",264,25,72,4,73.42465753,0,40,,,,,
"Nu: 0.0002, Gamma: 3e-05",325,26,11,3,89.8630137,0,40,,,,,
"Nu: 0.0002, Gamma: 4e-05",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.0002, Gamma: 5e-05",277,27,59,2,76.43835616,0,40,,,,,
"Nu: 0.0002, Gamma: 6e-05",276,26,60,3,76.43835616,0,40,,,,,
"Nu: 0.0002, Gamma: 7e-05",277,26,59,3,76.71232877,0,40,,,,,
"Nu: 0.0002, Gamma: 8e-05",277,27,59,2,76.43835616,0,40,,,,,
"Nu: 0.0002, Gamma: 9e-05",273,26,63,3,75.61643836,0,40,,,,,
"Nu: 0.0002, Gamma: 0.0001",275,24,61,5,76.71232877,0,40,,,,,
"Nu: 0.0002, Gamma: 0.0002",327,29,9,0,89.5890411,0,40,,,,,
"Nu: 0.0002, Gamma: 0.0003",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.0002, Gamma: 0.0004",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.0002, Gamma: 0.005",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.0002, Gamma: 0.05",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.0002, Gamma: 0.0625",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.0002, Gamma: 0.1",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.0002, Gamma: 0.2",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.0002, Gamma: 0.5",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.0002, Gamma: 0.7",304,25,32,4,84.38356164,0,40,,,,,
"Nu: 0.0002, Gamma: 0.9",304,25,32,4,84.38356164,0,40,,,,,
"Nu: 0.0002, Gamma: 0.99",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.0003, Gamma: 1e-05",329,26,7,3,90.95890411,0,40,,,,,
"Nu: 0.0003, Gamma: 2e-05",259,25,77,4,72.05479452,0,40,,,,,
"Nu: 0.0003, Gamma: 3e-05",308,27,28,2,84.93150685,0,40,,,,,
"Nu: 0.0003, Gamma: 4e-05",255,24,81,5,71.23287671,0,40,,,,,
"Nu: 0.0003, Gamma: 5e-05",273,24,63,5,76.16438356,0,40,,,,,
"Nu: 0.0003, Gamma: 6e-05",276,26,60,3,76.43835616,0,40,,,,,
"Nu: 0.0003, Gamma: 7e-05",191,15,145,14,56.16438356,0,40,,,,,
"Nu: 0.0003, Gamma: 8e-05",244,23,92,6,68.49315068,0,40,,,,,
"Nu: 0.0003, Gamma: 9e-05",273,24,63,5,76.16438356,0,40,,,,,
"Nu: 0.0003, Gamma: 0.0001",275,24,61,5,76.71232877,0,40,,,,,
"Nu: 0.0003, Gamma: 0.0002",321,27,15,2,88.49315068,0,40,,,,,
"Nu: 0.0003, Gamma: 0.0003",328,28,8,1,90.1369863,0,40,,,,,
"Nu: 0.0003, Gamma: 0.0004",329,28,7,1,90.4109589,0,40,,,,,
"Nu: 0.0003, Gamma: 0.005",285,20,51,9,80.54794521,0,40,,,,,
"Nu: 0.0003, Gamma: 0.05",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.0003, Gamma: 0.0625",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.0003, Gamma: 0.1",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.0003, Gamma: 0.2",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.0003, Gamma: 0.5",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.0003, Gamma: 0.7",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.0003, Gamma: 0.9",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.0003, Gamma: 0.99",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 0.0004, Gamma: 1e-05",287,24,49,5,80,0,40,,,,,
"Nu: 0.0004, Gamma: 2e-05",229,21,107,8,64.93150685,0,40,,,,,
"Nu: 0.0004, Gamma: 3e-05",274,24,62,5,76.43835616,0,40,,,,,
"Nu: 0.0004, Gamma: 4e-05",251,23,85,6,70.4109589,0,40,,,,,
"Nu: 0.0004, Gamma: 5e-05",273,24,63,5,76.16438356,0,40,,,,,
