ToRouter0,ToRouter1,ToRouter2,ToRouter3,ToRouter4,ToRouter5,ToRouter6,ToRouter7,ToRouter8,ToRouter9,ToRouter10,ToRouter11,ToRouter12,ToRouter13,ToRouter14,ToRouter15,Applications (Label Classes)
2188,22,80,50,17,17,13,19,2434,15,1072,2276,1233,2009,30,50,ferret
2219,25,63,70,22,22,17,20,2552,15,2411,2428,1544,2141,39,37,ferret
3326,2164,2039,2143,2147,2150,2037,2077,3902,2094,3790,2038,2058,2116,2228,2134,ferret
1090,13,11,17,13,11,8,9,1838,14,1352,22,25,36,43,12,ferret
1033,11,4,9,8,6,5,5,1820,8,1182,14,19,32,39,6,ferret
1085,16,9,10,9,9,7,8,1829,11,1150,12,22,39,39,9,ferret
1081,11,5,12,8,9,5,4,1822,7,1466,19,18,44,32,8,ferret
1082,10,6,13,11,8,8,7,1825,8,971,20,22,42,32,8,ferret
1025,9,2,8,4,5,1,5,1821,4,1557,13,14,34,30,6,ferret
1052,11,5,10,8,9,7,7,1826,9,982,12,19,31,45,9,ferret
1046,17,8,12,7,10,7,7,1821,11,1182,23,17,37,35,8,ferret
1057,11,5,13,8,10,5,5,1823,7,1641,18,25,40,37,7,ferret
1049,26,21,29,31,33,24,21,1834,25,2802,37,37,48,84,21,ferret
1023,11,7,11,5,10,5,2,1821,8,1304,12,14,28,44,5,ferret
1032,14,7,17,10,12,9,9,1832,11,2101,23,15,45,43,10,ferret
1051,21,15,20,12,16,10,10,1831,14,1131,21,27,39,59,14,ferret
1093,14,9,11,11,11,9,8,1827,11,1160,17,20,77,45,9,ferret
1075,12,6,12,11,9,6,8,1829,11,1635,26,21,50,39,10,ferret
2991,1960,1886,1926,1930,1957,1846,1905,3808,1917,1864,1912,1951,1965,1967,1956,ferret
983,8,7,6,9,10,6,5,1872,9,24,29,56,37,10,9,ferret
949,6,4,9,10,12,4,7,1881,7,17,22,54,26,9,8,ferret
973,8,6,12,14,12,9,10,1866,10,23,30,75,42,11,6,ferret
968,7,5,7,12,12,4,6,1881,7,21,27,51,33,10,11,ferret
982,8,6,6,9,10,7,7,1872,7,19,29,49,34,9,9,ferret
929,4,3,5,9,7,1,5,1868,5,17,22,43,27,8,4,ferret
957,7,4,7,9,8,2,5,1860,9,22,17,44,18,7,8,ferret
972,16,22,16,21,18,15,18,1872,18,37,33,95,42,26,15,ferret
963,7,5,8,10,11,6,7,1862,7,23,20,44,31,9,8,ferret
939,13,12,11,18,17,12,6,1881,14,28,27,53,27,7,11,ferret
945,18,9,4,20,14,10,9,1888,14,22,27,55,31,13,14,ferret
956,19,19,12,21,19,11,10,1893,12,23,41,72,42,11,15,ferret
991,19,19,14,32,19,12,12,1899,17,23,42,87,36,31,28,ferret
991,9,6,7,13,10,6,14,1892,10,18,35,57,40,10,11,ferret
987,9,6,8,12,12,5,12,1884,8,20,29,59,35,12,10,ferret
8307,5452,5199,5312,5413,5287,5252,5234,6946,5260,7243,8628,10732,9250,10448,5404,ferret
2701,66,21,30,56,21,47,18,1465,21,1709,3032,3790,1517,1982,66,ferret
2615,70,16,23,31,12,27,13,1373,17,1404,2509,3920,1538,2300,20,ferret
2669,75,18,28,49,15,42,21,1111,22,1883,2806,3889,1495,2045,48,ferret
2693,98,14,34,25,14,45,13,1261,14,1294,3312,3866,1501,2001,37,ferret
2657,53,11,25,41,10,36,9,1433,11,984,2969,3885,1581,2257,40,ferret
2613,49,14,23,23,13,16,11,1174,14,1335,2856,3808,1455,2046,34,ferret
2635,51,11,25,36,8,30,9,1014,11,1127,2570,3661,1424,1786,26,ferret
2663,188,50,77,138,29,122,29,1054,38,1208,2638,3725,1668,2092,151,ferret
2645,43,12,24,32,11,20,12,1102,11,2111,3091,3656,1414,1724,31,ferret
2655,119,96,93,121,91,107,85,1387,89,2789,2538,4005,1760,2331,95,ferret
2589,62,28,26,41,13,41,15,1036,71,1388,2428,3845,1543,2004,27,ferret
2672,161,21,44,41,18,35,18,1247,32,1789,3760,3878,1727,2127,35,ferret
2707,134,37,43,60,24,55,30,1306,41,1519,3527,4208,1542,2498,62,ferret
2701,215,41,41,75,32,38,37,1508,40,1339,3009,4003,1754,2158,48,ferret
2689,120,13,25,36,10,43,10,1452,13,2120,2895,4154,1844,2405,47,ferret
7832,5040,4935,5031,5142,5005,4891,4919,4997,4906,7322,11729,9441,11153,10382,7690,ferret
2535,35,37,38,47,29,40,31,36,38,2154,6336,3905,4055,2232,1265,ferret
2482,20,17,27,25,21,26,12,22,21,2038,4920,4196,4266,2339,1386,ferret
2532,32,23,33,36,26,34,25,34,32,2354,5064,4474,4024,2240,1239,ferret
2593,28,25,37,36,28,28,22,31,32,1976,7186,4429,4098,2358,1381,ferret
2516,27,16,25,27,18,23,15,25,24,1504,6584,4066,4065,2320,1364,ferret
2460,27,21,33,32,24,30,21,33,27,2022,5855,3732,4107,2211,1258,ferret
2473,24,17,28,31,23,24,17,25,30,1750,6057,4262,3823,2153,1021,ferret
2545,57,55,63,77,71,79,66,69,70,1799,5876,4761,3983,2294,1243,ferret
2471,25,22,27,31,24,26,17,25,33,2584,5363,4375,3838,2121,1124,ferret
2462,75,74,88,87,73,73,60,76,85,2659,4221,4582,4395,2396,1416,ferret
2454,31,28,29,40,30,40,31,41,39,2012,3925,4151,3956,2268,1242,ferret
2512,46,28,36,47,32,54,27,53,34,2311,6198,3769,4118,2427,1289,ferret
2586,96,45,51,57,41,48,41,58,45,1935,7205,3778,4097,2609,1654,ferret
2452,104,61,52,70,49,46,46,55,42,1692,6136,3179,4383,2284,1623,ferret
2518,88,62,35,73,42,46,25,47,31,2613,7348,3861,4667,2873,1531,ferret
7103,4361,4463,4429,4387,4291,4190,4051,4196,4226,7692,7178,11808,7917,9906,9131,ferret
