Features: 16,,,,,,,,,,
Target Class: freqmine,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,92.52336449,3
"Nu: 0.05, Gamma: 0.5",15,1,171,27,19.62616822,0,40,,,
"Nu: 0.05, Gamma: 0.7",15,1,166,32,21.96261682,0,40,,,
"Nu: 0.05, Gamma: 0.9",14,2,162,36,23.36448598,0,40,,,
"Nu: 0.05, Gamma: 0.99",14,2,158,40,25.23364486,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",15,1,176,22,17.28971963,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",15,1,176,22,17.28971963,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",15,1,177,21,16.82242991,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",15,1,180,18,15.42056075,0,40,,,
"Nu: 0.0625, Gamma: 0.005",15,1,180,18,15.42056075,0,40,,,
"Nu: 0.0625, Gamma: 0.05",15,1,178,20,16.35514019,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",15,1,178,20,16.35514019,0,40,,,
"Nu: 0.0625, Gamma: 0.1",15,1,180,18,15.42056075,0,40,,,
"Nu: 0.0625, Gamma: 0.2",15,1,179,19,15.88785047,0,40,,,
"Nu: 0.0625, Gamma: 0.5",15,1,171,27,19.62616822,0,40,,,
"Nu: 0.0625, Gamma: 0.7",15,1,163,35,23.36448598,0,40,,,
"Nu: 0.0625, Gamma: 0.9",14,2,160,38,24.29906542,0,40,,,
"Nu: 0.0625, Gamma: 0.99",14,2,147,51,30.37383178,0,40,,,
"Nu: 0.1, Gamma: 0.0001",15,1,193,5,9.345794393,0,40,,,
"Nu: 0.1, Gamma: 0.0002",9,7,111,87,44.85981308,0,40,,,
"Nu: 0.1, Gamma: 0.0003",14,2,153,45,27.57009346,0,40,,,
"Nu: 0.1, Gamma: 0.0004",14,2,153,45,27.57009346,0,40,,,
"Nu: 0.1, Gamma: 0.005",15,1,177,21,16.82242991,0,40,,,
"Nu: 0.1, Gamma: 0.05",15,1,177,21,16.82242991,0,40,,,
"Nu: 0.1, Gamma: 0.0625",15,1,176,22,17.28971963,0,40,,,
"Nu: 0.1, Gamma: 0.1",15,1,176,22,17.28971963,0,40,,,
"Nu: 0.1, Gamma: 0.2",15,1,174,24,18.22429907,0,40,,,
"Nu: 0.1, Gamma: 0.5",15,1,166,32,21.96261682,0,40,,,
"Nu: 0.1, Gamma: 0.7",14,2,159,39,24.76635514,0,40,,,
"Nu: 0.1, Gamma: 0.9",14,2,156,42,26.1682243,0,40,,,
"Nu: 0.1, Gamma: 0.99",14,2,153,45,27.57009346,0,40,,,
"Nu: 0.2, Gamma: 0.0001",14,2,187,11,11.68224299,0,40,,,
"Nu: 0.2, Gamma: 0.0002",9,7,110,88,45.3271028,0,40,,,
"Nu: 0.2, Gamma: 0.0003",14,2,170,28,19.62616822,0,40,,,
"Nu: 0.2, Gamma: 0.0004",14,2,170,28,19.62616822,0,40,,,
"Nu: 0.2, Gamma: 0.005",14,2,170,28,19.62616822,0,40,,,
"Nu: 0.2, Gamma: 0.05",14,2,171,27,19.1588785,0,40,,,
"Nu: 0.2, Gamma: 0.0625",14,2,170,28,19.62616822,0,40,,,
"Nu: 0.2, Gamma: 0.1",14,2,174,24,17.75700935,0,40,,,
"Nu: 0.2, Gamma: 0.2",14,2,173,25,18.22429907,0,40,,,
"Nu: 0.2, Gamma: 0.5",13,3,155,43,26.1682243,0,40,,,
"Nu: 0.2, Gamma: 0.7",14,2,153,45,27.57009346,0,40,,,
"Nu: 0.2, Gamma: 0.9",14,2,147,51,30.37383178,0,40,,,
"Nu: 0.2, Gamma: 0.99",14,2,127,71,39.71962617,0,40,,,
"Nu: 0.5, Gamma: 0.0001",9,7,83,115,57.94392523,0,40,,,
"Nu: 0.5, Gamma: 0.0002",9,7,83,115,57.94392523,0,40,,,
"Nu: 0.5, Gamma: 0.0003",6,10,77,121,59.34579439,0,40,,,
"Nu: 0.5, Gamma: 0.0004",6,10,77,121,59.34579439,0,40,,,
"Nu: 0.5, Gamma: 0.005",8,8,83,115,57.47663551,0,40,,,
"Nu: 0.5, Gamma: 0.05",10,6,78,120,60.74766355,0,40,,,
"Nu: 0.5, Gamma: 0.0625",10,6,77,121,61.21495327,0,40,,,
"Nu: 0.5, Gamma: 0.1",9,7,75,123,61.68224299,0,40,,,
"Nu: 0.5, Gamma: 0.2",10,6,68,130,65.42056075,0,40,,,
"Nu: 0.5, Gamma: 0.5",10,6,56,142,71.02803738,0,40,,,
"Nu: 0.5, Gamma: 0.7",9,7,52,146,72.42990654,0,40,,,
"Nu: 0.5, Gamma: 0.9",9,7,48,150,74.29906542,0,40,,,
"Nu: 0.5, Gamma: 0.99",9,7,47,151,74.76635514,0,40,,,
"Nu: 0.7, Gamma: 0.0001",7,9,75,123,60.74766355,0,40,,,
"Nu: 0.7, Gamma: 0.0002",7,9,75,123,60.74766355,0,40,,,
"Nu: 0.7, Gamma: 0.0003",7,9,75,123,60.74766355,0,40,,,
"Nu: 0.7, Gamma: 0.0004",7,9,75,123,60.74766355,0,40,,,
"Nu: 0.7, Gamma: 0.005",6,10,72,126,61.68224299,0,40,,,
"Nu: 0.7, Gamma: 0.05",7,9,68,130,64.01869159,0,40,,,
"Nu: 0.7, Gamma: 0.0625",7,9,67,131,64.48598131,0,40,,,
"Nu: 0.7, Gamma: 0.1",7,9,61,137,67.28971963,0,40,,,
"Nu: 0.7, Gamma: 0.2",7,9,56,142,69.62616822,0,40,,,
"Nu: 0.7, Gamma: 0.5",6,10,40,158,76.63551402,0,40,,,
"Nu: 0.7, Gamma: 0.7",8,8,26,172,84.11214953,0,40,,,
"Nu: 0.7, Gamma: 0.9",7,9,26,172,83.64485981,0,40,,,
"Nu: 0.7, Gamma: 0.99",7,9,26,172,83.64485981,0,40,,,
"Nu: 0.9, Gamma: 0.0001",2,14,13,185,87.38317757,0,40,,,
"Nu: 0.9, Gamma: 0.0002",2,14,13,185,87.38317757,0,40,,,
"Nu: 0.9, Gamma: 0.0003",3,13,20,178,84.57943925,0,40,,,
"Nu: 0.9, Gamma: 0.0004",3,13,14,184,87.38317757,0,40,,,
"Nu: 0.9, Gamma: 0.005",3,13,18,180,85.51401869,0,40,,,
"Nu: 0.9, Gamma: 0.05",3,13,14,184,87.38317757,0,40,,,
"Nu: 0.9, Gamma: 0.0625",3,13,12,186,88.31775701,0,40,,,
"Nu: 0.9, Gamma: 0.1",2,14,9,189,89.25233645,0,40,,,
"Nu: 0.9, Gamma: 0.2",1,15,11,187,87.85046729,0,40,,,
"Nu: 0.9, Gamma: 0.5",3,13,21,177,84.11214953,0,40,,,
"Nu: 0.9, Gamma: 0.7",3,13,18,180,85.51401869,0,40,,,
"Nu: 0.9, Gamma: 0.9",3,13,16,182,86.44859813,0,40,,,
"Nu: 0.9, Gamma: 0.99",3,13,13,185,87.85046729,0,40,,,
"Nu: 0.99, Gamma: 0.0001",3,13,23,175,83.17757009,0,40,,,
"Nu: 0.99, Gamma: 0.0002",2,14,6,192,90.65420561,0,40,,,
"Nu: 0.99, Gamma: 0.0003",1,15,1,197,92.52336449,0,40,,,
"Nu: 0.99, Gamma: 0.0004",1,15,1,197,92.52336449,0,40,,,
"Nu: 0.99, Gamma: 0.005",1,15,1,197,92.52336449,0,40,,,
"Nu: 0.99, Gamma: 0.05",1,15,3,195,91.58878505,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,16,1,197,92.05607477,0,40,,,
"Nu: 0.99, Gamma: 0.1",1,15,2,196,92.05607477,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,16,5,193,90.18691589,0,40,,,
"Nu: 0.99, Gamma: 0.5",1,15,4,194,91.12149533,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,16,3,195,91.12149533,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,16,4,194,90.65420561,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,16,3,195,91.12149533,0,40,,,
,,,,,,,,,,
Target Class: freqmine_MRURP,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,20,0,155,88.57142857,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,20,0,155,88.57142857,0,40,,,
