Features: 16,,,,,,,,,
Target Class: dedup,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,99.6371553
"Nu: 0.05, Gamma: 0.5",10,0,2734,12,0.798258345,0,40,,
"Nu: 0.05, Gamma: 0.7",10,0,2734,12,0.798258345,0,40,,
"Nu: 0.05, Gamma: 0.9",10,0,2735,11,0.761973875,0,40,,
"Nu: 0.05, Gamma: 0.99",10,0,2733,13,0.834542816,0,40,,
"Nu: 0.0625, Gamma: 0.0001",9,1,2743,3,0.435413643,0,40,,
"Nu: 0.0625, Gamma: 0.0002",9,1,2743,3,0.435413643,0,40,,
"Nu: 0.0625, Gamma: 0.0003",9,1,2743,3,0.435413643,0,40,,
"Nu: 0.0625, Gamma: 0.0004",9,1,2743,3,0.435413643,0,40,,
"Nu: 0.0625, Gamma: 0.005",9,1,2741,5,0.507982583,0,40,,
"Nu: 0.0625, Gamma: 0.05",9,1,2743,3,0.435413643,0,40,,
"Nu: 0.0625, Gamma: 0.0625",9,1,2743,3,0.435413643,0,40,,
"Nu: 0.0625, Gamma: 0.1",9,1,2743,3,0.435413643,0,40,,
"Nu: 0.0625, Gamma: 0.2",10,0,2740,6,0.580551524,0,40,,
"Nu: 0.0625, Gamma: 0.5",10,0,2734,12,0.798258345,0,40,,
"Nu: 0.0625, Gamma: 0.7",10,0,2734,12,0.798258345,0,40,,
"Nu: 0.0625, Gamma: 0.9",10,0,2735,11,0.761973875,0,40,,
"Nu: 0.0625, Gamma: 0.99",10,0,2735,11,0.761973875,0,40,,
"Nu: 0.1, Gamma: 0.0001",6,4,64,2682,97.53265602,0,40,,
"Nu: 0.1, Gamma: 0.0002",6,4,64,2682,97.53265602,0,40,,
"Nu: 0.1, Gamma: 0.0003",9,1,65,2681,97.60522496,0,40,,
"Nu: 0.1, Gamma: 0.0004",9,1,65,2681,97.60522496,0,40,,
"Nu: 0.1, Gamma: 0.005",9,1,65,2681,97.60522496,0,40,,
"Nu: 0.1, Gamma: 0.05",9,1,65,2681,97.60522496,0,40,,
"Nu: 0.1, Gamma: 0.0625",9,1,65,2681,97.60522496,0,40,,
"Nu: 0.1, Gamma: 0.1",9,1,66,2680,97.56894049,0,40,,
"Nu: 0.1, Gamma: 0.2",9,1,62,2684,97.71407837,0,40,,
"Nu: 0.1, Gamma: 0.5",10,0,2734,12,0.798258345,0,40,,
"Nu: 0.1, Gamma: 0.7",10,0,2734,12,0.798258345,0,40,,
"Nu: 0.1, Gamma: 0.9",9,1,2735,11,0.725689405,0,40,,
"Nu: 0.1, Gamma: 0.99",8,2,2735,11,0.689404935,0,40,,
"Nu: 0.2, Gamma: 0.0001",7,3,63,2683,97.60522496,0,40,,
"Nu: 0.2, Gamma: 0.0002",7,3,63,2683,97.60522496,0,40,,
"Nu: 0.2, Gamma: 0.0003",7,3,63,2683,97.60522496,0,40,,
"Nu: 0.2, Gamma: 0.0004",7,3,63,2683,97.60522496,0,40,,
"Nu: 0.2, Gamma: 0.005",7,3,63,2683,97.60522496,0,40,,
"Nu: 0.2, Gamma: 0.05",7,3,63,2683,97.60522496,0,40,,
"Nu: 0.2, Gamma: 0.0625",7,3,63,2683,97.60522496,0,40,,
"Nu: 0.2, Gamma: 0.1",8,2,63,2683,97.64150943,0,40,,
"Nu: 0.2, Gamma: 0.2",7,3,59,2687,97.75036284,0,40,,
"Nu: 0.2, Gamma: 0.5",8,2,58,2688,97.82293179,0,40,,
"Nu: 0.2, Gamma: 0.7",7,3,57,2689,97.82293179,0,40,,
"Nu: 0.2, Gamma: 0.9",7,3,57,2689,97.82293179,0,40,,
